SA4_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Oth_lt_health_cond_0_14,F_Oth_lt_health_cond_15_24,F_Oth_lt_health_cond_25_34,F_Oth_lt_health_cond_35_44,F_Oth_lt_health_cond_45_54,F_Oth_lt_health_cond_55_64,F_Oth_lt_health_cond_65_74,F_Oth_lt_health_cond_75_84,F_Oth_lt_health_cond_85_over,F_Oth_lt_health_cond_Tot,F_No_lt_health_cond_0_14,F_No_lt_health_cond_15_24,F_No_lt_health_cond_25_34,F_No_lt_health_cond_35_44,F_No_lt_health_cond_45_54,F_No_lt_health_cond_55_64,F_No_lt_health_cond_65_74,F_No_lt_health_cond_75_84,F_No_lt_health_cond_85_over,F_No_lt_health_cond_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Oth_lt_health_cond_0_14,P_Oth_lt_health_cond_15_24,P_Oth_lt_health_cond_25_34,P_Oth_lt_health_cond_35_44,P_Oth_lt_health_cond_45_54,P_Oth_lt_health_cond_55_64,P_Oth_lt_health_cond_65_74,P_Oth_lt_health_cond_75_84,P_Oth_lt_health_cond_85_over,P_Oth_lt_health_cond_Tot,P_No_lt_health_cond_0_14,P_No_lt_health_cond_15_24,P_No_lt_health_cond_25_34,P_No_lt_health_cond_35_44,P_No_lt_health_cond_45_54,P_No_lt_health_cond_55_64,P_No_lt_health_cond_65_74,P_No_lt_health_cond_75_84,P_No_lt_health_cond_85_over,P_No_lt_health_cond_Tot
101,16,17,56,70,142,239,418,393,240,1589,29,15,37,107,279,654,968,668,246,3003,492,2012,2433,2386,2527,2294,1409,620,371,14540,0,7,18,33,108,187,299,294,205,1165,694,752,1092,1426,1922,2222,1922,977,675,11684,15939,7584,8606,8096,8562,7916,5266,1966,497,64435,1983,1167,1206,1239,1340,1519,1194,701,384,10734,20341,12105,14123,14309,16431,18120,15465,8268,3447,122612,40,190,600,1374,3295,6911,8733,5813,2263,29227,3233,2343,2721,2814,3033,3251,2957,1462,493,22297,26,49,144,324,825,1943,2884,1867,666,8735,0,4,7,10,31,76,297,726,863,2013,89,180,317,622,1417,2816,3760,2330,650,12181,49,95,132,261,785,2060,3726,3092,1379,11577,49,45,86,135,281,499,899,796,400,3188,57,41,79,179,514,1245,1959,1397,477,5952,1127,3119,3736,3799,4256,4013,2571,1104,554,24274,10,20,34,60,205,440,784,719,376,2643,1728,1352,1806,2294,3279,4146,3677,1789,1036,21117,32454,16729,18040,16779,17578,16171,10684,3923,932,133286
102,30,24,70,95,176,270,492,628,408,2193,26,30,44,115,393,1054,1631,1279,529,5096,937,3525,3838,3672,3774,3403,2222,1163,722,23259,13,7,31,49,152,305,496,606,431,2080,1136,1226,1660,2071,2511,3211,2931,1774,1234,17756,23818,11770,11567,12603,12194,10261,6835,3005,924,92982,2620,1501,1476,1539,1542,1555,1438,1143,831,13652,30221,18898,19571,21498,22803,23525,21622,13774,6593,178502,65,191,689,1632,3971,8010,11765,9322,4007,39644,4977,3796,4183,4365,4320,4347,3992,2434,840,33249,70,85,161,475,1136,2523,4020,3319,1168,12953,10,5,8,14,31,156,483,1332,1682,3717,106,256,398,896,2083,3946,5704,4219,1267,18877,99,105,150,309,996,2781,5192,5146,2522,17302,77,51,106,182,343,570,1109,1279,686,4397,66,61,79,206,678,1831,2868,2500,925,9212,2035,5559,6005,5946,6147,5659,3767,1961,977,38063,21,17,61,93,313,678,1210,1339,741,4483,3054,2346,2627,3311,4229,5581,5174,3072,1771,31156,48016,25467,24054,25379,24719,20040,12791,5613,1557,187635
103,12,19,41,57,108,151,254,253,177,1066,31,20,34,76,273,561,833,595,211,2628,523,2110,2347,2114,2127,1935,1137,510,349,13142,5,5,21,38,105,168,244,283,190,1050,714,669,997,1173,1359,1641,1425,818,493,9295,15450,7102,7454,6866,6856,5995,3965,1747,541,55975,2184,1122,1112,1128,1244,1135,977,671,371,9946,20174,11700,12671,12233,13379,13957,12147,7429,3396,107086,49,141,436,943,2472,5304,6984,5092,2167,23594,3529,2574,2734,2652,2660,2916,2607,1439,436,21542,43,45,115,241,694,1430,2198,1663,531,6962,3,0,5,12,24,72,265,716,756,1861,82,188,310,607,1412,2585,3438,2230,675,11535,68,75,114,200,661,1726,2983,2712,1341,9869,36,43,78,105,212,351,540,516,304,2181,69,42,68,163,460,1140,1691,1280,422,5335,1193,3286,3642,3402,3590,3365,2064,935,493,21970,8,10,31,77,172,391,652,629,336,2307,1863,1299,1573,1885,2425,3051,2643,1503,749,16987,31185,15606,15497,14205,14084,12168,7978,3411,942,115071
104,11,10,26,35,76,133,217,283,195,977,13,8,17,61,210,514,737,602,244,2414,314,1155,1436,1429,1636,1664,1059,526,339,9563,7,3,10,22,70,111,216,259,181,885,418,397,564,733,1085,1430,1308,773,484,7192,9646,4425,4643,4748,5013,4950,3713,1351,373,38853,1227,732,766,831,839,857,768,510,298,6827,12245,7041,7767,8301,9571,11149,10711,6173,2726,75685,28,88,296,750,1816,4139,5861,4272,1820,19066,1825,1285,1363,1583,1609,1955,1922,1087,336,12969,17,20,70,187,503,1126,2022,1484,568,5999,3,0,7,10,19,71,246,578,655,1600,45,81,147,308,792,1542,2340,1725,514,7497,41,38,62,130,429,1324,2671,2521,1276,8493,25,23,48,83,145,273,483,606,350,2037,37,16,32,113,351,1004,1507,1202,450,4709,680,1888,2219,2420,2740,2884,1990,931,468,16223,6,3,19,42,128,290,551,575,330,1952,1084,821,933,1237,1833,2571,2482,1358,702,13025,19156,9449,9428,9324,9790,9406,7298,2691,660,77210
105,10,11,24,40,70,125,186,155,105,725,16,5,10,42,162,380,482,287,125,1508,213,987,1240,978,1044,1030,573,236,139,6435,4,0,7,18,72,108,155,128,73,567,331,282,529,534,716,853,662,386,241,4532,8141,3660,4643,3598,3253,3169,1924,837,251,29483,1718,920,1038,967,926,918,748,553,317,8101,11187,6233,7990,6684,6960,7904,6449,3996,1763,59164,29,73,221,513,1263,2982,3847,2638,1115,12687,2049,1305,1628,1386,1374,1693,1489,727,233,11882,31,27,68,147,331,768,1158,807,254,3587,0,0,4,4,12,50,142,369,359,948,35,81,203,384,929,1702,2025,1310,324,6994,36,42,91,145,445,1210,1820,1458,693,5946,23,21,37,60,132,264,401,307,166,1424,34,14,45,78,270,684,1001,598,250,2976,528,1510,1880,1621,1750,1772,1053,414,196,10722,3,6,11,42,136,244,372,313,147,1279,861,554,842,917,1258,1641,1303,687,370,8427,16180,7830,9547,7316,6773,6380,3892,1658,445,60012
106,17,38,68,87,171,232,423,452,261,1758,50,28,52,118,343,803,1163,817,265,3643,960,3355,4124,3474,3384,2898,1744,812,413,21165,12,8,28,65,141,258,384,379,235,1514,1093,1066,1679,1867,2101,2558,2025,1078,616,14081,21257,9728,10344,9737,9256,7678,4970,1986,486,75448,2508,1341,1301,1294,1297,1155,934,676,460,10958,27755,16342,18509,17862,18476,18705,16253,9084,3652,146640,57,206,811,1789,3790,7661,10180,6706,2478,33683,5487,3572,4274,4060,3830,3618,3380,1604,498,30337,59,58,196,387,958,2010,3156,2171,671,9668,0,7,5,19,34,122,374,887,808,2259,124,228,518,930,2127,3789,4953,3098,789,16545,125,127,193,354,1039,2647,4415,3731,1580,14203,64,66,117,162,327,515,907,893,427,3472,89,65,91,226,614,1486,2310,1669,491,7047,2113,5282,6240,5631,5540,4912,3127,1398,568,34821,25,25,38,113,274,549,909,885,416,3240,2953,1952,2619,3039,3606,4466,3761,1964,932,25289,42533,21574,21932,20288,18963,15429,9850,3925,859,155351
107,32,32,69,87,172,312,435,548,337,2019,25,37,41,90,315,795,986,905,374,3572,608,3481,3668,3048,3038,2634,1647,1002,610,19745,8,11,34,55,135,238,378,469,315,1643,974,1266,1667,1911,2296,2743,2389,1433,971,15643,21886,12478,12361,11925,10999,9003,5497,2250,618,87011,2026,1515,1349,1289,1322,1236,974,759,588,11063,27129,19685,20076,19769,20108,20017,16665,10565,5069,159091,59,236,634,1417,3436,6931,9104,7458,3371,32636,4345,3776,3855,3776,3382,3200,2697,1677,563,27273,59,99,197,445,984,2067,2981,2361,908,10085,0,11,0,12,28,109,375,1034,1250,2827,95,223,433,781,1771,3441,4573,3497,1189,15991,91,92,149,268,845,2229,3768,3703,2011,13144,70,68,114,166,313,620,904,1014,575,3856,56,67,92,178,527,1387,1903,1776,711,6690,1261,5286,5604,4984,4991,4471,2748,1517,859,31718,18,23,58,91,249,510,874,1016,571,3404,2497,2276,2646,3170,3926,4817,4258,2489,1442,27511,44191,26996,26471,24446,22544,18221,10725,4368,1111,179077
108,8,25,42,41,104,243,444,527,385,1824,22,25,30,88,290,829,1346,1064,386,4085,557,2041,2083,2094,2469,2768,1904,981,655,15544,0,8,17,30,122,251,388,519,349,1688,679,632,847,1093,1541,2385,2292,1396,885,11752,13496,6411,5891,6327,7295,8129,6575,2836,740,57700,1906,1046,992,1027,1133,1368,1365,898,503,10233,17806,10679,10365,11408,14172,18615,19066,11712,5162,118993,38,144,391,1020,2658,6894,10999,8180,3437,33758,3247,2135,2197,2397,2687,3462,3754,2213,710,22801,31,56,84,231,695,1903,3680,2860,1025,10570,3,9,8,14,29,120,430,1212,1379,3204,57,151,246,518,1274,2793,4719,3348,1074,14176,65,81,119,208,673,2218,4599,4360,2221,14539,30,45,68,95,218,481,958,1133,644,3667,41,47,60,168,554,1609,2770,2136,736,8121,1186,3295,3380,3435,4222,4755,3552,1734,905,26460,9,11,35,79,218,564,1056,1164,646,3783,1724,1242,1384,1788,2657,4338,4408,2514,1349,21405,26697,13787,11848,12530,14427,15453,12779,5549,1361,114425
109,7,7,6,40,68,98,168,196,131,739,5,9,19,46,122,291,466,381,150,1481,270,1184,1283,1199,1209,1187,703,378,241,7650,3,10,10,25,59,96,172,158,151,686,328,370,512,579,747,977,810,492,367,5189,8452,3934,4109,3979,3917,3804,2665,1147,295,32306,1168,690,652,696,680,764,629,464,180,5915,10842,6564,7010,7077,7569,8641,7679,4791,2025,62202,30,70,227,542,1315,2923,4185,3076,1366,13722,1786,1424,1599,1534,1560,1696,1538,904,300,12346,26,33,60,157,361,875,1401,1116,377,4405,4,0,7,5,21,49,158,399,451,1098,36,80,177,323,692,1374,2057,1379,409,6532,39,28,76,116,386,1042,1953,1765,895,6310,22,26,25,73,111,214,351,408,203,1445,17,23,38,91,219,555,980,748,283,2950,569,1750,1999,1928,2044,1983,1333,662,330,12600,3,11,25,40,111,215,441,396,253,1480,889,685,833,972,1303,1742,1538,891,555,9406,16894,8486,8566,8049,7955,7647,5319,2201,551,65669
110,10,18,29,50,83,157,257,294,171,1078,24,16,25,69,210,541,719,575,183,2366,374,1722,1835,1655,1669,1662,973,496,261,10653,6,8,7,31,80,170,214,274,163,941,537,607,774,950,1235,1505,1208,742,411,7977,12847,6361,6711,5796,5713,5221,3532,1630,426,48239,2377,1638,1336,1228,1311,1340,1046,786,441,11505,17243,10975,11401,10539,11402,12570,10695,6966,2896,94689,37,145,364,776,2026,4368,5871,4492,1793,19879,3055,2294,2308,2199,2260,2691,2265,1326,405,18808,24,50,132,238,539,1281,1982,1485,484,6215,3,0,6,9,22,74,227,557,616,1512,70,128,297,583,1197,2274,2937,1988,548,10014,78,79,106,213,571,1619,2643,2467,1155,8924,35,48,64,101,181,348,541,572,286,2178,52,36,50,124,363,1033,1424,1079,350,4511,848,2594,2846,2689,2809,2860,1742,844,355,17581,15,7,15,56,168,378,540,630,313,2124,1421,1087,1264,1524,2077,2737,2241,1315,608,14277,25902,13569,13787,11804,11601,10440,6992,3084,709,97886
