SA4_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
101,3925,31636,35078,13365,8421,92428,6286,98716
102,8565,50100,47591,15607,9248,131104,7069,138174
103,4574,27372,29727,11489,7025,80181,6194,86372
104,2870,21853,21145,6989,3749,56613,3830,60448
105,2893,15683,14940,5407,3241,42168,5356,47524
106,4657,35234,41989,15641,9719,107244,5308,112548
107,8577,40768,43594,14482,8743,116172,5250,121418
108,5036,37004,32972,10824,5964,91796,6447,98245
109,2807,17226,17874,6183,3429,47513,4065,51583
110,4210,24743,25050,9261,5622,68885,7254,76139
111,9852,53632,57623,18042,10142,149295,6181,155470
112,5175,38031,37008,12162,6646,99031,7973,107001
113,3423,20224,22120,8515,5177,59462,4556,64024
114,2607,23726,24228,8077,4852,63487,3627,67117
115,2092,22438,35148,12955,9890,82521,2323,84846
116,8313,44073,46568,14748,7577,121280,7704,128982
117,46918,68908,22345,3996,1614,143782,10080,153861
118,17184,48716,27666,6134,2771,102470,5625,108087
119,24781,82460,60665,19466,10865,198238,13153,211385
120,17415,56497,31435,7280,3378,116003,5411,121417
121,17368,72948,51064,12536,5705,159620,4941,164571
122,6212,34707,36130,10844,6266,94157,3213,97369
123,5470,30605,36450,13431,9096,95047,4866,99918
124,7450,40724,43175,15182,9810,116340,6068,122411
125,19901,69410,48489,14119,7487,159411,11955,171363
126,8241,33504,23124,5989,2851,73709,2772,76484
127,11447,44741,49944,19740,12507,138382,9049,147434
128,4757,28217,32997,10290,6455,82713,2637,85350
197,0,0,0,0,0,0,0,0
201,3499,24017,25488,9260,5740,67997,4004,72000
202,3017,22094,24667,9121,5664,64558,4003,68557
203,5903,42923,50636,15353,8809,123617,6020,129641
204,3116,23404,27733,10666,6884,71800,5436,77241
205,5668,41058,44738,16596,10150,118208,8444,126657
206,69230,137479,56393,11109,4775,278988,17331,296316
207,10400,54900,52534,13859,6867,138562,4715,143279
208,11664,66332,62780,15130,7132,163038,5829,168868
209,10923,65581,75351,23763,13621,189227,8319,197544
210,7498,46741,55873,18691,11000,139804,7716,147519
211,7311,58796,78206,25964,16296,186573,6479,193051
212,13994,88809,115044,39021,21782,278648,14242,292892
213,16572,101008,108744,33903,17653,277887,16971,294854
214,5478,41285,47917,14935,8374,117990,6473,124469
215,3526,20187,21823,8777,5804,60120,5087,65201
216,2550,17053,19052,7724,4987,51373,4157,55527
217,2413,16919,18962,7529,4886,50707,3304,54018
297,0,0,0,0,0,0,0,0
301,4170,28288,35493,12598,7192,87743,3114,90854
302,6251,33573,32863,9101,4490,86265,3272,89541
303,8673,48623,51263,15237,7554,131351,5206,136555
304,3612,23341,27570,8072,3895,66490,1608,68103
305,16290,58854,35072,8339,3957,122509,6601,129105
306,6005,36766,35160,11305,5666,94902,8986,103886
307,2124,15973,17470,7425,4854,47846,4563,52412
308,4424,29185,31440,11967,6804,83813,7185,91002
309,11494,84956,91085,29988,16677,234201,15011,249212
310,6194,41132,48446,17567,9915,123255,7358,130610
311,5682,37085,44339,17780,11692,116573,8831,125403
312,3012,21867,24759,9415,5255,64300,6106,70405
313,5576,36054,34554,12902,8324,97416,5664,103081
314,2352,22939,32167,11127,6234,74815,2561,77377
315,3605,12418,8906,3066,2126,30125,4518,34644
316,5969,54441,59533,19912,11456,151306,7963,159265
317,3417,21697,22643,7852,4506,60108,2887,62994
318,5003,30901,33598,11310,5768,86582,6544,93129
319,6736,46752,43402,15764,9082,121738,8707,130448
397,4,0,0,0,0,7,4,5
401,10800,46169,43937,13642,7921,122471,4227,126696
402,11966,59704,61509,21025,11710,165915,7257,173169
403,9414,53797,56511,17879,9452,147050,4814,151859
404,9091,39040,34513,10421,5254,98319,3769,102090
405,2194,15684,17027,6949,4772,46622,2993,49611
406,2970,12338,11283,4174,2395,33162,3155,36316
407,3970,27442,28350,11288,7247,78293,5122,83412
497,0,0,0,0,0,0,0,0
501,2623,23378,28124,10562,5892,70574,4504,75085
502,1999,16139,15300,5274,2866,41580,2015,43597
503,7117,32116,24417,6344,3019,73015,3696,76713
504,4597,32996,39729,13961,8435,99718,4653,104364
505,8651,71012,87484,28072,14993,210215,8161,218372
506,9276,64608,74737,25654,14718,188994,8905,197902
507,7596,56037,66286,21043,10900,161863,6865,168725
509,2031,16143,18914,8342,6113,51536,5048,56577
510,3192,12481,9967,3501,1832,30977,5824,36799
511,2575,17112,16190,5973,3680,45528,6087,51619
597,11,0,0,0,0,13,0,13
601,6728,34667,33503,12324,7554,94771,4008,98783
602,3472,21094,21422,8716,5405,60103,3258,63364
603,480,4961,6336,2792,1942,16505,1157,17659
604,2750,16783,16737,6612,3988,46873,2753,49622
697,0,0,0,0,0,0,0,0
701,2969,17150,18639,6385,3461,48611,4897,53503
702,5691,11902,6881,2195,1238,27912,3954,31867
797,7,0,0,0,0,7,3,7
801,9544,66388,64944,18354,9303,168537,6436,174972
897,0,0,0,0,0,0,0,0
901,84,600,532,213,118,1549,253,1805
997,0,0,0,0,0,0,0,0
