SA4_CODE_2021,AG_15_19_Nbr_ch_ev_brn_No,AG_15_19_Nbr_ch_ev_brn_1,AG_15_19_Nbr_ch_ev_brn_2,AG_15_19_Nbr_ch_ev_brn_3,AG_15_19_Nbr_ch_ev_brn_4,AG_15_19_Nbr_ch_ev_brn_5,AG_15_19_Nbr_ch_ev_brn_6m,AG_15_19_Nbr_ch_ev_brn_Ns,AG_15_19_Tot,AG_20_24_Nbr_ch_ev_brn_No,AG_20_24_Nbr_ch_ev_brn_1,AG_20_24_Nbr_ch_ev_brn_2,AG_20_24_Nbr_ch_ev_brn_3,AG_20_24_Nbr_ch_ev_brn_4,AG_20_24_Nbr_ch_ev_brn_5,AG_20_24_Nbr_ch_ev_brn_6m,AG_20_24_Nbr_ch_ev_brn_Ns,AG_20_24_Tot,AG_25_29_Nbr_ch_ev_brn_No,AG_25_29_Nbr_ch_ev_brn_1,AG_25_29_Nbr_ch_ev_brn_2,AG_25_29_Nbr_ch_ev_brn_3,AG_25_29_Nbr_ch_ev_brn_4,AG_25_29_Nbr_ch_ev_brn_5,AG_25_29_Nbr_ch_ev_brn_6m,AG_25_29_Nbr_ch_ev_brn_Ns,AG_25_29_Tot,AG_30_34_Nbr_ch_ev_brn_No,AG_30_34_Nbr_ch_ev_brn_1,AG_30_34_Nbr_ch_ev_brn_2,AG_30_34_Nbr_ch_ev_brn_3,AG_30_34_Nbr_ch_ev_brn_4,AG_30_34_Nbr_ch_ev_brn_5,AG_30_34_Nbr_ch_ev_brn_6m,AG_30_34_Nbr_ch_ev_brn_Ns,AG_30_34_Tot,AG_35_39_Nbr_ch_ev_brn_No,AG_35_39_Nbr_ch_ev_brn_1,AG_35_39_Nbr_ch_ev_brn_2,AG_35_39_Nbr_ch_ev_brn_3,AG_35_39_Nbr_ch_ev_brn_4,AG_35_39_Nbr_ch_ev_brn_5,AG_35_39_Nbr_ch_ev_brn_6m,AG_35_39_Nbr_ch_ev_brn_Ns,AG_35_39_Tot,AG_40_44_Nbr_ch_ev_brn_No,AG_40_44_Nbr_ch_ev_brn_1,AG_40_44_Nbr_ch_ev_brn_2,AG_40_44_Nbr_ch_ev_brn_3,AG_40_44_Nbr_ch_ev_brn_4,AG_40_44_Nbr_ch_ev_brn_5,AG_40_44_Nbr_ch_ev_brn_6m,AG_40_44_Nbr_ch_ev_brn_Ns,AG_40_44_Tot,AG_45_49_Nbr_ch_ev_brn_No,AG_45_49_Nbr_ch_ev_brn_1,AG_45_49_Nbr_ch_ev_brn_2,AG_45_49_Nbr_ch_ev_brn_3,AG_45_49_Nbr_ch_ev_brn_4,AG_45_49_Nbr_ch_ev_brn_5,AG_45_49_Nbr_ch_ev_brn_6m,AG_45_49_Nbr_ch_ev_brn_Ns,AG_45_49_Tot,AG_50_54_Nbr_ch_ev_brn_No,AG_50_54_Nbr_ch_ev_brn_1,AG_50_54_Nbr_ch_ev_brn_2,AG_50_54_Nbr_ch_ev_brn_3,AG_50_54_Nbr_ch_ev_brn_4,AG_50_54_Nbr_ch_ev_brn_5,AG_50_54_Nbr_ch_ev_brn_6m,AG_50_54_Nbr_ch_ev_brn_Ns,AG_50_54_Tot,AG_55_59_Nbr_ch_ev_brn_No,AG_55_59_Nbr_ch_ev_brn_1,AG_55_59_Nbr_ch_ev_brn_2,AG_55_59_Nbr_ch_ev_brn_3,AG_55_59_Nbr_ch_ev_brn_4,AG_55_59_Nbr_ch_ev_brn_5,AG_55_59_Nbr_ch_ev_brn_6m,AG_55_59_Nbr_ch_ev_brn_Ns,AG_55_59_Tot,AG_60_64_Nbr_ch_ev_brn_No,AG_60_64_Nbr_ch_ev_brn_1,AG_60_64_Nbr_ch_ev_brn_2,AG_60_64_Nbr_ch_ev_brn_3,AG_60_64_Nbr_ch_ev_brn_4,AG_60_64_Nbr_ch_ev_brn_5,AG_60_64_Nbr_ch_ev_brn_6m,AG_60_64_Nbr_ch_ev_brn_Ns,AG_60_64_Tot,AG_65_69_Nbr_ch_ev_brn_No,AG_65_69_Nbr_ch_ev_brn_1,AG_65_69_Nbr_ch_ev_brn_2,AG_65_69_Nbr_ch_ev_brn_3,AG_65_69_Nbr_ch_ev_brn_4,AG_65_69_Nbr_ch_ev_brn_5,AG_65_69_Nbr_ch_ev_brn_6m,AG_65_69_Nbr_ch_ev_brn_Ns,AG_65_69_Tot,AG_70_74_Nbr_ch_ev_brn_No,AG_70_74_Nbr_ch_ev_brn_1,AG_70_74_Nbr_ch_ev_brn_2,AG_70_74_Nbr_ch_ev_brn_3,AG_70_74_Nbr_ch_ev_brn_4,AG_70_74_Nbr_ch_ev_brn_5,AG_70_74_Nbr_ch_ev_brn_6m,AG_70_74_Nbr_ch_ev_brn_Ns,AG_70_74_Tot,AG_75_79_Nbr_ch_ev_brn_No,AG_75_79_Nbr_ch_ev_brn_1,AG_75_79_Nbr_ch_ev_brn_2,AG_75_79_Nbr_ch_ev_brn_3,AG_75_79_Nbr_ch_ev_brn_4,AG_75_79_Nbr_ch_ev_brn_5,AG_75_79_Nbr_ch_ev_brn_6m,AG_75_79_Nbr_ch_ev_brn_Ns,AG_75_79_Tot,AG_80_84_Nbr_ch_ev_brn_No,AG_80_84_Nbr_ch_ev_brn_1,AG_80_84_Nbr_ch_ev_brn_2,AG_80_84_Nbr_ch_ev_brn_3,AG_80_84_Nbr_ch_ev_brn_4,AG_80_84_Nbr_ch_ev_brn_5,AG_80_84_Nbr_ch_ev_brn_6m,AG_80_84_Nbr_ch_ev_brn_Ns,AG_80_84_Tot,AG_85_over_Nbr_ch_ev_brn_No,AG_85_over_Nbr_ch_ev_brn_1,AG_85_over_Nbr_ch_ev_brn_2,AG_85_over_Nbr_ch_ev_brn_3,AG_85_over_Nbr_ch_ev_brn_4,AG_85_over_Nbr_ch_ev_brn_5,AG_85_over_Nbr_ch_ev_brn_6m,AG_85_over_Nbr_ch_ev_brn_Ns,AG_85_over_Tot,Tot_Num_child_evr_brn_No,Tot_Num_child_evr_brn_1,Tot_Num_child_evr_brn_2,Tot_Num_child_evr_brn_3,Tot_Num_child_evr_brn_4,Tot_Num_child_evr_brn_5,Tot_Num_child_evr_brn_6m,Tot_Num_child_evr_brn_Ns,Tot_Tot
101,5638,39,4,0,0,0,0,670,6353,4575,442,164,34,7,0,4,523,5749,4018,1106,749,241,78,21,6,557,6775,2421,1474,1820,780,222,70,37,529,7353,1459,1110,2429,1215,384,122,70,496,7284,1151,894,2381,1363,516,154,99,477,7028,1141,952,2673,1604,573,186,108,514,7759,1444,987,3004,1753,655,189,112,532,8675,1363,1055,3035,1861,690,196,117,628,8948,1341,947,3033,2065,856,210,126,605,9173,1085,792,2776,1884,819,237,117,558,8255,748,597,2496,1687,776,213,122,572,7212,462,354,1574,1201,621,198,132,433,4965,244,170,861,812,496,203,171,347,3305,241,233,736,758,542,241,250,444,3447,27317,11156,27725,17256,7236,2228,1472,7883,102269
102,8952,61,7,0,0,0,0,760,9785,7526,661,250,30,10,0,4,630,9113,5571,1560,1141,336,73,21,6,611,9333,3383,2239,2600,1071,296,63,34,546,10236,1920,1851,3986,1783,543,156,74,530,10841,1419,1476,3996,2152,730,217,123,541,10656,1542,1478,4285,2309,829,239,141,534,11362,1493,1528,4221,2439,890,262,142,459,11444,1465,1416,4245,2639,940,282,139,553,11673,1388,1350,4393,2847,996,274,133,468,11856,1175,1184,4079,2700,943,215,106,614,11017,980,1011,3943,2584,949,266,122,742,10602,690,672,2693,2048,832,253,120,764,8079,414,400,1573,1395,726,237,181,762,5690,491,432,1482,1359,837,336,304,1361,6593,38422,17345,42900,25695,9583,2829,1632,9872,148282
103,5446,65,6,0,0,0,0,681,6204,4131,559,241,46,12,0,0,506,5500,3147,1098,941,398,111,34,17,434,6176,1759,1189,1731,910,307,80,51,475,6496,1038,821,1972,1289,493,162,102,446,6321,724,637,1873,1382,578,158,138,427,5915,786,693,2094,1542,644,200,145,460,6557,793,701,2215,1620,639,236,150,478,6824,841,678,2205,1692,734,242,125,464,6973,812,637,2162,1719,828,239,116,464,6988,607,512,1969,1609,750,192,118,417,6177,516,475,1938,1458,745,222,132,489,5971,351,274,1198,1159,586,212,124,451,4344,247,153,650,774,515,187,186,382,3089,265,189,646,720,541,300,275,463,3396,21449,8672,21834,16307,7464,2469,1682,7025,86914
104,3417,40,4,0,0,0,0,419,3886,2394,299,140,21,4,0,0,304,3155,1921,627,506,185,55,17,3,358,3673,1203,755,1059,485,182,51,22,345,4091,704,605,1331,745,296,81,57,345,4163,586,537,1398,853,306,96,63,304,4141,623,544,1613,932,393,127,89,335,4653,634,614,1673,1023,423,142,111,301,4925,774,607,1741,1161,487,134,79,330,5328,776,575,1988,1351,564,162,95,309,5821,700,538,1891,1409,551,142,69,363,5656,493,437,1815,1255,479,157,70,347,5051,317,265,1176,925,429,152,70,306,3645,191,152,644,613,392,146,113,285,2524,177,172,589,580,423,186,161,441,2726,14908,6752,17562,11542,4985,1593,1003,5092,63436
105,2615,50,5,0,0,0,0,488,3153,2109,367,140,39,7,0,0,413,3078,1951,664,591,253,86,18,8,475,4042,1063,740,947,504,173,37,33,449,3951,531,439,1021,650,298,84,64,436,3526,392,314,866,664,323,103,101,400,3152,374,324,941,684,347,126,106,362,3266,410,321,1114,801,376,132,106,429,3690,442,338,1202,922,414,103,95,406,3907,384,326,1271,945,442,142,85,402,4002,288,235,1013,871,405,133,74,396,3423,229,195,917,744,383,123,83,354,3029,159,130,585,543,332,135,85,318,2287,96,58,323,415,288,133,108,297,1713,78,81,291,339,295,151,161,373,1763,11121,4577,11216,8361,4161,1434,1113,5990,47980
106,7711,83,10,0,0,0,3,669,8475,6139,779,333,57,15,0,6,540,7867,4640,1732,1379,493,147,38,18,505,8956,2602,1902,2804,1277,358,108,61,451,9551,1499,1407,3288,1817,613,153,112,415,9311,1045,1026,3036,1886,748,234,150,423,8545,1032,1095,3313,2093,805,264,180,429,9209,1087,1046,3445,2149,774,232,155,384,9268,1022,930,3512,2170,850,232,170,400,9296,933,907,3444,2446,914,249,138,375,9403,803,683,3136,2318,852,237,121,410,8563,633,575,2770,2034,848,250,120,462,7701,418,378,1808,1442,690,209,134,478,5558,257,183,953,855,541,227,149,362,3532,230,249,778,800,557,243,240,568,3652,30054,12966,34010,21840,8724,2662,1756,6867,118883
107,8577,43,4,0,0,0,0,716,9336,8906,486,187,25,14,0,0,736,10350,6634,1359,914,274,70,15,4,599,9874,3771,2234,2490,905,230,58,18,484,10196,1912,1654,3767,1660,454,128,87,446,10100,1290,1292,3929,1874,599,159,122,409,9672,1292,1271,4261,2073,679,187,128,424,10303,1261,1191,3904,2093,716,203,121,323,9804,1187,1154,3994,2322,717,222,118,355,10062,1077,1014,3874,2423,874,221,107,360,9953,791,848,3354,2289,819,238,121,398,8859,626,656,3016,2071,711,207,98,415,7804,358,426,2105,1632,679,219,103,460,5993,285,306,1305,1224,583,233,141,487,4565,244,318,1289,1186,623,311,207,900,5069,38200,14252,38388,22047,7764,2394,1391,7521,131960
108,5339,50,5,0,0,0,0,626,6026,3523,465,200,50,6,0,0,407,4659,2499,911,734,298,80,20,8,410,4964,1473,977,1471,680,265,81,55,398,5405,917,807,1848,1031,405,125,98,395,5633,830,723,1917,1157,451,184,119,394,5779,877,780,2242,1474,595,200,121,427,6724,1059,876,2547,1562,630,227,114,438,7451,1244,878,2987,1890,733,225,135,540,8636,1334,992,3469,2325,926,247,106,586,9982,1154,884,3366,2376,965,229,79,597,9652,966,792,3372,2322,907,232,125,698,9411,685,528,2336,1747,775,209,148,613,7047,339,286,1196,1144,710,266,176,548,4665,430,361,1155,1072,776,335,259,773,5162,22669,10320,28860,19126,8221,2580,1546,7860,101184
109,3018,36,7,0,0,0,0,418,3481,2393,261,104,24,3,0,0,296,3092,1830,573,512,150,32,7,6,299,3403,1089,714,917,429,112,35,23,281,3604,592,482,1185,723,226,71,60,276,3613,425,394,1146,762,278,98,84,272,3465,441,415,1225,839,328,95,67,280,3694,471,387,1303,939,340,114,76,246,3875,471,429,1305,1040,393,129,81,313,4165,471,353,1486,1195,473,116,73,310,4481,369,338,1285,1069,475,126,68,303,4026,274,257,1184,942,459,129,94,313,3653,190,160,787,696,374,139,92,297,2733,130,96,426,491,359,144,134,286,2059,129,104,329,443,354,194,180,294,2025,12287,4989,13196,9744,4206,1411,1043,4485,51360
110,4816,74,12,5,0,0,0,916,5822,3569,518,250,79,19,0,0,717,5149,2793,910,806,357,95,28,16,643,5654,1554,974,1411,791,274,100,52,586,5746,856,733,1528,1068,407,137,96,575,5405,646,552,1585,1126,445,153,133,501,5141,633,535,1681,1290,526,180,168,555,5561,688,574,1863,1351,517,154,135,567,5837,724,587,1980,1413,555,198,113,591,6162,654,524,2070,1562,694,214,128,566,6409,561,456,1703,1385,669,182,108,498,5561,420,334,1614,1354,590,189,103,531,5133,321,230,1098,1002,542,196,128,502,4019,196,136,605,719,499,185,179,428,2946,182,138,498,601,479,236,271,504,2896,18613,7269,18708,14099,6320,2141,1632,8665,77447
