SUA_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
1000,2191,9337,43324,148799,110264,24117,6762,28721,373511,113,1673,7281,3290,483,95,49,1752,14739,24,349,1405,1510,240,49,19,325,3921,135,2025,8690,4802,722,149,69,2075,18665,148,1489,3990,1117,183,38,31,1056,8049,7,111,417,179,20,7,3,69,809,3,7,62,37,0,0,0,17,128,0,5,8,6,0,4,0,3,23,17,152,174,92,92,27,21,62,643,177,1769,4639,1437,293,75,55,1211,9656,1174,2497,1737,801,390,100,76,1951,8727,256,596,541,470,281,100,112,460,2815,3934,16227,58932,156312,111952,24532,7069,34413,413367
1001,44,221,3026,15384,11462,1360,222,1516,33235,13,615,3331,705,38,4,9,501,5221,0,127,223,142,17,6,0,81,591,13,745,3554,840,59,7,9,576,5809,6,136,308,40,0,0,0,46,532,4,8,64,0,0,0,0,11,84,0,0,25,4,0,0,0,6,35,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,11,7,143,396,44,3,0,0,62,663,21,32,35,24,11,0,0,104,226,0,5,8,19,20,0,0,26,79,85,1144,7026,16316,11555,1373,234,2282,40006
1002,11,110,736,3323,2290,558,140,382,7555,4,138,573,179,14,5,0,94,1006,0,33,81,40,10,0,0,15,175,4,170,648,222,21,3,0,104,1182,8,128,205,44,5,0,3,59,457,0,7,34,5,0,0,0,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,8,141,243,53,5,5,3,61,518,8,22,17,5,4,0,0,26,82,0,6,6,0,3,0,0,8,32,35,444,1657,3612,2330,569,143,585,9375
1003,43,218,1412,5570,4671,949,207,572,13633,3,114,1031,967,101,10,3,155,2381,3,117,580,727,90,9,7,114,1645,8,232,1611,1691,192,19,4,268,4023,4,76,375,148,12,3,0,53,679,0,4,103,49,0,0,0,11,160,0,10,25,39,0,0,0,16,88,0,0,12,3,0,0,0,0,19,3,21,7,4,3,0,0,3,48,3,115,526,249,14,6,3,79,992,31,140,188,57,7,0,0,218,644,4,29,10,8,8,0,0,13,77,94,732,3751,7580,4890,971,214,1148,19376
1004,7,70,534,2612,1957,416,89,334,6020,0,14,177,178,7,3,0,38,429,0,30,131,163,28,3,0,38,395,0,43,314,349,32,4,0,80,826,0,75,391,196,10,8,0,57,740,0,0,21,3,0,0,0,0,26,0,0,19,6,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,12,0,75,431,211,10,8,0,58,806,10,45,59,13,5,0,0,18,155,0,4,14,3,3,0,0,3,36,25,244,1350,3188,2010,428,95,494,7835
1005,22,81,784,4585,4802,921,204,493,11894,6,144,663,377,56,3,3,96,1345,6,94,101,127,39,0,0,52,418,4,238,767,504,90,5,0,150,1765,20,149,425,72,10,0,4,70,742,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,4,16,20,153,429,74,9,0,4,70,769,5,9,9,4,0,4,0,40,75,5,4,4,3,4,0,3,5,30,51,487,1998,5182,4911,934,218,756,14536
1006,31,192,1053,5369,5875,1327,333,564,14737,3,102,513,261,28,0,6,51,963,0,6,112,204,23,0,0,10,359,3,104,627,469,46,3,0,65,1318,3,96,213,48,11,5,0,29,401,0,7,12,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,7,12,6,5,0,55,3,111,229,59,21,8,3,32,470,11,42,55,13,6,5,0,24,159,0,6,6,5,8,0,3,3,33,51,461,1965,5911,5960,1342,342,689,16718
1007,20,144,1317,3984,1216,207,43,537,7470,0,57,79,17,5,0,0,25,187,0,3,14,12,0,0,0,4,23,0,59,84,31,5,0,0,28,206,0,95,84,4,0,0,0,44,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,84,4,0,0,0,44,226,15,41,8,0,0,0,0,9,80,4,4,3,9,0,0,3,9,40,47,346,1500,4026,1231,212,44,624,8021
1008,32,143,266,1009,811,186,54,177,2689,0,28,150,155,12,0,0,32,372,5,46,178,389,51,7,0,71,744,5,74,334,541,67,7,0,95,1120,3,87,91,74,8,0,0,32,298,0,3,17,21,4,0,0,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,6,0,0,5,0,4,38,9,100,112,105,16,3,0,41,392,50,86,48,8,3,0,0,38,236,3,14,9,5,3,5,3,8,46,104,417,772,1675,893,198,55,364,4476
1009,25,118,1039,2829,2079,366,72,311,6839,0,22,285,152,11,0,0,138,610,0,7,56,33,9,0,0,9,112,0,30,345,182,19,3,0,140,722,0,55,168,41,5,0,0,25,288,0,5,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,10,0,54,175,45,5,0,0,25,312,21,83,60,19,8,0,0,104,300,4,15,13,9,4,0,0,5,42,52,298,1631,3088,2118,371,71,594,8221
