SUA_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
4007,10049,11122,21167,0,0,0,0,0,0,26,20,45,13,31,46,7,7,17,3,0,3,7,3,9,104,130,235,9,6,16,7,4,17,53,28,76,12,7,20,0,4,6,0,0,0,32,41,76,53,25,77,4,10,16,4,6,10,0,0,3,15,13,24,7,9,16,96,116,213,128,152,280,4,0,3,18,86,108,11,17,29,8,12,24,39,42,88,6,8,16,0,0,5,14,19,32,1610,1857,3471,50,52,106,8,8,19,176,204,384,539,661,1205,18,15,36,13136,14740,27871
4008,8262,7881,16146,0,0,0,3,8,9,6,7,15,18,33,50,24,20,38,6,8,14,10,8,19,50,56,110,25,16,37,0,4,0,129,82,204,6,17,20,4,0,7,0,0,0,16,23,30,39,25,63,0,3,3,6,8,8,0,5,7,11,15,25,3,4,9,35,48,83,87,64,147,7,5,12,119,200,320,9,16,22,5,3,9,73,84,155,15,12,23,0,0,0,4,12,20,934,991,1924,7,15,24,5,6,14,194,184,379,757,678,1436,6,10,11,10878,10543,21420
5000,119923,101852,221772,163,68,228,37,11,58,248,340,586,331,252,579,85,51,134,48,18,64,155,68,227,709,830,1531,54,34,89,74,75,151,669,420,1088,212,319,535,117,24,139,45,6,54,766,495,1256,624,420,1047,48,137,183,92,83,170,35,9,43,362,301,664,49,22,72,615,542,1155,5974,4080,10056,100,49,145,1533,1554,3085,127,127,250,185,188,375,1598,1248,2841,167,78,246,83,215,297,157,539,697,10973,9894,20868,464,470,932,292,254,548,4368,3192,7562,32164,17378,49545,1041,526,1564,184690,146160,330848
5001,12714,13225,25941,3,0,3,0,0,4,43,62,110,30,48,79,5,6,13,8,3,9,7,3,15,73,112,185,3,4,6,12,11,22,64,56,124,18,47,58,4,5,9,0,0,3,27,33,58,68,69,130,8,21,25,5,11,16,0,3,3,44,36,81,3,4,6,92,114,208,286,293,577,0,0,3,235,350,584,21,21,43,11,25,30,203,216,420,17,16,29,5,14,19,58,89,140,1315,1583,2895,48,66,114,25,17,40,342,341,684,833,778,1607,31,19,47,16665,17689,34351
5002,6928,7226,14158,0,0,0,0,0,5,12,31,42,23,64,86,6,6,14,3,0,7,4,4,8,45,76,113,0,0,3,6,8,19,44,32,83,7,24,32,0,3,4,0,0,0,36,47,86,41,35,73,3,20,23,6,5,12,0,0,0,19,17,39,5,5,8,35,49,78,190,189,385,4,3,11,91,131,220,0,7,15,7,19,28,57,77,139,14,14,24,11,22,26,10,60,68,505,551,1062,33,45,73,8,18,24,244,296,544,1429,1565,2990,56,74,128,9897,10724,20620
5003,27225,28492,55717,4,4,9,19,24,44,50,66,117,66,137,202,13,11,23,14,10,27,12,7,21,106,153,254,16,16,24,19,27,50,333,284,621,38,96,135,25,16,45,18,22,42,165,156,322,161,146,304,30,36,68,68,56,118,27,21,43,81,110,193,36,33,66,124,132,258,1157,1081,2239,55,39,94,397,588,991,36,56,92,50,67,123,697,745,1443,34,40,71,53,98,148,35,138,171,2345,2470,4814,91,91,177,37,80,118,783,893,1674,1578,1603,3183,43,49,92,36060,38077,74137
5004,14394,15469,29871,50,20,69,0,0,6,38,63,105,17,34,46,6,7,9,8,4,10,4,7,11,83,140,227,5,0,6,4,17,19,94,71,163,26,54,79,0,5,4,0,0,0,76,101,173,66,39,100,10,36,47,20,29,51,0,0,0,33,32,64,9,10,19,74,82,153,466,467,933,15,10,27,45,109,155,13,22,32,15,39,57,229,262,491,24,27,49,5,32,42,13,76,90,1662,1939,3604,76,76,158,33,38,65,356,429,787,1058,1174,2237,40,38,74,19088,20949,40044
5005,4591,4484,9071,0,0,0,4,3,9,6,17,20,0,9,6,0,0,0,0,0,0,0,0,3,22,32,56,0,0,0,3,8,14,17,11,30,3,16,20,4,0,0,0,0,0,12,13,27,4,8,13,0,0,0,0,4,4,0,0,0,4,6,14,3,0,3,13,17,26,157,165,313,0,0,0,20,64,83,5,0,4,9,8,13,72,79,146,16,13,23,0,0,3,3,29,35,255,280,533,13,13,29,9,9,17,66,96,165,713,655,1369,14,6,23,6039,6043,12083
5006,14457,14949,29409,0,0,0,8,6,15,19,38,55,17,38,54,7,3,12,8,12,18,11,17,29,49,85,138,3,0,11,9,6,11,113,108,229,27,55,90,3,4,6,4,0,10,43,52,94,54,62,116,0,8,10,5,7,9,0,0,0,40,38,82,13,9,24,44,45,91,362,323,683,23,20,44,172,288,458,7,10,11,18,30,44,234,251,484,23,15,35,8,22,34,22,103,133,833,934,1763,45,56,102,44,62,109,318,315,632,1602,1637,3238,27,19,47,18679,19644,38325
5007,10456,9173,19631,22,7,26,5,0,8,12,28,34,100,59,157,14,15,26,8,7,9,48,49,92,34,40,76,0,6,7,4,5,8,218,162,376,24,45,73,23,18,40,4,4,5,56,42,96,20,14,42,4,6,5,18,21,34,0,0,0,24,30,51,12,10,20,19,11,29,1112,946,2059,34,27,64,337,408,751,8,3,14,20,10,32,249,278,525,28,14,47,10,8,18,32,141,172,498,397,887,22,30,51,18,29,49,626,608,1233,1816,1289,3104,47,40,85,15978,13964,29946
5008,6514,5421,11936,3,4,6,7,6,13,14,24,33,24,36,59,5,5,7,8,3,13,10,11,23,18,22,39,5,5,5,8,6,12,151,116,267,14,42,59,4,0,12,0,3,4,77,36,113,11,5,19,0,14,14,4,3,9,0,0,0,24,17,42,17,21,34,23,20,39,460,332,793,22,16,42,191,205,395,8,8,17,20,10,31,126,105,235,26,11,36,15,19,32,33,104,134,451,286,736,19,23,41,23,22,41,293,259,558,2264,1264,3533,75,27,99,10965,8520,19488
5009,605761,622265,1228025,3080,2307,5387,1390,1261,2659,2244,2907,5157,11571,15494,27067,2069,2185,4252,1247,1117,2368,480,555,1036,3918,4836,8758,958,1037,1996,2881,3333,6214,29964,27896,57863,4890,7999,12887,3169,2988,6161,1842,1668,3505,8148,7697,15844,8376,7955,16330,1244,3099,4337,2655,3334,5988,605,541,1150,13919,17066,30984,2148,2050,4199,3348,3503,6846,29041,27822,56857,4396,2755,7156,12564,17805,30365,2151,2978,5131,6840,8342,15180,18282,19624,37905,4392,4157,8552,1156,2231,3384,2196,6070,8271,98608,99701,198306,4244,4411,8651,7273,9760,17031,54800,62486,117289,40412,39973,80389,2715,2603,5323,1004978,1053827,2058802
5010,5962,4965,10926,0,0,0,7,0,3,5,11,23,24,47,70,8,4,15,5,5,4,15,16,30,20,18,45,3,3,9,8,0,6,144,90,234,36,62,100,3,6,8,0,0,0,35,26,61,12,4,13,3,0,3,5,13,17,0,0,7,24,32,60,3,0,3,12,9,16,536,349,888,15,3,17,220,245,465,5,7,10,28,19,50,128,100,227,31,18,48,0,5,0,17,78,91,346,221,561,11,22,32,12,22,30,321,191,510,2393,1212,3609,34,21,54,10442,7818,18260
6000,66675,65238,131911,13,4,19,13,3,14,139,150,287,98,207,301,16,12,25,14,14,27,24,24,46,338,379,718,23,17,44,39,41,79,232,135,367,46,72,113,17,4,20,8,4,8,119,94,208,98,59,152,15,67,82,30,46,77,9,0,6,55,92,146,216,161,383,367,340,708,1135,1100,2239,160,37,194,109,413,522,53,64,121,28,67,95,269,294,565,72,52,122,28,56,83,27,138,168,4070,3833,7901,301,322,623,23,56,74,992,1022,2020,6330,5963,12289,189,88,278,82378,80660,163039
6001,11090,12186,23278,0,0,0,5,3,13,4,11,18,23,37,64,3,4,14,10,11,27,10,10,24,36,41,84,6,0,6,14,13,27,107,74,179,3,16,15,9,8,6,13,11,17,14,21,31,11,7,12,0,10,16,3,5,11,0,4,8,20,28,46,54,52,105,29,39,71,133,129,260,15,6,23,25,83,102,9,9,13,5,3,15,36,40,77,36,47,86,4,14,16,8,27,39,448,480,930,43,28,69,8,13,22,149,168,316,762,777,1536,9,11,22,13161,14437,27597
6002,12605,13701,26306,0,0,0,3,0,6,11,16,25,61,85,143,5,0,3,9,4,9,7,13,16,34,27,63,0,3,4,11,15,24,131,88,220,13,20,36,3,6,8,5,4,9,11,11,17,22,13,35,0,8,15,16,16,27,0,0,8,16,20,36,111,93,203,45,63,102,125,109,242,41,9,48,27,138,168,3,3,13,3,5,13,43,40,81,40,34,71,29,58,89,9,33,41,556,545,1098,33,30,66,18,30,48,178,182,353,793,826,1617,39,27,66,15074,16276,31346
6003,83280,88195,171468,52,57,110,296,180,472,231,267,501,2398,3049,5446,81,80,165,55,49,102,57,82,141,448,505,951,171,193,364,291,315,612,2330,1712,4041,140,210,350,137,131,270,33,42,74,158,197,349,267,219,488,84,212,291,248,271,520,43,26,70,359,502,865,2237,1865,4103,350,351,707,921,1003,1921,581,260,844,379,743,1127,130,202,336,146,203,349,524,543,1068,446,381,821,166,214,377,134,331,464,4440,4366,8809,476,532,1013,440,575,1014,2722,2925,5647,4600,4854,9454,326,172,495,110176,116012,226189
6004,34816,37451,72270,78,88,168,48,43,91,77,98,174,343,447,792,8,12,20,22,17,40,14,23,32,126,106,230,19,19,37,45,61,108,783,518,1299,42,53,88,122,123,248,8,6,11,62,59,123,76,80,157,16,41,49,56,72,126,5,9,19,161,203,367,727,694,1418,172,191,360,360,354,709,257,102,357,115,353,466,31,60,88,59,58,115,129,154,288,133,113,248,40,54,90,29,92,124,1593,1580,3171,111,146,260,100,135,232,1120,1142,2260,2126,2050,4177,94,81,170,44119,46860,90982
6005,5957,6583,12537,0,0,0,0,0,0,3,18,19,13,15,25,0,0,5,0,0,0,0,4,3,11,18,33,0,0,0,0,3,5,21,15,40,0,5,7,0,0,0,0,0,0,9,13,17,7,6,14,0,0,0,0,8,6,0,0,0,5,5,9,14,12,26,60,64,124,49,63,111,4,0,10,9,47,56,0,4,12,3,7,5,16,10,24,7,12,12,4,12,16,5,12,13,272,284,556,18,18,37,0,3,4,77,62,140,431,425,856,4,7,13,7022,7730,14755
7000,37400,35352,72749,4,0,6,21,8,29,48,65,108,47,81,132,7,5,10,5,5,5,81,61,136,136,146,282,26,13,38,10,18,25,166,130,294,54,91,139,9,3,9,17,6,22,87,67,156,64,49,114,5,18,27,29,27,46,0,4,4,51,65,110,142,100,237,87,92,176,681,568,1255,18,12,22,219,431,643,17,16,38,14,20,32,143,129,264,60,46,105,12,23,36,53,156,208,999,934,1929,56,93,155,123,119,243,816,708,1521,6610,4669,11284,319,189,507,48624,44495,93120
7001,9287,9891,19176,0,4,3,23,17,36,26,34,61,65,121,194,0,0,0,4,6,10,57,48,104,57,69,124,12,7,23,13,22,41,524,454,981,25,39,70,8,3,9,0,0,0,42,36,79,40,34,71,10,20,33,20,27,45,3,0,7,27,27,57,122,104,221,30,34,67,408,446,849,48,23,64,250,330,576,13,13,26,10,5,22,82,96,175,73,52,122,28,41,71,20,53,74,441,441,875,385,309,695,35,54,89,627,655,1280,1267,1344,2612,57,54,108,14133,14915,29048
7002,44560,42564,87131,27,7,34,385,250,629,116,137,255,563,857,1421,17,3,29,43,23,63,142,159,301,261,344,605,632,509,1146,126,152,280,2118,1822,3943,407,838,1240,64,36,98,7,3,16,299,327,623,220,157,383,53,111,170,130,158,285,33,16,48,294,355,648,1366,1170,2532,125,139,260,1246,1113,2354,400,211,610,2119,3039,5158,46,64,108,115,176,287,347,308,654,555,518,1078,127,287,411,208,631,841,2464,2368,4832,201,221,427,415,623,1034,2935,3286,6219,7008,6607,13611,2058,532,2587,72234,70115,142347
8000,445,434,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,0,0,0,0,0,5,3,3,3,0,0,5,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,5,3,8,0,0,0,0,4,5,0,0,0,0,0,3,4,0,6,0,0,0,0,0,0,0,0,0,15,22,42,3,0,3,0,0,0,13,12,25,45,36,79,0,0,0,544,544,1084
8001,165482,167126,332610,459,294,756,1086,997,2086,671,785,1456,5440,6899,12338,706,788,1496,325,270,596,551,633,1183,1068,1270,2341,502,616,1120,945,979,1927,9718,8546,18263,511,886,1400,603,553,1150,413,345,760,492,458,956,1081,1087,2166,246,623,873,1181,1416,2599,254,224,486,1329,1600,2926,3341,2851,6191,492,556,1051,2938,2686,5621,1755,1281,3039,2193,3366,5560,443,599,1043,557,645,1201,1197,1295,2488,1641,1721,3361,294,407,703,524,1189,1714,8644,8178,16821,1669,1847,3519,1730,2416,4146,11817,12999,24817,9216,8733,17950,576,622,1196,242093,247810,489903
9000,1503,1437,2939,3,0,3,0,0,0,9,4,13,7,6,15,0,0,0,0,0,0,20,19,40,4,12,16,0,0,0,0,3,3,25,3,28,6,11,17,15,0,15,12,0,10,3,0,4,0,4,3,0,0,6,7,5,5,8,0,8,170,157,325,0,0,0,0,5,10,176,210,381,6,0,6,34,33,68,4,0,4,31,18,51,22,10,29,14,0,14,0,0,0,5,10,20,90,74,166,7,16,25,10,4,15,160,57,217,511,440,954,15,10,23,2900,2549,5446
