SUA_CODE_2021,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
1000,82151,10381,4796,1095,217,72,1070,99792
1001,8327,1024,530,76,16,5,70,10055
1002,1697,192,98,19,4,3,22,2038
1003,3829,477,162,43,3,3,33,4555
1004,1035,160,63,15,0,0,21,1297
1005,2999,468,215,33,10,3,25,3751
1006,3826,422,169,37,5,4,28,4494
1007,1050,221,96,21,0,0,13,1417
1008,740,84,19,4,0,0,0,849
1009,1247,184,64,7,0,0,19,1515
1010,30984,3972,1802,324,66,29,248,37431
1011,5891,810,313,78,22,5,70,7180
1012,3316,531,217,47,7,7,46,4171
1013,1110,184,61,15,0,0,17,1394
1014,1848,278,168,34,5,0,26,2350
1015,1189,224,124,19,4,6,13,1579
1016,2009,190,76,35,0,3,20,2336
1017,891,156,84,17,0,7,17,1175
1018,1976,302,146,30,9,0,17,2477
1019,806,118,61,14,4,4,16,1020
1020,1527,222,103,14,6,5,16,1885
1021,2362,353,151,28,8,3,25,2936
1022,1105,146,74,18,4,0,14,1357
1023,952,176,98,19,3,0,16,1266
1024,2021,301,108,31,9,0,24,2488
1025,46157,6393,2562,463,107,38,386,56110
1026,2946,437,236,43,11,3,54,3720
1027,3663,501,244,38,5,5,33,4487
1028,3816,545,200,39,6,4,35,4640
1029,1587,257,116,18,5,0,7,1995
1030,1355,220,70,20,4,3,18,1694
1031,561108,39394,13955,5722,573,230,1795,622774
1032,3269,514,281,37,7,5,42,4148
1033,1630,254,151,46,6,3,28,2124
1034,1223,159,67,10,0,0,8,1468
1035,4993,627,282,39,14,4,41,5998
1036,30414,3395,1369,273,39,17,201,35709
2000,61176,5314,3066,539,105,28,501,70727
2001,2697,254,157,21,3,3,14,3148
2002,1215,132,66,4,0,4,17,1439
2003,9923,901,527,101,16,13,52,11533
2004,9127,875,491,88,12,10,61,10670
2005,826,72,26,6,0,0,4,937
2006,1066,92,38,11,0,0,5,1216
2007,1846,226,102,27,3,0,18,2218
2008,28822,2321,1113,198,26,14,106,32605
2009,2904,161,78,11,0,0,14,3165
2010,1464,153,105,13,0,3,15,1743
2011,555395,31844,14288,4903,463,214,1510,608614
2012,4480,464,263,52,11,3,50,5326
2013,1651,211,147,19,0,0,18,2051
2014,857,97,49,4,0,0,5,1005
2015,1256,137,79,4,3,0,8,1484
2016,4858,411,231,57,11,7,39,5609
2017,955,74,56,11,0,0,7,1099
2018,3397,422,226,30,11,4,32,4127
2019,1586,143,103,11,7,3,15,1871
2020,4044,414,266,43,7,4,27,4807
2021,3224,299,139,18,6,0,17,3702
3000,57533,6977,3600,1001,180,84,759,70128
3001,836,227,67,4,0,0,0,1146
3002,244902,27466,11674,2711,470,191,1304,288716
3003,5160,833,413,71,20,13,48,6558
3004,12164,1848,653,212,46,16,102,15038
3005,1358,254,96,18,4,4,9,1749
3006,3998,667,289,41,12,10,41,5049
3007,63035,8127,3220,554,122,37,344,75445
3008,1545,264,141,20,0,3,27,2003
3009,3600,650,274,53,13,8,47,4641
3010,756,111,63,5,0,0,10,946
3011,7107,1404,526,90,23,10,61,9209
3012,1717,306,154,36,7,0,27,2250
3013,1540,232,123,33,7,3,22,1956
3014,6266,1247,511,102,29,8,65,8227
3015,34348,4666,1561,273,58,23,196,41130
3016,12234,1589,731,150,15,5,95,14817
3017,14343,2679,1046,191,36,14,126,18441
3018,1074,169,91,9,4,0,14,1368
3019,1616,352,103,10,0,3,22,2103
4000,22609,1898,1262,288,36,14,258,26369
4001,138573,10723,5511,1346,203,65,670,157089
4002,2372,252,214,32,0,4,25,2900
4003,1298,144,113,23,6,3,12,1603
4004,908,94,77,13,3,6,21,1122
4005,1324,115,84,16,3,0,11,1562
4006,990,106,77,15,9,0,22,1219
4007,1621,174,95,16,9,0,20,1942
4008,1578,172,134,21,0,0,31,1942
5000,19583,3641,1219,378,87,34,328,25266
5001,2635,494,153,33,7,0,31,3352
5002,1114,199,56,19,10,0,24,1435
5003,6429,1407,441,79,29,7,52,8444
5004,3298,768,186,27,13,0,25,4310
5005,902,163,65,12,4,0,9,1149
5006,2862,697,195,48,8,7,34,3845
5007,2584,477,183,34,6,0,28,3312
5008,1759,271,102,15,3,0,6,2162
5009,212475,33417,8976,2091,420,123,1192,258688
5010,1296,236,118,24,11,3,8,1704
6000,13191,1406,949,122,20,11,122,15814
6001,2092,252,177,23,0,0,27,2572
6002,2319,361,222,17,5,4,31,2961
6003,19940,2014,1190,202,32,9,144,23536
6004,7729,778,490,62,13,6,50,9124
6005,1188,145,72,8,8,0,15,1437
7000,5658,704,337,504,90,79,193,7564
7001,2107,336,123,57,12,9,35,2681
7002,11224,1942,603,230,33,11,89,14127
8000,119,13,4,0,0,0,0,137
8001,52393,3751,1845,436,43,21,210,58702
9000,358,30,16,7,0,0,0,413
