SUA_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
1000,3946,1114,1219,1461,2195,850,359,797,25802,128,5,7,0,0,3,7,8,0,709,879,65099,8871,7778,1724,1860,2109,2990,1306,554,4433,96728
1001,1457,376,436,514,469,137,43,101,6025,7,7,0,0,0,5,0,0,0,15,34,5550,1764,1861,448,504,608,539,193,69,280,11810
1002,331,108,164,433,625,103,17,39,2405,0,0,0,0,0,0,0,0,0,4,5,1298,476,464,143,212,463,655,133,19,76,3938
1003,277,52,69,86,94,34,21,41,1427,4,0,8,0,0,0,0,0,0,20,33,3588,754,681,141,134,129,167,71,34,204,5910
1004,84,27,23,36,38,23,5,19,701,6,0,0,0,0,0,0,0,0,0,3,2102,172,150,43,37,46,52,31,8,111,2752
1005,362,90,120,144,130,63,12,30,1718,6,0,0,0,0,0,0,0,0,117,122,1959,511,520,125,152,184,155,79,16,209,3911
1006,409,118,109,161,154,68,13,55,2369,3,0,0,0,0,0,0,0,0,3,9,5066,833,663,150,158,198,196,111,23,274,7667
1007,75,11,26,40,50,26,9,3,418,0,0,0,0,0,0,0,0,0,5,5,515,105,113,29,36,49,63,29,15,20,978
1008,228,80,87,149,227,96,3,32,1226,0,0,0,0,0,0,6,0,0,3,5,1176,356,456,145,148,239,313,179,18,83,3113
1009,22,7,8,0,13,0,3,5,264,0,0,0,0,0,0,0,0,0,0,6,1579,127,85,21,21,12,36,12,9,91,1998
1010,3213,725,688,662,725,279,94,345,17741,75,6,4,0,0,0,0,0,3,226,319,35725,7098,5968,1201,1093,965,1084,496,184,1545,55358
1011,912,304,412,504,725,203,90,144,5336,4,4,5,0,0,0,5,0,0,37,56,6006,1475,1378,399,503,593,828,257,112,390,11936
1012,848,283,305,288,220,81,62,46,3088,4,0,0,0,0,0,0,0,0,3,8,1204,748,1016,321,332,328,264,103,85,121,4512
1013,99,27,40,51,44,16,0,29,625,10,0,0,0,0,0,0,0,0,7,13,1745,148,145,31,52,63,67,24,9,119,2391
