SUA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
2017,263,131,154,128,103,124,84,54,40,1086,2144,1260,1649,1368,1175,1344,1105,802,425,11263
2018,994,561,630,615,554,544,468,423,382,5158,7867,4977,5877,5185,5176,5529,4854,2928,1315,43711
2019,326,177,193,172,199,183,163,139,101,1657,3428,2181,2314,2225,2408,2441,2302,1675,821,19791
2020,771,364,447,407,413,336,291,204,70,3309,8280,4553,5651,4896,4992,5161,4708,2833,1030,42095
2021,616,415,351,429,390,328,281,209,174,3188,6240,4028,4576,4297,4498,4580,3965,2315,1117,35622
3000,17017,11495,14858,14412,15839,15257,11514,5402,1668,107467,135718,77482,86030,89259,104673,122309,108581,50125,13272,787451
3001,319,303,615,395,392,537,371,99,6,3034,2504,1929,3207,2413,2219,2627,2006,582,68,17553
3002,35727,25216,28337,25007,21963,16259,11391,7297,4657,175862,470524,322868,363889,349392,316069,258452,200701,110565,41657,2434126
3003,1197,715,729,596,703,692,688,517,245,6087,12627,8007,8180,7729,8605,9724,10396,6921,2363,74550
3004,3198,2489,3161,2568,2625,2316,1904,953,326,19536,29347,18325,21035,21347,22296,19945,15806,7596,2361,158075
3005,358,223,251,303,226,251,165,53,35,1874,3571,1904,2232,2237,1819,1585,875,287,86,14592
3006,933,469,555,591,569,496,333,162,75,4189,9904,5522,6058,6073,6229,5679,3665,1616,524,45277
3007,10795,7612,8989,8084,7940,6792,5579,3759,1942,61489,121567,82180,92701,92577,91651,82652,73463,44006,16276,697078
3008,413,264,231,217,229,213,152,103,70,1886,4030,2652,2483,2447,2702,2807,2738,1746,738,22353
3009,855,514,426,493,579,645,760,645,241,5158,8968,5246,4951,5568,6608,8564,10815,6788,2040,59557
3010,227,147,123,115,104,97,83,48,31,974,2096,1346,1431,1168,1145,1201,1199,699,313,10605
3011,1767,1151,1219,1173,1088,1001,653,426,190,8670,16997,10175,11180,11107,10653,10257,7436,4018,1559,83385
3012,464,383,480,465,346,306,259,168,78,2954,4298,3025,2712,2844,3271,3926,4109,2352,816,27348
3013,477,436,512,442,472,453,289,106,26,3217,4420,2652,3407,2770,2467,2326,1390,563,113,20115
3014,1600,1102,1274,1118,965,794,538,297,147,7835,16305,10365,10999,10054,9278,9122,7026,4127,1701,78975
3015,5563,3701,3528,3872,4094,3822,3227,2281,1284,31379,66139,41385,41025,46706,51416,51265,48420,29063,10456,385862
3016,2100,1522,1381,1293,1286,1175,920,628,315,10625,28232,18859,18778,17142,16743,15810,13926,8832,3557,141886
3017,3452,3241,3097,2584,2208,1685,1198,677,303,18449,34870,26588,26217,23166,22455,20185,15303,7875,2616,179268
3018,343,164,145,146,174,175,134,118,62,1460,2935,1819,1737,1457,1758,2034,2006,1347,461,15543
3019,306,215,190,170,206,254,251,143,49,1793,3818,2285,2067,2264,2496,2885,2706,1463,467,20448
4000,3989,2565,3013,3128,3728,4036,3321,1886,769,26436,45115,25926,28062,29914,36084,43541,39448,19966,6760,274817
4001,15169,10829,11339,10982,10702,9274,6679,4607,2693,82277,234428,166874,190482,181410,170672,162740,135609,79785,35957,1357959
4002,466,275,278,273,312,285,231,170,116,2402,5328,3461,3607,3352,3725,3775,3204,1911,821,29173
4003,311,231,340,327,263,206,143,102,54,1966,3058,2050,2299,2036,2147,2371,2094,1453,570,18082
4004,347,242,443,362,269,230,148,80,25,2147,2551,1534,2137,1675,1717,1858,1444,799,257,13977
4005,287,187,200,204,232,210,153,105,62,1641,3003,1775,1961,1915,2053,2124,1799,1019,436,16070
4006,280,174,175,142,182,145,113,71,29,1308,2365,1727,1620,1403,1798,1881,1624,1083,431,13938
4007,230,138,104,132,165,230,297,205,114,1612,3253,1889,1759,2176,2746,4093,6221,4176,1524,27834
4008,404,233,259,225,270,272,128,106,47,1948,3805,2458,2790,2390,2997,3040,2085,1396,444,21403
5000,7027,5320,10250,10214,10122,8496,4924,2078,568,58997,51022,29672,43334,45579,48566,50894,39509,16351,4355,329284
5001,492,359,431,423,404,389,303,181,98,3080,6054,3806,3782,3816,4349,4661,4135,2593,1112,34302
5002,642,340,572,501,528,540,382,154,27,3688,3803,1752,2989,2875,2589,2819,2670,882,111,20493
5003,1208,786,909,831,816,686,488,314,215,6250,15141,8540,9139,9792,9656,9050,7242,3957,1528,74044
5004,670,320,375,408,424,448,397,224,80,3345,7711,3649,3807,5011,5319,5265,5321,2841,1039,39963
5005,324,186,184,181,221,177,144,115,25,1565,2331,1322,1355,1428,1596,1628,1304,840,271,12063
5006,1031,604,616,657,589,497,374,238,113,4713,7733,4480,4521,4697,5036,4909,3954,2119,829,38278
5007,808,522,763,715,618,594,335,90,31,4478,6395,3607,4932,4508,4016,3605,1919,690,197,29861
5008,739,392,724,822,670,482,183,33,5,4055,4459,1889,3550,3787,2837,1873,785,181,22,19385
5009,27335,18666,21340,20193,18227,14337,10499,7194,4683,142464,398297,251358,292027,296152,263105,228967,182307,100675,40595,2053484
5010,581,401,865,813,712,549,189,47,3,4156,3780,1705,3567,3401,2611,2103,811,189,34,18199
6000,2569,1537,1586,1681,1863,2208,1826,916,334,14522,26401,15296,16923,17687,21587,27211,23556,11049,3046,162761
6001,455,261,220,245,301,245,213,148,55,2146,4899,3214,3260,3100,3370,3715,3219,2047,743,27574
6002,476,287,288,261,290,272,269,219,110,2482,5329,3464,4063,3396,3916,4008,3845,2368,894,31282
6003,2865,2009,2474,2015,1945,1663,1332,886,423,15614,37928,26118,37440,29214,26963,26385,23032,13301,5319,225693
6004,1220,1026,952,754,775,704,531,423,239,6629,15635,11341,13569,10954,11274,10669,9176,5802,2389,90809
6005,200,131,96,115,132,121,147,97,43,1078,2339,1537,1491,1500,1816,2213,2061,1299,494,14742
7000,2261,1661,2612,2152,2155,2092,1453,328,28,14754,18187,12285,15035,12728,12027,11805,8376,1930,238,92613
7001,527,333,542,480,452,541,381,92,18,3377,5679,2925,5149,4322,3618,3746,2567,758,180,28938
7002,2952,2086,3508,2831,2428,2128,1404,468,121,17923,26720,16055,26030,21596,17776,15548,11218,3982,837,139764
8000,11,10,5,3,13,23,19,0,0,95,217,136,128,143,156,138,114,36,6,1084
8001,5173,4971,5236,4105,3428,2675,1930,1108,602,29231,89250,65236,83646,74354,61247,49214,37555,20439,7765,488707
9000,128,101,261,186,180,164,118,65,6,1212,819,488,741,697,767,893,669,295,60,5425
