SUA_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
1000,373511,929237,14739,23535,3921,7429,18665,30968,8049,12605,809,1431,128,198,23,50,643,1314,9656,15593,3355,5748,3164,5081,806,1315,1395,3075,8727,15217,2815,5297,413367,996310,67106,..,480472,996310
1001,33235,83971,5221,8016,591,941,5809,8964,532,749,84,133,35,48,0,0,11,20,663,952,105,140,59,81,24,26,35,78,226,328,79,159,40006,94374,3007,..,43012,94374
1002,7555,18608,1006,1691,175,300,1182,1987,457,728,60,107,0,0,0,3,9,16,518,853,10,11,56,68,0,3,15,29,82,107,32,58,9375,21608,1033,..,10409,21608
1003,13633,34950,2381,4457,1645,3207,4023,7667,679,1175,160,287,88,150,19,33,48,85,992,1733,224,305,375,522,14,24,33,55,644,906,77,119,19376,45374,1422,..,20798,45374
1004,6020,14333,429,681,395,728,826,1412,740,1158,26,28,31,39,0,0,12,23,806,1249,68,110,78,113,0,0,11,21,155,239,36,52,7835,17283,2883,..,10724,17283
1005,11894,30921,1345,2261,418,730,1765,2985,742,1112,9,8,0,0,0,0,16,32,769,1156,29,49,8,16,18,28,20,55,75,138,30,48,14536,35253,1172,..,15710,35253
1006,14737,37466,963,1468,359,621,1318,2088,401,678,19,45,0,0,0,0,55,107,470,831,37,55,82,102,3,8,34,76,159,236,33,67,16718,40690,1429,..,18146,40690
1007,7470,16384,187,263,23,48,206,308,226,287,0,0,0,0,0,0,0,0,226,289,70,148,3,4,0,3,5,7,80,160,40,59,8021,17206,1528,..,9551,17206
1008,2689,6972,372,762,744,1645,1120,2406,298,545,48,95,0,0,0,4,38,84,392,728,113,158,71,116,25,34,32,42,236,345,46,98,4476,10555,1241,..,5719,10555
1009,6839,16064,610,911,112,209,722,1123,288,449,12,18,0,0,0,0,10,23,312,485,85,152,183,275,8,11,28,53,300,496,42,77,8221,18234,865,..,9088,18234
1010,106392,283051,10218,16967,6522,13005,16739,29970,7028,11905,1638,2877,2682,4755,641,1159,444,927,12429,21619,440,651,583,904,17,27,161,323,1202,1900,314,592,137075,337137,14408,..,151482,337137
1011,21944,58058,2177,3907,1596,3355,3772,7258,2458,4301,428,775,289,466,117,183,80,156,3374,5875,351,728,431,659,57,63,25,56,865,1499,175,329,30134,73020,2580,..,32710,73020
