CED_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
CED135,18,136,13,15,4,0,178,9,318,18,6,3,0,357,66,1599,117,67,35,6,1885,121,637,197,142,24,12,1139,139,282,133,143,13,3,720,451,290,137,167,91,10,1146,2669,218,144,390,79,20,3512,10129,205,154,920,171,24,11597,8472,113,28,764,127,15,9526,2720,18,8,306,60,3,3123,838,0,3,108,21,0,967,346,0,3,38,5,0,400,105,0,0,32,3,0,141,95,0,0,36,11,4,141,469,231,53,249,70,101,1179,26647,4048,1011,3387,725,198,36011
CED136,10,19,4,24,5,0,62,3,20,6,11,17,0,55,46,187,98,74,58,4,474,132,466,233,131,113,4,1080,217,176,69,198,28,9,696,598,306,134,275,481,16,1820,2259,337,154,675,173,8,3602,5236,233,76,786,108,17,6466,2946,20,9,264,43,0,3280,623,8,0,61,9,0,705,150,3,0,13,3,3,174,35,0,0,8,0,0,42,7,0,0,3,0,0,11,17,0,0,13,5,5,42,206,120,41,170,91,42,681,12492,1897,840,2715,1137,111,19188
CED137,15,38,10,11,3,0,81,8,67,17,5,7,0,103,83,541,57,56,113,6,850,103,166,108,138,41,4,568,119,81,24,132,44,0,400,276,74,30,160,91,0,638,838,56,21,238,63,5,1214,4835,47,61,541,91,9,5591,9146,33,29,764,143,20,10138,6152,14,15,492,92,12,6783,2913,4,4,288,40,3,3263,1413,5,3,165,20,4,1605,654,3,0,65,5,0,729,887,0,0,116,18,3,1027,508,63,28,333,116,83,1134,27953,1192,415,3515,903,154,34130
CED138,10,32,5,22,15,0,92,6,47,3,12,4,0,76,19,597,63,100,62,15,852,40,222,146,172,136,6,716,52,98,44,252,72,5,522,200,133,59,388,148,12,938,777,86,66,662,161,13,1758,2173,66,59,1122,214,14,3645,2028,20,25,843,114,8,3047,1552,11,3,511,42,13,2132,974,4,8,288,23,0,1297,454,4,0,180,18,0,658,265,0,0,71,8,0,353,361,0,0,177,39,4,575,169,86,32,275,113,42,720,9078,1401,512,5086,1165,132,17367
CED139,31,60,27,88,54,3,261,22,132,31,50,15,3,262,204,606,108,315,102,18,1355,989,417,133,527,110,20,2204,831,191,59,555,82,12,1730,1823,219,53,671,276,13,3055,2831,69,22,718,136,6,3787,2025,19,12,387,74,6,2532,570,8,5,89,17,3,683,87,0,0,28,10,0,128,18,0,3,12,3,0,31,9,0,0,8,0,0,11,5,0,0,6,4,0,16,15,0,0,20,7,0,46,176,108,24,269,252,40,868,9627,1839,480,3751,1142,129,16974
CED140,10,35,3,17,7,0,83,5,96,12,13,3,0,126,21,623,51,54,28,3,780,68,250,165,108,75,9,677,114,103,68,117,30,9,434,329,107,60,188,39,9,731,1281,72,39,416,53,4,1873,4233,115,36,718,60,7,5170,2876,21,7,420,19,7,3338,1297,0,3,173,6,3,1488,570,0,0,67,5,0,640,264,0,0,41,4,0,314,133,0,0,20,0,0,156,137,0,0,19,3,0,160,189,89,34,131,47,38,531,11529,1519,476,2499,381,96,16500
CED141,5,39,6,20,8,0,78,3,81,5,10,0,0,99,14,754,35,54,21,5,886,83,438,121,117,81,4,849,129,147,33,132,30,8,478,352,192,33,212,27,3,818,1116,223,42,485,46,12,1916,3530,117,26,805,59,11,4545,1902,23,10,333,28,0,2282,672,4,0,104,3,0,785,263,0,0,40,4,0,310,64,0,0,15,3,0,89,28,0,0,4,0,0,28,26,0,0,10,11,0,51,154,126,33,115,50,33,518,8338,2148,348,2449,378,79,13745
CED142,35,223,27,15,9,0,311,8,588,42,7,4,4,654,56,2641,166,76,18,14,2975,131,733,302,146,41,3,1355,137,298,112,173,37,5,765,501,294,129,288,76,5,1295,1707,195,159,525,105,4,2691,5094,201,239,774,121,11,6441,9367,89,95,1043,138,11,10739,10041,32,47,894,119,12,11141,7833,34,10,737,98,5,8727,4384,9,8,479,48,4,4941,2244,7,5,289,28,0,2574,3879,11,0,598,32,0,4524,692,342,50,430,118,116,1756,46104,5686,1406,6488,987,208,60891
CED143,13,12,6,13,0,0,47,4,15,26,3,0,6,52,11,92,81,26,8,9,226,18,161,80,34,8,0,299,18,53,44,55,7,3,176,71,49,48,81,13,0,263,256,19,37,152,17,0,485,1448,34,8,309,26,8,1829,2856,7,3,498,32,3,3398,3108,0,0,513,23,6,3654,2502,5,3,369,10,6,2893,1497,3,0,270,7,4,1777,999,3,0,184,7,0,1188,2901,0,0,556,27,6,3492,268,34,15,174,28,35,555,15965,484,361,3237,197,92,20340
CED144,19,61,4,11,3,0,101,12,159,22,3,0,0,197,51,924,75,84,23,6,1158,106,392,157,115,32,6,803,152,196,62,130,25,4,561,574,237,93,144,45,0,1094,2937,139,67,326,85,6,3555,5311,118,78,691,158,12,6365,3628,65,35,619,128,10,4486,2033,24,16,315,75,0,2466,1004,5,5,143,30,3,1191,420,8,3,75,21,0,522,185,0,0,24,3,0,209,115,0,0,39,3,0,156,324,159,33,268,108,64,953,16867,2486,639,2970,742,134,23827
CED145,8,12,4,13,5,0,50,3,29,3,5,0,0,48,17,228,19,40,7,0,312,53,49,40,45,11,0,199,38,20,23,65,8,0,155,170,17,18,135,23,3,368,847,8,19,236,28,3,1139,2118,15,26,354,38,11,2562,2942,7,24,525,38,4,3536,3738,0,4,558,31,5,4335,3409,6,9,485,22,3,3931,2325,0,0,425,11,5,2767,1607,0,0,277,6,0,1893,4252,0,0,840,29,0,5126,364,30,7,249,51,64,766,21897,422,197,4246,313,107,27176
CED146,9,127,8,10,7,0,157,4,248,8,3,4,0,269,10,1192,93,23,9,9,1331,22,720,95,47,29,3,912,48,331,51,76,17,0,519,141,404,87,111,149,4,891,594,299,88,221,76,3,1274,2721,362,67,586,159,15,3903,3249,150,27,477,120,3,4016,2379,16,4,189,43,0,2625,509,4,0,48,21,5,584,93,9,0,20,10,0,130,27,0,0,10,0,0,43,40,0,0,3,7,0,52,215,228,22,204,68,63,793,10051,4084,543,2022,701,115,17513
CED147,9,67,12,11,3,0,97,4,117,8,9,0,0,140,24,901,39,54,41,0,1062,64,592,137,95,53,8,956,97,265,62,128,25,0,578,260,263,73,175,26,12,802,815,197,78,357,41,10,1502,2535,322,66,654,57,8,3649,2877,77,18,503,41,3,3518,1558,8,3,171,17,6,1758,448,0,0,38,6,3,497,119,4,0,20,9,0,157,37,3,0,13,0,0,55,75,3,0,26,0,0,110,152,181,30,167,62,35,620,9085,3006,536,2421,379,91,15521
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,10,34,13,22,0,3,80,8,45,8,9,6,0,72,20,332,27,59,19,6,462,43,154,30,89,4,0,321,34,60,27,87,0,0,217,132,67,45,112,16,3,382,917,77,55,385,19,0,1456,4514,84,17,576,26,5,5235,2496,7,6,187,11,3,2712,542,0,0,55,3,0,603,135,0,0,19,0,0,155,38,0,0,13,3,0,51,24,0,0,0,0,0,26,59,0,0,14,0,0,77,177,67,11,129,28,24,447,9137,936,247,1757,153,53,12288
CED202,12,73,6,32,21,0,143,11,88,8,29,3,0,141,111,613,86,182,41,14,1048,508,238,111,297,33,11,1201,460,145,50,312,40,3,1011,1825,169,70,543,27,17,2640,3823,52,34,693,32,11,4643,3111,17,8,358,32,6,3526,563,9,0,80,8,0,652,76,0,0,29,3,0,113,32,0,0,16,0,0,51,20,0,0,7,5,0,33,3,6,0,4,3,0,15,20,0,0,22,8,0,48,168,106,24,172,88,36,592,10736,1513,390,2775,352,90,15849
CED203,10,85,11,20,18,0,146,3,93,15,19,7,0,137,54,622,55,201,36,9,972,306,252,104,358,32,11,1065,353,121,58,372,26,7,932,1502,186,78,572,55,11,2407,3268,93,66,817,43,9,4304,2680,18,17,432,36,0,3189,598,4,4,122,6,3,733,102,3,0,22,9,0,138,31,5,0,16,0,0,51,10,0,0,0,5,0,9,0,0,0,8,0,0,4,15,0,0,21,4,0,36,122,108,32,183,61,28,526,9052,1595,436,3159,330,78,14656
CED204,17,67,9,12,0,0,106,9,87,12,16,3,0,122,78,573,28,85,19,5,791,55,249,54,97,25,4,483,61,121,18,99,28,8,332,669,119,29,236,90,6,1158,3318,128,25,699,143,18,4338,5636,118,18,673,159,17,6618,994,17,5,138,34,4,1194,172,3,0,28,13,0,216,58,3,0,13,0,0,75,36,4,0,10,0,0,54,19,0,0,3,4,0,28,87,0,0,20,3,0,116,256,149,13,200,63,58,735,11468,1642,213,2330,585,115,16357
CED205,11,49,4,16,5,0,82,4,61,0,15,7,0,90,32,373,10,57,20,0,490,35,231,29,76,32,0,409,26,109,23,66,17,0,247,95,126,37,148,93,6,502,1983,145,49,691,227,22,3110,6147,133,24,832,325,25,7487,945,16,0,148,57,6,1171,124,7,0,24,9,0,159,37,0,0,20,3,0,59,38,3,0,5,0,0,49,13,0,0,6,3,0,21,74,0,0,17,12,0,102,257,110,13,199,68,58,708,9831,1368,194,2313,867,120,14692
CED206,9,17,3,21,4,0,53,4,24,9,12,4,0,58,20,165,32,82,25,0,321,56,71,32,117,31,0,307,48,29,16,149,26,0,274,195,29,10,175,25,5,439,783,28,10,401,50,0,1272,2430,19,8,556,29,5,3050,1058,3,5,167,11,0,1246,247,0,5,44,4,0,296,67,3,0,18,4,0,84,29,0,0,7,0,0,37,18,0,3,0,0,0,23,32,0,0,23,0,0,60,110,46,18,143,40,26,387,5104,431,152,1930,258,47,7916
CED207,10,53,6,28,0,0,98,3,56,6,10,7,0,87,44,453,43,115,28,3,683,100,170,70,222,49,7,611,96,112,67,138,25,0,441,177,106,66,173,34,0,560,1014,64,54,339,29,9,1509,4865,66,37,631,87,8,5700,4045,17,14,514,70,7,4670,2221,8,12,219,19,0,2473,946,0,0,104,11,3,1074,349,4,0,46,4,0,397,114,0,0,16,0,0,138,172,0,0,41,8,3,228,250,80,24,311,88,55,808,14404,1194,405,2912,463,101,19486
CED208,20,120,10,20,6,4,187,0,134,25,17,4,0,178,41,993,62,106,24,8,1225,132,290,86,173,27,6,716,184,143,47,132,26,0,533,756,147,43,229,42,9,1224,3557,121,39,577,64,11,4364,6228,125,24,767,73,4,7228,3159,24,17,400,21,10,3635,1698,9,6,210,13,3,1934,821,0,0,115,0,0,945,378,4,0,46,0,0,429,189,3,0,24,0,0,214,258,0,0,49,3,0,319,285,190,26,207,43,54,802,17716,2309,380,3067,354,106,23938
CED209,7,18,6,20,9,0,53,7,21,8,7,9,0,51,37,112,6,113,18,4,284,70,45,28,141,31,3,322,60,24,5,128,41,4,265,214,24,28,191,24,0,483,1079,29,32,452,30,7,1624,4009,13,30,587,34,10,4688,1941,6,7,232,21,0,2212,586,0,0,86,10,0,683,178,0,0,37,4,0,219,69,0,0,21,0,0,90,35,0,0,0,0,0,43,48,0,0,23,0,0,71,126,22,6,140,67,26,386,8479,314,143,2180,301,51,11466
CED210,17,141,5,28,6,4,202,11,129,15,24,10,0,185,87,913,74,120,20,11,1222,297,371,226,276,62,15,1240,496,152,71,271,37,4,1034,1520,233,84,450,58,13,2355,4189,141,77,797,94,24,5315,4619,63,39,566,85,12,5376,1498,10,6,160,17,3,1692,407,4,0,57,7,0,472,168,0,0,34,8,0,217,53,0,0,16,4,0,79,21,0,0,4,5,0,30,50,0,0,14,9,0,70,226,154,34,168,94,44,722,13645,2310,639,2987,508,132,20212
CED211,10,48,8,18,0,0,90,4,52,18,11,4,0,92,24,476,43,73,12,7,633,50,177,113,110,7,7,459,21,74,32,108,3,0,237,129,74,44,141,8,0,396,1570,68,43,463,31,10,2172,5067,56,21,643,50,9,5852,2514,16,5,271,22,0,2823,806,5,0,53,4,0,867,248,4,0,26,0,0,275,85,0,0,15,0,0,99,32,3,0,0,0,0,39,78,0,0,15,5,0,103,199,113,27,176,44,34,588,10818,1167,349,2120,201,72,14726
CED212,17,52,9,11,5,0,92,9,58,13,9,0,0,87,35,441,46,86,18,4,640,80,193,63,156,18,8,509,123,95,35,159,46,0,450,634,71,41,284,148,6,1180,2702,115,40,570,106,11,3545,4838,52,17,569,64,16,5561,1674,10,4,192,15,3,1897,402,0,3,43,0,0,451,183,6,0,28,0,0,217,87,0,0,15,0,0,106,51,0,0,4,0,0,49,121,0,0,18,4,0,145,256,78,16,170,34,39,587,11201,1172,276,2322,457,85,15523
CED213,18,29,9,28,17,0,90,4,45,0,8,7,0,65,23,357,13,77,30,12,512,51,131,17,116,39,0,368,47,54,15,120,32,0,270,277,68,16,253,161,3,781,1540,60,19,499,93,11,2221,3031,27,9,549,34,3,3656,1533,5,4,239,12,6,1808,617,0,0,76,8,6,708,290,0,0,42,0,0,331,108,3,0,19,0,0,137,71,0,0,15,0,0,89,122,0,0,40,4,6,174,147,83,12,192,59,22,513,7877,863,118,2273,498,79,11711
CED214,15,138,17,25,6,4,197,26,144,14,35,11,0,220,80,817,57,189,37,10,1194,170,357,108,279,45,11,958,321,161,57,181,47,7,780,1187,175,78,408,102,18,1962,4239,155,66,1211,259,31,5959,6206,86,25,851,194,18,7371,2495,18,11,337,39,0,2904,890,0,0,120,12,4,1035,339,5,0,44,8,0,394,143,0,0,7,0,0,151,45,0,0,8,0,0,56,137,3,0,45,16,0,198,299,167,35,335,112,80,1033,16578,2240,463,4064,903,176,24424
CED215,18,34,0,23,0,0,84,19,64,6,17,0,0,108,37,303,22,65,10,4,434,63,139,63,110,28,4,396,85,82,44,84,17,4,309,283,59,47,162,68,5,625,2153,48,34,451,75,9,2768,7933,41,22,616,83,10,8704,2813,13,3,235,25,4,3093,1095,3,0,97,6,0,1207,502,5,0,53,0,0,557,200,0,0,21,0,0,220,93,0,0,9,0,0,100,167,0,0,28,3,0,203,302,82,12,206,76,52,725,15747,869,241,2176,396,90,19522
CED216,18,92,19,50,37,3,221,15,92,20,38,16,8,186,149,608,69,237,74,13,1151,710,284,101,449,86,11,1637,828,152,55,461,65,11,1569,1803,152,77,573,112,15,2739,2199,37,54,532,111,7,2947,1529,18,5,264,35,8,1859,301,9,10,45,16,0,374,29,3,3,8,0,0,43,11,3,0,0,9,0,30,0,0,0,3,5,0,5,3,0,0,3,0,0,11,14,0,0,13,9,0,37,133,124,36,211,129,41,676,7734,1572,441,2894,705,124,13477
CED217,13,53,10,20,0,0,101,10,42,9,7,0,0,73,24,362,36,69,16,0,507,42,122,64,93,18,6,337,41,65,25,81,9,0,223,301,60,47,124,7,3,550,1010,38,10,254,14,0,1326,2328,32,6,394,33,3,2792,2404,10,8,355,13,3,2802,1536,4,0,201,5,0,1750,1058,4,0,121,7,0,1196,752,0,3,121,4,0,878,606,0,0,71,0,0,674,1151,0,0,158,3,0,1314,229,54,16,181,32,35,541,11507,843,233,2261,165,56,15067
CED218,8,28,4,11,6,0,55,10,27,0,5,9,0,42,14,113,20,46,21,3,220,31,113,71,81,35,5,338,22,47,21,66,27,5,188,80,66,31,147,24,3,348,1278,43,28,543,87,13,1998,4717,39,12,625,94,14,5500,1224,10,0,121,26,4,1379,161,4,0,26,0,0,192,41,0,0,14,0,0,58,32,0,0,9,0,0,43,14,0,0,0,0,0,14,52,0,0,14,0,0,67,198,50,15,180,51,34,523,7881,526,198,1886,377,83,10951
CED219,15,25,5,14,9,0,69,4,38,0,11,6,0,58,35,235,16,63,7,5,364,46,126,75,99,14,8,379,61,53,24,129,11,0,273,519,63,35,237,22,3,881,3631,47,35,712,80,24,4530,4381,26,23,497,81,12,5023,570,7,0,100,13,7,700,105,0,0,24,4,0,136,43,0,0,7,6,0,54,19,0,0,5,3,0,22,14,0,0,6,0,0,18,47,0,0,14,0,0,56,211,45,18,148,39,28,496,9703,668,239,2063,291,83,13051
CED220,23,56,15,25,4,0,127,8,100,7,17,0,0,139,48,593,80,102,6,8,833,122,199,94,144,25,3,582,181,96,53,125,9,0,456,996,94,41,258,21,0,1406,3742,56,20,506,15,3,4341,6628,48,7,658,38,12,7406,4384,20,0,544,22,0,4975,2412,8,6,287,3,3,2712,1433,0,0,169,4,0,1606,951,0,0,132,5,4,1090,545,0,0,79,0,0,629,1058,0,0,148,7,0,1218,328,115,11,227,39,42,765,22852,1386,331,3414,209,87,28276
CED221,15,21,0,11,3,0,56,7,14,0,14,3,0,36,26,169,11,65,18,5,286,40,102,20,94,11,4,262,26,41,16,63,15,0,158,108,60,22,162,18,6,372,1850,79,15,539,64,8,2566,6745,27,17,737,156,14,7700,1163,5,0,144,19,3,1337,184,4,4,35,0,0,228,51,0,0,17,5,0,75,31,0,0,9,0,0,42,9,0,0,7,0,0,18,76,0,0,23,5,0,105,262,41,15,153,57,34,568,10595,563,129,2068,384,81,13818
CED222,19,60,7,18,5,0,108,20,87,8,23,9,0,154,82,569,50,156,35,9,899,171,193,61,275,97,0,800,170,117,14,148,44,0,510,640,105,35,281,59,9,1126,2847,81,31,743,155,17,3873,6784,96,40,895,229,12,8060,3280,18,12,397,60,6,3781,1197,6,4,136,18,3,1365,507,0,0,78,11,0,595,315,0,4,46,4,0,372,139,0,0,10,0,0,156,184,0,0,35,7,5,233,343,94,26,317,92,65,936,16713,1435,295,3568,831,132,22971
CED223,5,93,13,41,45,4,201,12,98,15,29,7,0,153,77,697,44,237,54,11,1125,486,329,80,405,83,16,1396,565,137,17,456,61,7,1238,1492,186,27,593,221,14,2526,2337,62,22,647,97,11,3168,2202,11,6,358,38,8,2620,451,6,0,74,13,0,543,57,0,0,18,6,0,86,18,0,0,9,8,0,39,11,0,3,10,7,0,30,5,0,0,7,5,0,14,33,0,0,57,28,0,117,162,144,18,230,150,32,746,7916,1768,246,3157,810,102,13999
CED224,17,41,5,8,3,0,76,5,49,10,14,3,0,82,19,323,33,74,21,4,474,57,116,69,113,43,3,401,64,66,35,103,14,0,279,345,59,27,164,53,4,653,1615,40,24,383,103,3,2170,3832,44,17,525,62,10,4494,2611,13,0,295,23,3,2945,1293,3,0,114,6,0,1421,614,0,0,42,0,0,657,263,5,0,24,0,0,284,94,0,0,6,0,0,110,147,0,0,29,6,0,185,229,74,22,169,63,31,596,11203,827,250,2061,417,66,14828
CED225,14,73,3,27,6,0,117,5,68,5,12,0,0,93,30,544,62,71,18,5,737,36,185,90,104,18,7,437,30,112,23,92,5,0,259,107,116,59,161,78,4,521,1158,89,23,364,79,5,1715,3915,114,17,527,40,7,4623,2321,40,4,263,24,0,2651,974,5,0,111,0,4,1097,306,6,0,44,0,0,358,132,0,0,27,0,0,159,47,0,0,9,0,0,56,95,0,3,19,3,0,126,153,151,28,126,42,27,535,9313,1491,336,1954,320,57,13474
CED226,12,17,3,21,9,0,67,7,9,9,16,0,0,52,38,109,42,68,11,0,270,98,21,47,102,8,3,274,141,24,35,94,9,0,301,265,14,22,133,7,0,443,1566,8,9,306,27,3,1925,4410,12,5,534,41,8,5006,3039,0,7,424,21,9,3496,1661,0,0,207,11,0,1878,1112,0,0,126,6,0,1249,789,0,0,83,5,0,880,505,0,0,50,3,0,564,935,0,0,130,12,5,1085,232,28,13,190,43,27,525,14811,242,194,2492,206,55,18001
CED227,10,18,4,16,10,0,53,3,16,5,9,7,0,39,18,104,11,57,16,4,214,33,47,23,99,19,0,218,30,21,9,92,26,0,177,154,20,16,165,56,0,418,2030,33,9,381,35,5,2495,5777,10,3,509,47,13,6360,1264,0,0,114,15,0,1398,205,0,0,30,4,0,242,68,0,0,6,3,0,78,33,0,0,3,0,0,39,12,0,0,0,0,0,15,58,0,0,12,6,0,74,234,28,7,124,46,21,458,9935,304,93,1609,272,53,12268
CED228,21,31,0,15,0,0,66,7,30,4,9,0,0,51,64,177,15,96,27,8,387,68,125,34,109,10,0,338,49,51,15,105,9,0,226,379,47,36,231,18,5,713,5055,66,32,825,96,19,6097,8570,39,12,628,124,22,9395,867,6,6,85,22,0,993,145,0,0,26,3,0,174,48,3,0,13,0,0,64,51,0,7,7,0,0,64,18,0,0,0,0,0,24,124,0,0,12,4,0,139,346,42,19,186,35,61,684,15813,609,185,2344,357,113,19418
CED229,43,73,9,15,5,0,151,15,129,17,15,0,0,181,63,888,71,116,7,5,1154,169,233,165,174,12,7,755,205,142,168,164,10,4,694,1054,111,105,314,17,3,1619,5085,87,51,669,44,7,5941,10350,45,33,977,56,16,11481,6925,17,10,821,46,15,7834,3521,3,0,463,17,3,4013,1934,0,0,253,6,9,2203,1168,3,0,151,6,0,1329,727,0,0,103,4,0,833,1345,0,0,216,15,3,1576,528,174,41,341,72,54,1214,33134,1914,673,4795,320,126,40960
CED230,14,106,27,113,125,9,401,27,168,44,99,63,9,409,281,689,99,556,252,22,1898,999,380,114,806,175,27,2498,971,155,29,654,108,8,1929,1827,133,42,696,131,18,2857,2129,58,40,577,125,21,2948,1155,19,18,302,73,5,1573,193,4,3,78,28,3,310,34,0,4,28,9,0,76,15,0,3,13,11,0,38,9,0,0,10,10,0,37,7,0,0,6,6,0,13,10,0,3,33,14,4,62,159,136,32,339,251,77,988,7826,1853,456,4317,1378,196,16032
CED231,21,107,7,20,0,0,155,12,184,9,10,0,0,220,30,857,37,79,11,9,1017,77,335,70,124,10,8,613,97,177,42,109,9,6,433,550,182,33,205,13,0,978,2622,170,38,476,29,7,3344,5426,89,29,612,55,8,6210,2862,14,6,322,20,3,3240,1334,4,0,127,5,5,1481,639,3,0,59,4,0,703,317,5,0,35,0,0,355,128,0,0,22,0,0,154,189,0,0,28,3,5,222,243,154,25,189,51,37,689,14544,2294,286,2403,213,75,19818
CED232,7,7,0,10,3,0,28,5,13,0,8,5,0,41,12,89,13,45,15,0,179,19,39,27,82,9,0,189,29,22,9,76,15,0,158,123,21,25,128,36,6,341,1059,21,19,357,24,0,1486,3856,16,10,421,43,6,4347,903,0,0,148,7,0,1068,285,0,0,30,0,0,321,89,0,0,27,0,3,116,40,0,0,9,0,0,48,23,0,0,3,0,0,21,43,0,0,10,4,0,56,142,19,9,130,33,14,354,6642,254,125,1495,214,33,8755
CED233,47,157,12,38,5,0,261,13,427,13,28,0,4,485,114,1665,128,157,32,17,2103,420,761,209,276,52,8,1725,547,351,150,271,41,4,1352,1852,352,128,475,64,3,2875,8183,311,95,926,99,10,9630,14624,221,74,1299,128,16,16359,8404,58,18,1027,54,9,9568,4549,16,8,642,26,6,5249,2609,10,5,399,28,0,3048,1603,8,9,291,11,3,1914,847,4,5,140,11,0,1003,1361,4,0,250,17,5,1638,661,290,47,480,94,73,1641,45834,4631,896,6703,655,155,58873
CED234,11,16,3,15,3,0,51,4,15,6,9,0,0,33,25,131,26,55,9,5,245,79,51,30,130,16,3,314,99,28,18,93,16,0,251,176,24,10,161,16,4,394,715,21,26,308,26,5,1102,4082,23,21,564,68,5,4761,3128,9,6,374,32,7,3568,1596,3,0,157,26,4,1780,765,0,0,62,8,0,832,306,5,0,28,4,0,344,127,0,0,15,4,0,144,165,0,0,43,9,0,220,248,29,13,266,46,24,635,11525,356,173,2284,278,56,14667
CED235,11,60,4,52,14,0,143,10,72,13,26,9,0,137,122,472,47,195,74,15,924,372,184,76,304,67,12,1022,358,78,37,369,43,3,881,1051,88,44,492,69,12,1752,2250,56,27,620,57,10,3022,2085,10,8,357,28,10,2496,383,5,0,86,7,0,482,58,0,0,17,0,0,80,16,0,0,9,0,0,26,6,0,0,10,0,0,15,5,0,0,6,6,0,18,25,0,0,30,3,0,65,123,82,20,226,94,23,559,6864,1112,271,2801,470,98,11615
CED236,19,80,9,45,20,4,173,10,104,12,34,23,0,192,154,699,71,308,164,18,1405,674,365,120,468,136,23,1789,684,204,50,525,101,9,1570,1765,175,47,663,245,12,2911,2311,84,54,642,183,24,3296,1671,34,12,338,82,14,2146,332,5,3,87,29,0,447,32,0,0,11,18,0,65,15,0,0,16,8,0,34,4,0,0,9,11,0,27,5,0,0,5,0,0,18,10,0,0,21,0,5,40,168,139,26,252,172,51,803,7853,1884,399,3422,1194,153,14905
CED237,19,21,7,17,3,0,68,7,16,0,14,3,0,50,28,123,14,78,19,4,253,37,114,21,95,13,0,292,39,62,20,65,15,4,202,124,57,37,149,40,4,409,2723,57,29,603,113,15,3539,6772,69,21,626,156,22,7652,1101,15,9,119,35,0,1280,166,3,0,23,6,0,199,39,0,0,14,4,0,58,35,4,0,3,0,0,42,18,0,0,4,0,0,26,100,0,0,11,10,0,119,282,70,12,208,48,36,657,11483,615,161,2030,463,81,14837
CED238,11,75,8,82,87,3,270,13,85,6,62,22,5,196,156,631,78,391,142,23,1416,444,260,73,557,105,17,1453,524,130,15,573,94,4,1345,1319,163,43,591,99,11,2230,1850,43,38,625,72,15,2640,1542,18,20,344,58,6,1980,353,10,3,107,23,0,493,102,0,5,22,8,0,134,21,0,0,15,4,0,40,3,0,0,5,9,0,17,4,0,0,6,7,0,18,17,0,0,52,9,0,85,113,119,21,264,239,35,796,6483,1526,316,3699,969,125,13120
