CED_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
CED121,79,84,875,964,175,1605,198,1260,97,5334,280,610,1651,1581,573,901,515,978,115,7203,1349,2949,3680,2260,1780,1125,1713,1631,306,16798,1892,2993,2818,1907,1896,886,2014,1418,294,16121,2111,2433,2433,1881,2213,1026,2219,1590,289,16189,1556,1867,1728,1329,1722,790,1683,1308,205,12183,538,603,312,256,431,183,352,306,73,3048,130,75,26,24,44,21,38,29,22,400,17,4,5,3,3,0,0,3,3,33,7961,11626,13524,10198,8833,6537,8722,8518,1402,77317
CED122,54,202,318,520,188,922,97,451,27,2780,422,2088,988,1590,1113,1174,334,657,174,8535,3473,10934,3310,2320,2918,1650,958,1588,535,27681,4801,7926,2002,1353,2534,1176,659,864,397,21711,3805,5527,1389,1283,2563,1023,660,743,299,17304,1888,3177,1054,961,2058,652,661,743,165,11371,403,982,282,292,592,199,190,241,70,3261,48,127,42,24,71,32,10,34,20,411,8,13,5,0,0,7,0,5,6,38,14901,30981,9395,8340,12051,6838,3560,5324,1689,93090
CED123,84,116,891,624,244,1541,225,1081,94,4913,437,1027,1781,1496,1139,1099,795,979,173,8923,2133,4651,3309,2453,3110,1402,2073,1604,417,21153,2976,4553,2509,2081,3477,1172,2264,1425,438,20893,2526,2779,1918,1702,3146,1062,2157,1345,346,16975,1491,1650,1292,1205,2297,720,1593,1183,213,11645,318,454,294,246,567,203,390,267,47,2781,40,57,18,13,37,28,25,13,18,247,6,3,0,0,0,0,4,0,3,19,10008,15284,12009,9827,14018,7229,9521,7899,1740,87551
CED124,87,59,709,769,153,1397,125,961,91,4347,182,365,984,954,324,576,197,599,66,4245,839,1883,1784,1383,877,673,502,1037,158,9139,1565,2283,1751,1503,1261,728,694,991,206,10994,2017,2501,1861,1904,1840,995,1030,1336,250,13730,1953,2400,1642,1709,1802,1025,1082,1482,202,13290,881,799,410,334,507,285,317,419,100,4056,256,94,39,13,60,27,36,66,60,651,26,3,3,0,0,0,0,12,13,70,7809,10388,9180,8575,6819,5705,3996,6906,1145,60520
CED125,77,91,687,530,199,1450,242,939,107,4326,399,1007,1408,1244,1019,1197,731,968,208,8187,2381,5615,3154,2519,3260,1601,2021,1739,550,22848,3091,5323,2611,2420,3674,1534,2220,1598,503,22965,2203,2815,1884,1842,2682,1083,2152,1559,318,16543,1298,1642,1353,1268,2100,812,1781,1345,208,11802,287,448,301,246,565,182,373,291,54,2750,19,39,18,9,27,14,31,24,7,200,0,4,0,0,0,0,0,0,4,14,9763,16984,11418,10078,13527,7869,9549,8472,1966,89635
CED126,69,178,688,908,188,1302,208,779,33,4355,353,1117,1278,1271,632,1012,246,484,87,6475,1710,3855,2083,1246,1180,889,348,570,204,12091,4118,5385,1834,1115,1854,907,326,584,256,16383,5081,5604,1946,1379,2717,1128,487,741,256,19329,3034,3809,1322,979,2300,939,577,740,214,13904,793,1306,376,292,781,341,238,272,60,4461,157,214,55,34,140,62,18,37,35,748,13,14,0,0,0,9,0,3,12,50,15321,21475,9578,7218,9792,6586,2455,4211,1155,77801
CED127,72,95,891,694,204,1077,152,863,56,4095,251,678,1371,1051,569,698,300,701,80,5706,1336,2971,2431,1487,1468,790,805,936,208,12426,2340,3884,2062,1365,1931,643,800,806,243,14080,2990,4025,1949,1614,2470,834,962,986,224,16057,2077,3309,1508,1206,2036,691,937,858,179,12803,557,1217,392,303,592,215,258,274,76,3888,103,132,32,18,69,41,31,38,26,490,9,5,4,6,0,5,0,6,3,38,9738,16318,10641,7752,9328,4993,4256,5473,1092,69590
CED128,52,87,396,340,169,1034,202,578,68,2930,276,985,894,830,960,906,577,622,194,6251,1369,3714,1858,1376,2120,931,1327,1047,405,14155,1906,2874,1652,1153,2461,828,1363,1030,339,13609,1633,1793,1540,1123,2192,733,1614,1268,276,12175,952,1202,1223,924,1866,587,1419,1236,219,9630,234,308,283,151,424,139,339,295,45,2218,28,21,17,7,24,8,17,20,11,151,0,0,0,0,8,0,0,0,4,16,6447,10987,7866,5903,10225,5178,6849,6099,1565,61120
CED129,77,310,534,765,355,1560,119,848,52,4613,409,1850,1066,1212,1157,1224,298,562,129,7913,2205,6583,1587,1183,2183,959,407,530,293,15921,5807,10509,1940,1362,3682,1346,547,596,413,26200,5155,6818,1804,1516,3461,1217,655,710,306,21642,2639,3564,1212,924,2405,874,609,650,164,13036,631,1187,335,211,793,255,191,220,55,3874,67,138,30,18,89,36,21,18,23,438,10,3,0,0,0,0,0,0,11,31,16993,30965,8506,7188,14126,7472,2849,4131,1437,93666
CED130,116,87,755,780,174,1445,158,1069,85,4671,299,573,1106,1045,437,689,263,1093,97,5595,1340,2749,2240,1768,1238,881,807,2164,216,13397,1966,2841,1788,1471,1457,747,959,1691,185,13095,2599,2629,1486,1643,1783,879,1090,1576,222,13910,2433,2151,1323,1343,1686,773,1133,1643,205,12679,1551,790,393,319,504,240,376,490,109,4773,511,94,57,27,79,33,57,77,54,992,70,4,0,0,4,0,4,5,26,125,10878,11899,9145,8394,7372,5686,4847,9813,1201,69235
CED131,71,163,503,984,194,1650,187,1167,47,4965,456,1636,1405,2747,1000,1539,373,1003,126,10284,1983,7714,3026,2780,2127,1274,850,1097,298,21158,2721,6582,2053,1608,2052,754,768,842,247,17625,2588,4908,1670,1573,2303,805,847,1017,233,15946,1482,3108,1189,1228,1788,698,793,962,142,11388,358,889,217,230,396,145,171,236,38,2696,51,99,27,11,44,23,11,38,24,325,3,6,0,0,0,3,0,0,8,27,9720,25105,10080,11157,9904,6894,4014,6358,1165,84404
CED132,32,243,122,570,223,706,81,333,26,2337,377,2048,495,1043,913,779,130,277,90,6148,3670,11319,1499,1328,2261,1236,221,470,370,22371,6071,10841,1185,934,2450,1061,212,311,384,23453,5282,7436,838,729,2234,814,202,298,249,18090,2998,4688,560,580,1647,635,197,324,169,11797,919,1902,193,162,716,270,85,157,81,4471,188,348,26,25,121,55,6,29,31,830,19,15,4,0,7,6,0,3,12,58,19558,38838,4924,5381,10553,5556,1127,2198,1421,89557
CED133,81,47,686,685,147,1529,168,1199,74,4618,232,366,1019,1025,459,750,266,994,92,5196,1032,2278,2042,1813,1193,881,657,1809,199,11913,1792,3066,1786,1809,1537,807,700,1438,239,13175,2351,3036,1766,2145,2014,953,964,1762,260,15252,2128,2604,1553,1989,1953,979,1096,1836,207,14347,1055,826,381,395,588,248,344,523,97,4460,310,82,37,14,48,29,36,49,63,670,51,0,0,0,0,3,4,6,19,90,9036,12318,9272,9883,7936,6175,4226,9619,1248,69710
CED134,80,47,658,653,132,1141,164,902,103,3879,295,631,1135,1003,467,530,488,821,106,5478,1545,3182,2347,2168,1432,958,1492,1671,267,15061,2135,2501,1752,1679,1429,729,1210,1204,237,12878,2716,2161,1446,1570,1625,733,1287,1333,239,13112,2813,1820,1339,1362,1656,777,1430,1440,233,12867,1528,562,393,314,546,255,497,474,97,4659,496,55,32,24,77,30,66,76,66,914,84,4,0,0,3,6,6,10,9,117,11686,10963,9113,8774,7363,5157,6636,7930,1353,68969
CED135,36,186,197,268,193,771,112,398,43,2210,370,1681,909,1269,1066,1334,759,1151,202,8744,2544,10680,2306,2511,3282,1878,1920,1917,742,27785,3679,9814,2071,1705,3419,1193,1279,1172,584,24931,2093,3735,1474,1325,2339,777,946,1047,306,14048,1109,2229,1085,899,1662,526,869,1054,182,9608,248,600,251,223,426,132,212,245,41,2377,25,74,24,17,49,16,13,16,10,248,7,5,0,0,0,0,0,0,5,22,10106,29007,8319,8220,12443,6627,6115,7007,2122,89968
CED136,96,86,776,823,164,1684,230,1278,77,5221,304,576,1654,1552,659,1046,424,972,126,7313,1466,3024,3582,2462,2082,1308,1396,1824,311,17463,2025,3076,2722,2066,2157,1028,1605,1432,302,16406,2041,2592,2337,2108,2267,1033,1698,1537,269,15886,1402,1803,1623,1498,1809,911,1399,1480,187,12105,360,541,281,267,402,193,318,288,60,2708,54,59,23,19,49,27,21,31,28,322,6,0,4,0,3,0,0,6,10,32,7750,11769,12991,10797,9596,7226,7093,8846,1385,77461
CED137,33,225,201,380,240,791,59,370,49,2347,465,2285,1017,1790,1289,1558,396,1443,260,10503,3832,13240,2911,2640,3836,2259,1058,2037,799,32619,5032,8916,1937,1266,3051,1306,614,885,526,23542,3874,5369,1374,1073,2557,994,556,778,314,16883,2450,3474,1041,758,2089,805,583,853,196,12248,617,1186,252,206,711,230,192,272,70,3737,78,152,39,17,80,48,17,32,25,490,10,21,4,0,11,0,0,3,11,49,16392,34870,8782,8129,13870,7984,3477,6664,2247,102421
CED138,76,75,540,909,139,1528,129,1095,89,4567,243,410,1047,1130,425,798,199,710,90,5047,1363,3034,2535,1799,1117,972,458,1172,237,12692,2580,4147,2349,1824,1625,880,481,1152,313,15354,2633,4082,2098,2018,1930,1095,642,1305,304,16120,2125,3045,1614,1805,1846,1071,839,1482,196,14022,837,1062,456,389,564,356,283,441,103,4489,179,92,23,24,50,36,31,38,45,519,27,5,0,9,4,4,0,5,18,64,10062,15957,10665,9912,7713,6733,3057,7390,1388,72886
CED139,135,139,1014,1124,209,1521,141,1039,118,5436,355,721,1531,1656,532,914,340,1033,112,7191,1546,3339,2641,2141,1306,1036,914,1681,252,14855,2365,3013,1866,1638,1535,857,943,1479,231,13928,2811,2612,1653,1650,1840,852,1076,1456,227,14194,2602,1975,1341,1442,1773,805,1264,1472,206,12879,1510,643,384,295,513,237,403,440,89,4523,501,62,49,21,50,44,33,69,67,896,74,3,7,0,4,0,4,7,24,129,11906,12519,10483,9966,7771,6258,5120,8683,1335,74032
CED140,72,91,549,715,119,1401,229,963,64,4207,254,753,1078,1193,508,839,262,653,99,5639,1302,3481,2006,1475,1359,805,458,805,217,11905,2506,4394,1968,1386,1924,800,481,786,249,14499,2789,3996,1778,1618,2336,913,658,1078,258,15432,1906,2917,1387,1379,2152,818,701,992,155,12414,532,913,338,265,580,245,201,265,66,3410,95,125,33,15,67,52,25,21,35,450,5,5,0,0,0,0,0,0,14,39,9476,16683,9144,8045,9046,5872,3014,5573,1147,67993
CED141,65,90,703,825,154,1552,159,1029,57,4640,256,663,1276,1366,570,912,270,710,78,6108,1117,3356,2509,1794,1521,880,648,1010,177,13019,2053,4110,2197,1591,1952,788,800,901,190,14577,2219,3426,1998,1795,2431,901,1001,1169,212,15141,1374,2302,1522,1426,1975,808,929,1071,150,11561,279,593,269,264,433,193,205,244,46,2527,46,66,27,11,51,22,32,36,21,305,0,5,0,0,5,4,0,0,11,20,7419,14609,10511,9079,9081,6058,4042,6169,941,67897
CED142,37,208,119,408,134,495,39,237,21,1695,734,3655,1025,2237,1564,1460,311,752,247,11981,7230,22786,4211,3882,4761,2784,1055,2284,912,49918,7374,12341,2000,1684,2855,1333,480,1026,550,29640,4263,6003,1002,873,1890,809,302,507,251,15903,2340,3675,578,582,1306,493,253,423,152,9806,555,1280,157,136,427,153,68,160,64,2992,103,187,11,13,43,22,9,18,20,417,10,13,0,3,3,3,0,0,3,33,22643,50143,9114,9818,12993,7555,2504,5398,2218,122384
CED143,52,211,288,752,218,979,152,473,31,3159,354,1461,694,1199,688,788,159,281,79,5706,2980,7151,1779,1299,1523,1082,276,500,262,16867,5216,7287,1291,843,1774,959,239,359,307,18280,5491,6871,1002,964,2202,969,314,373,311,18499,3107,4240,757,686,1780,746,319,397,181,12226,749,1513,229,215,680,285,116,162,58,4015,157,290,31,16,120,57,19,22,39,749,15,23,3,0,10,3,0,3,14,76,18125,29065,6078,5980,8997,5878,1602,2574,1281,79576
CED144,37,153,280,257,188,910,85,400,51,2372,305,1460,736,1014,987,1209,339,682,180,6913,1670,5498,1887,1779,2234,1395,1116,1318,467,17372,2219,4107,1678,1483,2155,1037,889,1013,413,14996,1961,2631,1478,1389,2103,802,1036,1230,309,12933,1082,1704,1165,927,1484,624,1048,1170,185,9402,263,470,256,184,313,150,213,271,63,2185,21,54,18,15,32,9,13,17,11,191,3,3,0,0,0,0,0,5,5,17,7569,16085,7488,7047,9510,6137,4746,6113,1681,66382
CED145,61,151,106,410,141,478,58,178,23,1603,409,1674,352,782,760,591,105,183,101,4951,4395,11369,1681,1366,2035,1540,319,606,483,23791,5166,8113,933,790,1465,959,128,290,392,18244,4350,6066,643,677,1427,841,127,259,298,14682,2423,4070,429,556,1192,530,132,248,190,9775,900,1926,166,168,586,270,61,109,139,4333,231,413,37,24,126,80,14,30,51,1007,29,41,0,0,19,20,0,0,16,124,17958,33825,4353,4778,7755,5316,941,1903,1674,78497
CED146,68,149,477,429,225,1317,256,772,85,3776,369,1439,1002,1034,1210,1195,781,698,219,7959,1659,4890,1955,1731,2567,1110,1503,1085,439,16949,2512,4453,1922,1748,2880,1032,1778,1274,400,18014,1982,2625,1889,1527,2616,945,2027,1666,327,15604,1165,1405,1339,1017,1759,617,1840,1523,212,10876,244,340,303,174,332,129,310,314,53,2193,34,32,16,8,29,8,14,21,6,156,5,0,0,0,0,0,0,0,8,14,8032,15330,8903,7675,11620,6344,8511,7367,1741,75528
CED147,77,94,901,722,211,1494,209,1099,85,4890,299,656,1619,1379,666,831,366,822,119,6765,1375,3347,3094,2178,1762,1075,1004,1243,241,15313,2115,3354,2407,1891,2223,989,1225,1260,283,15754,2286,2959,2121,1982,2365,1148,1434,1485,261,16032,1541,2139,1688,1458,1780,873,1235,1390,180,12282,527,763,324,275,487,262,282,294,67,3276,122,116,31,15,51,30,20,37,47,474,12,6,3,4,4,0,0,0,7,39,8351,13422,12179,9902,9548,6707,5789,7639,1300,74832
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,13,0,0,18,0,0,0,0,0,0,7,0,0,12,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,35
CED201,54,87,459,622,175,1620,117,877,62,4072,335,1118,1302,1072,830,1379,378,775,124,7316,1705,5166,2704,1669,2148,1134,665,970,304,16477,3056,5602,2458,1540,2493,1090,757,937,360,18300,2879,3741,2450,1799,2880,1191,1037,1220,296,17490,1919,2614,1899,1373,2581,906,1077,1212,218,13788,467,693,437,316,619,250,310,395,75,3556,38,82,45,17,55,21,16,45,4,310,3,5,0,0,6,0,0,0,4,15,10458,19104,11758,8400,11786,7591,4357,6423,1453,81332
CED202,104,72,627,742,150,1559,102,1017,70,4447,328,652,1292,1351,584,987,252,846,104,6381,1346,3677,2650,2031,1586,1045,735,1259,208,14532,2090,4086,2114,1635,1871,768,687,1100,197,14542,2450,3492,1841,1777,2100,867,910,1290,235,14961,1786,2537,1447,1430,1709,794,918,1268,175,12056,652,755,297,289,411,206,282,365,72,3325,195,72,23,18,25,24,5,40,35,429,16,4,0,0,6,0,0,9,9,48,8966,15340,10296,9266,8440,6255,3885,7179,1103,70721
CED203,64,36,559,643,157,1548,125,1112,71,4320,239,701,1163,1230,552,888,296,950,111,6136,1158,3795,2463,1908,1334,928,741,1572,214,14118,2069,4031,1968,1620,1665,762,708,1271,209,14307,2315,3531,1755,1756,1993,866,911,1258,234,14626,1734,2541,1403,1588,1779,793,965,1382,197,12385,659,843,329,335,462,223,264,363,69,3549,175,68,29,11,39,36,21,48,35,454,19,6,0,0,0,3,0,0,6,40,8441,15549,9682,9095,7989,6051,4034,7953,1151,69937
CED204,42,95,395,481,182,1457,158,842,79,3718,320,1017,1492,1098,877,1462,564,1070,230,8146,1589,4312,3409,1897,2281,1194,1512,1983,534,18717,2277,4019,3048,1789,2365,1042,1487,1600,412,18034,2122,2595,2533,1860,2440,959,1703,1714,339,16265,1485,1648,1831,1324,2057,775,1597,1612,223,12547,344,495,439,252,484,178,351,414,53,3007,38,56,28,13,43,30,18,33,18,272,0,0,3,0,0,4,0,0,0,14,8198,14240,13190,8710,10733,7098,7390,9274,1891,80720
CED205,57,62,407,325,154,1366,126,750,90,3338,324,884,1452,1195,943,1402,684,1045,274,8205,1745,4532,3390,2661,2712,1373,2218,2070,634,21339,2296,4021,2704,2519,2496,1031,2261,1629,472,19434,1524,1814,1858,1675,1764,760,1682,1587,288,12952,881,919,1197,990,1394,581,1376,1193,176,8711,162,227,201,153,231,119,208,236,32,1573,13,20,15,5,15,9,10,15,0,99,0,0,0,0,0,0,0,0,0,5,7003,12481,11225,9520,9717,6635,8563,8528,1975,75648
CED206,56,63,849,843,135,1357,101,1111,71,4592,304,605,1758,1271,625,1000,297,865,127,6862,1573,3809,3706,1942,1792,882,656,1158,309,15836,2768,4283,2992,1652,2144,835,764,1164,282,16882,3139,3540,2715,1863,2591,1032,1043,1302,322,17549,2206,2478,2104,1502,2250,880,1005,1196,209,13834,668,856,517,333,602,261,284,371,63,3966,127,102,34,28,48,33,23,58,14,468,7,7,0,0,0,0,0,0,8,26,10850,15738,14682,9442,10195,6297,4173,7230,1405,80000
CED207,47,219,210,798,263,1403,93,738,64,3833,408,2002,956,1723,1235,1861,435,999,183,9800,2022,7787,2041,1734,2295,1447,721,1233,453,19731,3808,7557,1664,1229,2316,1077,476,702,411,19249,3718,6005,1644,1427,2463,1078,584,867,312,18095,2133,3805,1267,1025,1947,697,537,811,198,12417,499,1103,322,257,613,199,150,277,66,3489,94,155,40,34,105,30,12,42,40,549,3,6,4,0,5,3,5,0,10,45,12737,28635,8157,8223,11238,7792,3020,5671,1735,87202
CED208,31,70,167,529,130,1007,45,515,40,2536,275,1065,883,1434,785,1198,298,740,143,6823,2587,9543,2698,2576,2577,1404,803,1333,451,23971,3909,8360,1881,1443,2221,786,557,760,347,20268,3156,5594,1580,1281,2252,829,695,883,256,16530,1416,2986,994,863,1505,538,595,818,156,9873,265,698,232,201,313,120,149,243,39,2263,28,56,14,10,19,13,11,34,18,199,3,3,0,0,4,0,0,0,0,16,11680,28370,8446,8332,9805,5901,3149,5340,1455,82472
CED209,57,46,550,885,119,1608,118,1024,51,4458,288,696,1310,1461,498,1115,329,802,92,6595,1563,4397,2863,2130,1449,929,631,1094,214,15273,2719,5025,2565,1858,1986,890,605,966,268,16886,2697,3735,2018,1798,2121,959,724,1007,257,15324,1794,2582,1332,1403,1749,845,737,863,176,11466,562,836,336,267,514,254,209,283,72,3338,134,86,23,21,36,19,24,27,18,391,18,6,4,0,0,0,0,0,7,33,9830,17401,11003,9824,8486,6620,3375,6070,1160,73771
CED210,60,39,474,698,132,1572,130,984,59,4143,315,901,1323,1569,651,1191,472,947,151,7523,1537,5214,3122,2344,1750,1173,1172,1592,314,18218,2354,4410,2157,1701,1838,845,904,1237,289,15732,2343,3546,1877,1915,1998,850,1098,1327,278,15229,1456,2360,1351,1466,1628,719,1097,1295,184,11550,373,690,295,288,429,185,275,384,66,2978,65,61,32,14,35,17,15,53,34,331,8,9,0,0,3,4,0,3,8,31,8523,17217,10627,9992,8456,6545,5161,7831,1380,75733
CED211,71,92,449,789,146,1586,112,956,48,4240,336,1036,1299,1215,775,1333,319,720,136,7175,1706,6015,2499,1717,1961,1056,581,1012,334,16880,3511,7233,2185,1576,2490,989,536,860,341,19723,3354,5063,2168,1747,2891,1004,682,996,315,18215,2053,3069,1549,1378,2324,844,708,964,188,13078,456,884,361,319,645,254,220,331,53,3521,67,125,43,30,58,34,14,45,23,443,5,3,3,0,3,7,0,10,15,40,11556,23524,10551,8776,11288,7112,3172,5898,1448,83321
CED212,64,46,507,681,127,1554,99,1001,67,4148,292,599,1312,1195,581,1092,329,811,118,6330,1579,3816,3351,1893,1790,1145,747,1242,297,15859,2894,4165,2781,1813,2275,1069,873,1190,316,17375,2930,3518,2373,1882,2520,1169,1149,1303,284,17138,1737,2302,1706,1404,2131,926,1051,1188,188,12632,436,688,398,291,573,252,242,313,77,3280,80,92,33,19,52,37,13,37,22,386,6,3,0,0,0,0,0,5,10,26,10029,15233,12466,9183,10053,7249,4498,7098,1373,77177
CED213,51,57,706,981,106,1316,88,889,94,4284,244,460,1482,1242,363,883,193,571,103,5535,1218,2559,2714,1517,950,770,351,911,191,11184,2317,3016,2284,1311,1397,775,378,872,218,12571,2954,3259,2342,1682,2003,1141,634,1198,297,15506,2279,2646,1770,1362,1926,1032,702,1143,216,13072,879,1129,473,310,766,384,227,372,117,4657,178,160,58,20,107,48,33,67,52,712,11,19,0,0,3,0,0,0,6,44,10137,13299,11840,8425,7615,6354,2607,6014,1289,67577
CED214,30,66,148,391,142,928,88,532,58,2375,321,1121,948,1393,959,1343,653,1087,229,8047,2378,7906,3032,2759,3178,1755,2002,2262,687,25971,3154,6069,2177,1727,2476,942,1374,1652,455,20022,2095,3216,1684,1390,1848,688,1634,1785,359,14700,1006,1493,1113,886,1159,502,1415,1499,217,9290,222,352,201,171,276,98,285,351,44,2011,24,28,10,9,14,9,5,29,8,135,0,0,0,0,0,0,0,0,0,3,9231,20247,9336,8729,10052,6264,7460,9200,2059,82569
CED215,39,107,299,550,169,1368,145,767,55,3505,285,827,1048,1077,779,1072,658,763,165,6674,2274,6403,2656,2136,2727,1349,1857,1381,543,21328,5277,9751,2740,2299,3800,1424,1644,1238,629,28801,3764,4934,1856,1680,2831,1017,1346,1084,369,18878,1645,2461,1131,948,1793,611,938,909,183,10621,294,498,216,181,350,128,195,214,51,2140,21,40,18,5,18,12,6,24,15,173,5,3,0,0,0,0,0,0,3,11,13613,25024,9969,8872,12469,6977,6799,6382,2021,92138
CED216,76,42,637,657,121,1448,101,874,86,4044,318,548,1124,993,484,670,218,711,92,5158,1172,2809,2300,1753,1300,869,742,1369,254,12572,1680,2533,1940,1522,1479,688,804,1365,251,12260,2006,2172,1762,1761,1800,874,1029,1486,225,13113,1940,1982,1662,1507,1710,825,1113,1533,257,12531,1016,630,369,342,496,239,345,426,119,3980,311,72,24,19,50,29,27,58,54,642,42,0,0,0,0,0,3,5,15,75,8560,10799,9828,8553,7432,5649,4383,7830,1348,64368
CED217,39,144,201,1145,271,1367,86,699,53,4009,301,1234,645,1270,850,1284,196,448,86,6317,1817,4987,1301,1071,1438,817,269,453,252,12398,4495,6531,1023,888,1572,849,193,306,293,16148,5929,7161,1139,1070,2424,1142,231,363,325,19782,3522,4900,959,926,1974,815,242,395,220,13946,907,1701,320,265,797,339,104,216,67,4718,158,258,46,30,114,64,18,40,32,761,15,12,0,0,8,0,0,4,15,63,17186,26926,5633,6662,9439,6687,1337,2920,1350,78144
CED218,50,94,382,503,201,1785,189,874,81,4158,319,1086,1201,1002,1010,1427,629,812,228,7715,1613,4781,2733,1986,2715,1216,1739,1421,568,18769,2760,4719,2688,2108,3141,1141,2108,1567,535,20763,2367,2923,2180,1851,2833,1038,2021,1878,391,17492,1173,1332,1403,1120,1833,708,1601,1493,230,10886,241,282,273,207,348,150,302,365,54,2230,24,31,13,7,28,10,12,24,0,158,0,0,0,0,0,0,0,0,6,9,8545,15252,10875,8785,12106,7481,8609,8438,2097,82174
CED219,57,55,616,495,153,1558,148,901,71,4047,316,607,1547,1031,759,1084,609,866,138,6952,1461,3529,3476,2426,2405,1257,1838,1599,406,18388,2293,3646,2678,2210,2672,1045,2025,1421,371,18365,2094,2280,2055,1912,2601,1000,1786,1353,307,15390,1234,1403,1335,1311,1836,774,1338,973,183,10402,305,330,305,260,473,163,302,284,60,2484,51,32,15,12,31,12,23,35,12,222,7,0,0,0,0,0,0,0,3,16,7817,11893,12023,9655,10933,6896,8069,7432,1546,76262
CED220,45,106,76,786,179,868,47,453,25,2594,468,2070,663,1613,1272,1457,230,605,131,8509,3733,12572,2049,1962,2867,1751,479,846,426,26691,4657,8166,1126,873,1849,956,218,396,322,18562,4350,5964,752,826,1896,842,205,341,273,15447,2639,4217,618,644,1536,647,195,342,169,10985,807,1754,224,198,632,262,92,148,97,4212,163,348,24,32,93,57,18,30,38,799,26,28,0,0,7,7,0,5,12,86,16883,35229,5548,6927,10329,6839,1486,3161,1490,87888
CED221,66,57,499,469,147,1498,179,957,80,3942,365,809,1600,1261,904,1353,761,1269,216,8530,1917,4187,4007,2903,2785,1587,2299,2371,568,22615,2748,4664,3757,3039,3051,1321,2646,2359,525,24112,1854,2255,2636,2071,2324,942,2051,2129,356,16619,974,918,1512,1134,1626,582,1644,1438,208,10042,184,222,266,196,310,102,312,320,47,1959,27,10,17,7,15,10,8,30,8,138,0,3,4,0,0,0,0,0,8,11,8124,13123,14295,11075,11164,7396,9907,10878,2016,87972
