SOSR_CODE_2021,M_15_19_Marr_a_reg_marr,M_15_19_Marr_a_de_facto_marr,M_15_19_yr_N_married,M_15_19_yr_Tot,M_20_24_Marr_a_reg_marr,M_20_24_Marr_a_de_facto_marr,M_20_24_yr_N_married,M_20_24_yr_Tot,M_25_34_Marr_a_reg_marr,M_25_34_Marr_a_de_facto_marr,M_25_34_yr_N_married,M_25_34_yr_Tot,M_35_44_Marr_a_reg_marr,M_35_44_Marr_a_de_facto_marr,M_35_44_yr_N_married,M_35_44_yr_Tot,M_45_54_Marr_a_reg_marr,M_45_54_Marr_a_de_facto_marr,M_45_54_yr_N_married,M_45_54_yr_Tot,M_55_64_Marr_a_reg_marr,M_55_64_Marr_a_de_facto_marr,M_55_64_yr_N_married,M_55_64_yr_Tot,M_65_74_Marr_a_reg_marr,M_65_74_Marr_a_de_facto_marr,M_65_74_yr_N_married,M_65_74_yr_Tot,M_75_84_Marr_a_reg_marr,M_75_84_Marr_a_de_facto_marr,M_75_84_yr_N_married,M_75_84_yr_Tot,M_85_over_Marr_a_reg_marr,M_85ov_Marr_a_de_facto_marr,M_85_yr_over_N_married,M_85_yr_over_Tot,M_Tot_Marr_a_reg_marr,M_Tot_Marr_a_de_facto_marr,M_Tot_N_married,M_Tot_Tot,F_15_19_Marr_a_reg_marr,F_15_19_Marr_a_de_facto_marr,F_15_19_yr_N_married,F_15_19_yr_Tot,F_20_24_Marr_a_reg_marr,F_20_24_Marr_a_de_facto_marr,F_20_24_yr_N_married,F_20_24_yr_Tot,F_25_34_Marr_a_reg_marr,F_25_34_Marr_a_de_facto_marr,F_25_34_yr_N_married,F_25_34_yr_Tot,F_35_44_Marr_a_reg_marr,F_35_44_Marr_a_de_facto_marr,F_35_44_yr_N_married,F_35_44_yr_Tot,F_45_54_Marr_a_reg_marr,F_45_54_Marr_a_de_facto_marr,F_45_54_yr_N_married,F_45_54_yr_Tot,F_55_64_Marr_a_reg_marr,F_55_64_Marr_a_de_facto_marr,F_55_64_yr_N_married,F_55_64_yr_Tot,F_65_74_Marr_a_reg_marr,F_65_74_Marr_a_de_facto_marr,F_65_74_yr_N_married,F_65_74_yr_Tot,F_75_84_Marr_a_reg_marr,F_75_84_Marr_a_de_facto_marr,F_75_84_yr_N_married,F_75_84_yr_Tot,F_85_over_Marr_a_reg_marr,F_85ov_Marr_a_de_facto_marr,F_85_yr_over_N_married,F_85_yr_over_Tot,F_Tot_Marr_a_reg_marr,F_Tot_Marr_a_de_facto_marr,F_Tot_N_married,F_Tot_Tot,P_15_19_Marr_a_reg_marr,P_15_19_Marr_a_de_facto_marr,P_15_19_yr_N_married,P_15_19_yr_Tot,P_20_24_Marr_a_reg_marr,P_20_24_Marr_a_de_facto_marr,P_20_24_yr_N_married,P_20_24_yr_Tot,P_25_34_Marr_a_reg_marr,P_25_34_Marr_a_de_facto_marr,P_25_34_yr_N_married,P_25_34_yr_Tot,P_35_44_Marr_a_reg_marr,P_35_44_Marr_a_de_facto_marr,P_35_44_yr_N_married,P_35_44_yr_Tot,P_45_54_Marr_a_reg_marr,P_45_54_Marr_a_de_facto_marr,P_45_54_yr_N_married,P_45_54_yr_Tot,P_55_64_Marr_a_reg_marr,P_55_64_Marr_a_de_facto_marr,P_55_64_yr_N_married,P_55_64_yr_Tot,P_65_74_Marr_a_reg_marr,P_65_74_Marr_a_de_facto_marr,P_65_74_yr_N_married,P_65_74_yr_Tot,P_75_84_Marr_a_reg_marr,P_75_84_Marr_a_de_facto_marr,P_75_84_yr_N_married,P_75_84_yr_Tot,P_85_over_Marr_a_reg_marr,P_85ov_Marr_a_de_facto_marr,P_85_yr_over_N_married,P_85_yr_over_Tot,P_Tot_Marr_a_reg_marr,P_Tot_Marr_a_de_facto_marr,P_Tot_N_married,P_Tot_Tot
SOSR231,3,53,12173,12230,141,811,7730,8683,4487,4107,7053,15652,11978,3589,4328,19891,17333,4156,6038,27526,21357,3767,7498,32618,19286,2049,6805,28136,8510,526,3276,12307,1417,41,1049,2502,84502,19093,55947,159542,3,93,11022,11115,225,1211,5951,7387,6248,4632,5413,16296,13934,3779,3492,21208,19217,4362,4945,28529,22020,3465,6282,31762,17082,1517,5683,24284,5903,294,3879,10074,582,13,1884,2482,85219,19365,48560,153141,7,142,23196,23346,364,2026,13686,16073,10736,8741,12472,31944,25912,7366,7821,41103,36545,8521,10980,56053,43373,7228,13778,64380,36366,3565,12487,52417,14410,817,7158,22378,1994,58,2933,4985,169718,38459,104507,312683
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,28,714,66447,67187,1429,10695,61019,73149,42304,41546,71623,155469,88774,23035,37927,149736,83464,15478,34779,133716,69464,9276,28693,107428,54825,4095,20261,79184,29232,1217,10809,41258,6346,158,4469,10975,375861,106208,336032,818102,58,1273,62571,63904,2879,15094,55055,73028,57557,43459,63620,164642,96592,21757,42409,160752,84315,14432,45361,144106,66724,7943,41772,116438,49500,3080,37075,89650,21002,759,26771,48529,2885,82,13447,16411,381507,107874,388082,877464,85,1994,129016,131091,4309,25790,116081,146178,99859,85005,135246,320107,185362,44785,80343,310486,167774,29908,80138,277822,136190,17214,70459,223867,104327,7171,57341,168837,50238,1977,37578,89793,9226,236,17923,27379,757364,214082,724118,1695566
SOSR302,10,208,23948,24166,407,3159,19254,22823,12194,14511,22592,49300,28830,9390,12661,50882,31255,6878,13435,51572,28531,4802,12105,45436,27617,2926,9769,40311,16923,1074,5727,23727,3787,188,2471,6445,149567,43132,121959,314660,12,376,22747,23138,791,4790,18328,23910,17336,15947,21337,54623,32642,9033,15562,57232,32741,6752,18371,57866,29001,4510,18794,52298,25969,2159,17822,45946,12301,664,13554,26518,1749,83,6686,8520,152537,44307,153202,350049,22,580,46700,47307,1195,7951,37580,46730,29534,30461,43928,103924,61473,18420,28220,108113,64000,13628,31805,109435,57533,9306,30896,97737,53586,5085,27585,86260,29223,1735,19285,50243,5540,268,9154,14969,302105,87444,275164,664710
SOSR303,8,218,11989,12214,344,2506,9183,12036,6664,7326,11031,25028,12167,4061,6904,23129,13058,3179,7157,23391,12294,2212,6831,21336,10691,1011,4980,16679,5806,286,2490,8586,1215,36,889,2139,62240,20844,61458,144532,21,386,11555,11958,612,3481,8338,12435,9033,7763,10570,27372,14188,4184,8581,26947,13862,3127,9562,26559,12325,1909,9124,23353,9594,739,7938,18268,4213,192,5625,10035,539,19,2732,3291,64387,21805,74024,160217,25,609,23542,24175,958,5991,17519,24467,15697,15091,21603,52395,26346,8246,15480,50079,26922,6310,16718,49946,24616,4123,15950,44689,20277,1743,12921,34946,10022,483,8116,18622,1754,54,3620,5430,126626,42646,135477,304746
SOSR311,3,136,6824,6963,172,1267,4728,6166,3671,3509,5688,12867,6522,1969,3875,12368,6793,1610,4143,12549,7723,1303,4239,13270,8076,709,3427,12209,5006,300,2061,7362,1170,62,815,2042,39143,10858,35798,85801,3,236,6258,6498,390,1813,4007,6210,5054,3790,5368,14217,7654,2054,4490,14195,7657,1678,5102,14438,8324,1204,5425,14956,7638,616,5147,13402,3793,215,4568,8579,536,33,2220,2781,41053,11635,42583,95275,11,372,13080,13459,567,3081,8733,12379,8724,7299,11057,27081,14173,4027,8365,26564,14455,3285,9249,26993,16054,2510,9663,28226,15710,1320,8578,25614,8800,516,6624,15941,1705,88,3031,4828,80198,22494,78386,181078
SOSR312,0,36,2614,2655,81,451,1704,2233,1260,1255,2114,4624,2321,795,1526,4637,2627,705,1808,5134,3170,589,2017,5772,3799,393,1656,5843,2311,158,918,3383,504,24,362,883,16072,4391,14710,35176,5,85,2406,2493,149,618,1368,2135,1754,1345,1772,4867,2657,851,1674,5186,2882,683,2160,5719,3525,573,2358,6454,3537,327,2403,6268,1771,107,1956,3828,238,8,920,1165,16518,4589,17016,38115,0,116,5024,5142,231,1070,3074,4367,3011,2597,3890,9501,4975,1645,3198,9821,5504,1383,3966,10852,6692,1160,4378,12227,7335,717,4058,12113,4081,261,2873,7218,740,33,1283,2052,32587,8979,31728,73292
SOSR313,3,95,4599,4696,130,962,2814,3904,2661,2788,3577,9027,4544,1471,2316,8329,4595,1003,2375,7969,4651,714,2311,7674,4557,417,1714,6692,2673,131,937,3740,558,19,330,906,24364,7596,20977,52939,9,172,4093,4270,244,1465,2502,4211,3627,2902,3612,10148,5394,1489,2838,9718,4977,1025,2976,8978,4871,719,3020,8606,4260,302,2659,7223,1938,92,2082,4112,237,11,1025,1275,25553,8186,24802,58539,8,270,8696,8967,373,2424,5318,8117,6292,5692,7189,19173,9938,2954,5147,18048,9565,2027,5353,16947,9515,1431,5327,16278,8815,724,4380,13915,4614,225,3017,7854,793,32,1355,2181,49917,15782,45776,111480
SOSR314,0,85,4558,4642,112,790,2910,3808,2719,2356,3634,8708,4941,1443,2215,8596,5207,1240,2516,8966,4961,839,2611,8412,4744,443,2058,7245,2758,156,1129,4044,597,18,450,1064,26040,7378,22075,55491,5,175,4179,4360,206,1136,2417,3757,3742,2494,3507,9734,5577,1534,2698,9804,5452,1254,3060,9770,5187,751,3064,8997,4393,336,2898,7630,2027,113,2280,4424,250,14,1158,1420,26843,7803,25253,59900,8,262,8734,8998,313,1923,5331,7564,6455,4848,7141,18443,10513,2980,4908,18405,10661,2494,5579,18736,10151,1583,5674,17409,9137,777,4961,14875,4789,274,3409,8470,849,29,1603,2484,52886,15179,47327,115388
SOSR315,3,138,6485,6626,158,1119,3966,5241,3495,3434,4713,11647,6140,2308,3357,11805,7018,2072,4094,13183,8138,1663,4518,14322,8752,946,4229,13924,4697,311,2095,7096,898,39,697,1631,39294,12028,34155,85479,8,247,5929,6184,279,1556,3360,5189,4827,3828,4567,13222,7300,2415,3976,13693,7554,2124,4590,14264,8776,1562,5180,15523,8128,781,4973,13881,3369,193,3511,7077,402,12,1616,2031,40651,12724,37695,91066,14,387,12417,12812,434,2675,7324,10433,8329,7264,9279,24868,13444,4719,7337,25494,14576,4192,8682,27447,16915,3225,9703,29843,16877,1729,9199,27802,8066,505,5604,14172,1301,52,2317,3665,79946,24750,71846,176547
SOSR321,0,49,2461,2505,23,324,1486,1830,1024,1151,1569,3745,2188,945,1190,4327,2855,915,1622,5390,3573,771,1912,6254,3761,449,1765,5973,1896,137,937,2964,304,21,232,561,15626,4758,13167,33547,3,77,2169,2246,68,499,1166,1730,1468,1328,1588,4382,2694,1027,1324,5044,3260,926,1676,5860,3919,726,2081,6729,3385,350,1841,5575,1282,86,1301,2670,127,11,532,672,16205,5025,13674,34900,3,121,4624,4749,95,824,2647,3559,2494,2478,3154,8125,4883,1969,2513,9370,6112,1838,3298,11254,7490,1493,4000,12984,7145,800,3604,11545,3176,216,2239,5634,434,32,766,1228,31832,9774,26842,68452
SOSR322,0,24,904,920,13,183,639,831,367,582,770,1718,769,396,593,1762,1024,422,835,2280,1617,368,1148,3136,1674,222,1011,2908,876,74,453,1399,125,6,127,255,6464,2278,6488,15229,0,32,780,811,46,250,522,813,528,630,775,1928,897,421,656,1972,1251,425,732,2410,1818,361,949,3126,1500,198,877,2570,592,38,614,1245,66,3,237,301,6683,2349,6147,15181,0,52,1680,1733,56,425,1162,1650,893,1211,1546,3652,1669,817,1251,3736,2272,854,1570,4694,3433,734,2102,6263,3176,418,1888,5485,1466,106,1067,2644,184,8,364,562,13151,4620,12633,30407
SOSR331,7,112,12068,12189,225,1118,6849,8194,5206,3909,6879,15995,12410,3339,4931,20676,17450,3921,6751,28119,20592,3546,8227,32359,18303,1879,7141,27328,8512,533,3610,12658,1285,46,1031,2363,83983,18408,57487,159881,14,232,10895,11143,423,1628,5192,7245,7442,4476,5323,17240,14982,3779,4207,22966,19997,4137,5631,29764,21613,3349,6590,31552,16059,1363,6209,23635,5637,293,4119,10043,538,18,1560,2115,86698,19283,49726,155703,20,348,22959,23330,647,2750,12045,15436,12645,8385,12203,33234,27394,7118,9133,43645,37447,8058,12384,57885,42199,6899,14813,63910,34359,3248,13352,50959,14151,830,7730,22703,1821,70,2590,4473,170683,37688,107206,315580
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
SOSR401,13,211,33052,33279,646,3689,34317,38654,22667,18165,40748,81579,44872,10485,21338,76700,41622,7911,21725,71260,40280,5894,20309,66481,36466,3042,14178,53684,21218,915,7321,29455,5703,143,3844,9685,213484,50456,196837,460777,30,368,30825,31224,1552,5460,29888,36904,31283,19361,32866,83515,48140,10315,22161,80620,42114,7652,24958,74727,40073,5396,27339,72804,34236,2532,25049,61820,16270,604,19331,36205,2598,66,11371,14039,216296,51770,223792,491855,37,582,63880,64502,2197,9155,64202,75552,53952,37526,73619,165094,93016,20803,43499,157313,83740,15565,46682,145987,80351,11289,47652,139289,70706,5580,39226,115509,37488,1517,26652,65665,8305,211,15212,23724,429781,102225,420626,952632
SOSR412,0,28,2802,2827,54,467,2133,2652,1606,1611,2366,5585,2705,845,1467,5017,3042,718,1719,5481,3238,523,1687,5447,2963,204,1177,4337,1749,67,597,2418,411,15,336,762,15769,4481,14282,34531,0,62,2611,2676,124,693,1774,2591,2085,1661,2086,5833,3078,855,1705,5638,3225,718,2174,6118,3291,468,2122,5887,2704,168,1903,4773,1429,48,1710,3188,179,6,813,993,16120,4679,16892,37694,0,86,5413,5502,176,1160,3904,5243,3694,3270,4448,11416,5785,1701,3171,10656,6270,1434,3894,11599,6530,993,3811,11331,5667,366,3081,9110,3174,116,2308,5604,591,19,1149,1758,31890,9161,31180,72223
SOSR413,0,39,2333,2370,43,334,1601,1980,1027,1142,1867,4032,1991,762,1275,4022,2438,709,1570,4724,2876,543,1697,5109,3482,330,1347,5154,2482,102,769,3350,549,19,371,942,14882,3971,12824,31674,0,59,2134,2194,73,545,1367,1983,1428,1239,1741,4407,2314,783,1380,4483,2730,707,1794,5233,3058,510,2077,5639,3496,269,2136,5909,1850,67,1728,3648,271,15,990,1279,15233,4196,15342,34774,0,91,4468,4556,119,885,2960,3963,2459,2378,3608,8437,4308,1549,2657,8510,5168,1419,3365,9954,5932,1046,3767,10751,6979,599,3477,11059,4331,165,2496,6998,819,39,1361,2221,30117,8172,28166,66449
SOSR414,0,10,753,761,11,123,502,635,461,419,615,1493,798,242,406,1445,858,235,490,1581,1003,178,528,1709,1486,129,438,2051,1003,55,298,1353,212,6,133,348,5826,1397,4146,11374,0,15,689,708,28,180,436,635,592,465,486,1546,946,254,476,1674,928,216,599,1740,1110,181,684,1974,1492,136,807,2435,772,33,660,1465,106,3,329,436,5977,1477,5162,12610,0,29,1441,1470,35,299,933,1270,1053,883,1105,3037,1749,492,877,3114,1783,447,1092,3317,2109,361,1211,3677,2984,263,1243,4490,1774,92,957,2818,319,11,459,789,11805,2867,9312,23983
SOSR415,0,28,2794,2825,55,390,2004,2450,1544,1642,2255,5437,2949,993,1486,5437,3410,829,1871,6107,4088,767,2189,7046,4682,477,1776,6932,2820,138,984,3944,699,20,450,1164,20248,5276,15814,41341,6,67,2477,2549,118,619,1477,2215,2112,1748,1931,5790,3391,979,1590,5963,3701,884,2041,6631,4296,717,2284,7296,4481,361,2326,7169,2217,104,2194,4514,329,13,1194,1536,20650,5490,17512,43649,0,98,5274,5374,179,1008,3481,4665,3655,3390,4183,11231,6344,1973,3082,11396,7114,1709,3910,12736,8377,1479,4475,14335,9160,837,4106,14106,5036,240,3176,8454,1029,30,1647,2709,40897,10762,33331,84988
SOSR421,4,8,733,746,21,89,482,593,392,380,547,1315,783,243,363,1391,922,242,472,1633,1266,239,620,2125,1383,126,575,2088,716,42,295,1052,172,8,133,310,5667,1365,4224,11262,4,21,677,703,36,127,411,571,549,434,490,1478,922,275,349,1544,1022,237,509,1766,1359,222,616,2194,1274,106,672,2053,553,28,559,1129,77,8,302,380,5788,1446,4581,11820,6,29,1408,1445,60,213,891,1169,944,810,1039,2795,1707,519,715,2936,1944,477,978,3397,2623,463,1239,4321,2660,231,1248,4137,1267,70,851,2184,249,6,431,695,11460,2814,8800,23081
SOSR422,4,8,427,440,28,59,282,367,251,213,346,802,381,132,254,766,457,158,435,1045,744,158,524,1429,838,114,472,1424,460,27,209,701,90,0,78,173,3252,867,3026,7152,7,14,346,365,35,80,198,314,325,231,275,832,433,155,247,834,519,174,317,1012,841,162,432,1434,772,88,392,1254,337,22,307,666,41,0,139,182,3307,924,2655,6882,12,20,774,803,61,144,477,682,571,442,620,1641,813,288,497,1594,973,330,750,2057,1587,317,962,2866,1610,199,860,2676,802,46,514,1363,131,3,218,348,6560,1796,5680,14029
SOSR431,0,24,3973,4004,65,294,2499,2859,1748,1318,2292,5368,4156,1105,1487,6750,5906,1291,2243,9441,7119,1304,3022,11450,6386,666,2356,9408,2878,163,1068,4105,456,16,325,794,28720,6181,19272,54172,0,63,3460,3528,139,453,1779,2371,2374,1430,1568,5379,4991,1203,1096,7290,6489,1404,1548,9444,7358,1205,1953,10526,5724,501,1756,7976,1926,95,1226,3245,206,9,519,742,29218,6370,14917,50503,5,94,7438,7535,198,745,4281,5229,4128,2754,3864,10740,9147,2308,2582,14043,12397,2697,3791,18887,14483,2513,4976,21975,12111,1162,4111,17385,4800,252,2294,7349,664,23,844,1537,57938,12557,34188,104679
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,25,396,56259,56677,968,6160,50701,57828,35610,31339,59857,126810,79413,18712,32658,130776,74330,12468,29199,115989,65437,8545,25967,99948,55211,4190,19165,78560,29840,1282,10215,41338,7320,223,4500,12039,348143,83304,288524,719973,32,728,52884,53643,2325,9850,44987,57165,53421,35683,49466,138571,89261,18656,34012,141934,77572,12473,35656,125698,65301,7687,36569,109560,50258,3196,34087,87535,21779,833,24801,47413,3477,107,13544,17124,363434,89216,325998,778648,60,1123,109145,110322,3292,16014,95695,114996,89034,67021,109319,265379,168678,37366,66667,272710,151899,24941,64853,241689,130741,16235,62533,209507,105465,7385,53252,166100,51620,2116,35013,88751,10796,325,18046,29163,711576,172522,614517,1498619
SOSR511,4,26,2111,2147,49,363,1288,1694,1103,1107,1555,3768,2334,608,1139,4078,2421,465,1128,4018,2459,393,974,3824,2170,201,719,3093,1227,51,381,1658,269,7,178,457,12034,3222,9481,24736,0,50,2102,2155,92,524,1051,1673,1667,1215,1445,4332,2746,660,1334,4740,2721,526,1449,4699,2503,380,1388,4271,2004,139,1321,3467,904,36,986,1927,132,0,513,641,12768,3545,11591,27899,3,82,4214,4300,133,885,2339,3364,2772,2323,3006,8103,5080,1263,2471,8814,5148,992,2574,8720,4956,777,2366,8098,4178,346,2045,6568,2122,92,1366,3582,401,9,686,1096,24801,6764,21068,52637
SOSR512,0,55,3260,3320,57,598,2032,2690,1660,1750,2525,5934,3207,1138,1729,6079,3550,903,1869,6322,3700,713,1862,6279,3324,344,1390,5057,1943,90,722,2751,514,25,327,866,17969,5619,15708,39299,5,137,2969,3110,144,866,1593,2608,2334,1907,2158,6400,3823,1184,1901,6912,3990,998,2274,7262,3732,645,2341,6724,3106,262,2125,5490,1493,83,1657,3230,256,5,892,1155,18885,6091,17911,42881,6,197,6230,6437,205,1465,3625,5300,3995,3657,4682,12332,7036,2320,3632,12991,7545,1899,4141,13579,7435,1365,4207,12999,6429,604,3510,10544,3436,169,2373,5979,770,34,1211,2020,36859,11705,33616,82179
SOSR513,0,30,1639,1667,36,304,1005,1343,1140,1430,1527,4099,2407,1027,1063,4492,1951,652,1066,3670,1552,393,933,2877,896,114,472,1481,395,23,228,644,66,0,66,136,8436,3969,7995,20405,5,59,1428,1485,51,453,819,1324,1738,1682,1448,4869,2639,1026,1085,4754,1929,603,1018,3556,1414,310,912,2629,746,74,620,1452,271,22,391,680,34,0,146,182,8834,4225,7864,20928,3,84,3067,3149,88,756,1821,2666,2878,3112,2976,8963,5046,2048,2145,9245,3880,1257,2091,7227,2959,698,1845,5504,1649,186,1099,2934,668,39,614,1325,97,0,216,313,17272,8192,15864,41324
SOSR514,0,12,738,751,9,90,404,505,289,401,583,1268,774,320,405,1499,808,234,436,1474,787,157,425,1375,878,97,391,1365,479,19,152,650,91,0,70,161,4108,1324,3619,9042,0,15,628,647,19,137,268,424,460,473,484,1412,1000,357,518,1869,859,254,620,1732,837,151,555,1542,814,64,512,1387,342,13,348,704,41,0,190,228,4374,1456,4122,9953,0,29,1366,1395,31,225,670,929,746,870,1068,2686,1771,674,926,3370,1668,486,1049,3208,1626,304,978,2911,1692,158,904,2754,812,34,506,1349,126,0,267,391,8480,2779,7739,18998
SOSR515,0,45,2111,2164,52,392,1340,1788,1284,1433,1753,4466,2332,970,1230,4534,2457,775,1526,4746,2628,617,1531,4781,2467,310,1268,4041,1391,99,599,2087,319,14,240,569,12921,4654,11602,29181,4,78,1933,2015,113,590,1002,1703,1798,1656,1615,5067,2843,1019,1320,5179,2643,778,1543,4965,2781,566,1582,4927,2331,250,1524,4105,979,56,1080,2121,151,11,565,727,13636,5012,12162,30803,9,130,4044,4178,170,974,2342,3492,3080,3090,3361,9541,5173,1993,2552,9714,5098,1548,3065,9713,5407,1188,3116,9704,4793,565,2786,8144,2368,155,1684,4203,468,24,809,1293,26559,9666,23767,59986
SOSR521,5,26,805,834,36,139,531,707,426,478,659,1563,785,309,543,1643,900,290,717,1904,1104,327,826,2261,1141,163,684,1990,584,49,325,962,131,0,105,239,5118,1781,5202,12101,7,37,767,814,51,202,416,669,613,550,684,1843,972,364,620,1958,1003,353,714,2072,1175,275,792,2243,1062,119,685,1861,422,28,524,969,64,0,211,279,5368,1931,5413,12715,12,64,1568,1647,87,342,950,1378,1036,1025,1340,3403,1756,672,1168,3600,1904,644,1430,3980,2285,597,1620,4504,2206,274,1374,3857,1007,75,852,1931,198,3,318,517,10488,3708,10614,24812
SOSR522,7,16,497,519,42,101,308,450,261,311,439,1005,420,211,334,969,471,183,415,1070,581,144,488,1212,634,74,433,1141,353,26,189,572,84,5,52,141,2851,1071,3155,7082,18,22,460,497,51,141,307,498,355,327,406,1087,485,232,349,1068,508,177,369,1053,636,137,480,1254,570,55,379,1008,255,15,249,523,35,0,99,142,2918,1119,3095,7131,22,37,955,1015,92,240,619,954,617,636,841,2095,911,449,681,2033,978,362,789,2126,1219,279,966,2469,1201,133,808,2147,604,49,437,1094,118,10,148,278,5764,2192,6256,14211
SOSR531,10,46,3680,3730,64,292,2414,2779,1546,1294,2276,5116,4094,1209,1577,6883,5974,1357,2107,9444,7123,1269,2528,10923,6135,684,2219,9032,2691,159,974,3826,437,15,266,722,28078,6322,18046,52443,17,78,3293,3388,106,431,1702,2241,2313,1574,1672,5552,5243,1358,1267,7866,6767,1552,1616,9939,7488,1221,1878,10593,5386,442,1674,7498,1802,102,1165,3067,182,3,511,694,29292,6770,14782,50847,25,117,6972,7117,177,723,4114,5017,3858,2864,3946,10671,9333,2570,2845,14750,12746,2911,3725,19377,14609,2496,4408,21514,11515,1125,3896,16537,4491,260,2144,6891,616,22,773,1421,57375,13092,32829,103293
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,3,42,4842,4884,119,684,4688,5483,3983,3519,7992,15492,5919,2073,3263,11257,5547,1513,3055,10106,5591,1084,3078,9756,5565,583,2256,8411,3204,214,1222,4639,798,30,597,1420,30723,9738,30995,71457,3,76,4513,4589,284,1000,4095,5374,5048,3823,6726,15596,6207,2051,3916,12176,5768,1463,3999,11229,5749,988,4399,11141,5141,483,4334,9959,2468,121,3341,5933,388,13,1722,2129,31056,10017,37046,78121,7,115,9358,9477,401,1685,8777,10862,9031,7344,14718,31087,12123,4122,7181,23429,11313,2970,7049,21340,11342,2073,7482,20889,10711,1072,6591,18374,5672,338,4568,10567,1187,44,2318,3546,61781,19751,68039,149573
SOSR611,0,23,2088,2114,58,391,1911,2355,1527,1282,2829,5636,2280,748,1278,4304,2335,586,1343,4268,2348,395,1305,4055,2242,203,960,3408,1411,53,585,2047,313,12,265,591,12512,3697,12570,28773,0,50,2046,2102,126,550,1610,2287,1952,1361,2210,5526,2385,720,1582,4688,2509,535,1844,4886,2392,353,1824,4568,2060,146,1883,4095,1051,37,1475,2568,167,3,752,922,12642,3768,15221,31631,0,74,4139,4207,180,938,3517,4641,3476,2650,5039,11164,4661,1466,2863,8991,4845,1123,3186,9151,4745,754,3132,8621,4303,352,2844,7498,2466,90,2068,4617,481,13,1019,1507,25148,7460,27789,60402
SOSR612,0,13,1171,1187,42,220,860,1126,681,706,1175,2570,970,404,709,2087,1164,353,860,2381,1390,247,824,2466,1367,131,673,2181,958,41,387,1380,212,3,153,369,6786,2128,6817,15734,0,22,1109,1133,79,334,760,1172,852,761,1127,2742,1168,367,921,2458,1237,392,1048,2676,1437,223,1196,2859,1383,106,1106,2590,682,19,838,1538,100,3,459,557,6938,2217,8567,17720,0,35,2282,2318,118,557,1620,2296,1533,1468,2306,5310,2142,770,1632,4543,2401,744,1906,5060,2828,473,2025,5326,2748,237,1784,4766,1642,56,1223,2916,310,3,612,926,13720,4349,15387,33454
SOSR613,0,3,317,321,12,48,223,283,138,152,247,543,262,91,174,529,332,88,199,622,476,83,213,770,515,33,184,735,345,16,130,494,100,7,54,154,2180,520,1742,4440,0,4,325,324,13,66,200,286,209,171,225,605,306,84,210,601,383,104,275,760,513,75,335,927,511,26,352,883,261,12,331,601,43,0,154,198,2233,540,2405,5183,0,5,641,644,28,115,421,562,351,325,471,1150,568,174,392,1130,715,186,478,1379,992,163,549,1701,1022,63,532,1619,602,29,462,1097,137,4,205,352,4412,1065,4146,9623
SOSR614,0,7,398,398,9,78,300,381,201,293,334,835,384,207,227,813,352,137,317,806,597,137,371,1106,614,61,250,924,321,20,146,489,62,3,48,111,2549,941,2383,5866,0,6,390,397,26,110,233,369,256,311,348,926,417,204,296,916,455,149,366,966,599,102,410,1113,542,59,415,1017,253,18,329,604,30,0,139,168,2573,959,2938,6466,0,10,785,798,29,185,530,749,468,603,688,1758,794,406,519,1725,801,284,687,1771,1202,237,787,2220,1157,123,662,1937,576,40,469,1089,92,4,191,283,5116,1903,5313,12335
