SOSR_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
SOSR101,333675,659520,216852,195873,301198,167623,120698,141898,42675,2180010
SOSR102,55774,110340,68805,63532,62209,41952,28292,42981,7651,481533
SOSR111,9398,16529,13306,12510,11022,8650,6723,9647,1469,89264
SOSR112,24777,46197,32808,33569,26754,21498,14284,26946,3945,230780
SOSR113,9997,15859,14953,14059,10433,9219,7799,10979,1752,95045
SOSR114,12755,19151,16811,14969,12611,10114,8101,13918,1914,110339
SOSR115,17933,26563,24458,21432,17094,12585,12170,18264,2850,153340
SOSR121,5206,7725,6894,5611,4946,3490,3238,4690,857,42648
SOSR122,2938,3608,3288,2919,2499,1603,1685,2700,439,21669
SOSR131,63209,44827,38120,26010,31260,18008,19138,28638,5560,274771
SOSR179,0,0,0,0,0,0,27,0,0,35
SOSR201,314841,625801,267977,237046,292191,188698,128873,175925,45039,2276394
SOSR203,19723,41968,25116,25412,21160,16914,10660,19210,2959,183117
SOSR211,4258,7044,7378,6978,6229,4465,5941,5710,1060,49077
SOSR212,14920,25762,17860,15782,15069,11510,7234,13583,2212,123925
SOSR213,11774,19727,17048,15332,12750,10188,7673,13838,2007,110334
SOSR214,6912,10146,9455,8353,6689,5597,3779,7937,1210,60077
SOSR215,12230,16536,16078,12448,10768,8135,6968,11877,1929,96962
SOSR221,3609,4634,4343,3278,2981,2205,1828,3166,505,26550
SOSR222,2432,2801,2512,2357,1630,1314,1338,2065,337,16800
SOSR231,49404,33108,30567,20187,21747,13850,13136,23287,4333,209629
SOSR279,11,33,36,22,4,0,29,33,5,170
SOSR301,142254,290187,135313,132421,154731,93835,69448,98879,20246,1137316
SOSR302,55512,90196,60242,56637,53655,44626,20356,39278,8376,428878
SOSR303,21381,43353,29123,32408,25276,18860,12518,20544,3443,206917
SOSR311,9696,18853,17445,15393,12728,10485,8958,13129,2038,108728
SOSR312,3402,5972,6626,5309,4409,3721,3317,5046,800,38599
SOSR313,7511,12009,12062,9306,8505,6962,7321,8869,1297,73847
SOSR314,8010,10969,12552,8819,8634,6176,7617,11039,1650,75466
SOSR315,10896,15406,18032,13856,12067,8838,11130,14795,2310,107323
SOSR321,4354,5919,6280,5032,4525,3226,3814,5165,891,39207
SOSR322,2200,2473,2751,2198,1878,1270,2021,2634,482,17909
SOSR331,42024,29879,32795,19909,23851,13741,19646,27227,4704,213770
SOSR379,5,33,9,3,3,0,21,37,0,99
SOSR401,70217,142156,74978,79397,79155,51005,32489,55680,10293,595366
SOSR412,4825,7583,6994,6279,5249,4523,3914,5095,797,45260
SOSR413,4276,7144,4901,5548,3816,3566,2215,4905,606,36978
SOSR414,1535,1986,2024,1762,1440,1270,815,2134,222,13186
SOSR415,6557,7599,7768,6484,5518,4337,3879,7316,978,50434
SOSR421,1982,1950,2198,1720,1497,1117,1145,1997,280,13887
SOSR422,1065,1016,1150,984,761,535,665,1227,152,7544
SOSR431,18622,10563,10210,6830,7313,4533,5309,9569,1489,74441
SOSR479,0,3,3,0,0,0,4,9,0,22
SOSR501,118609,240888,143197,122436,126522,81117,66162,86429,16577,1001946
SOSR511,2929,5700,6225,4174,3907,3111,3319,4319,543,34235
SOSR512,5578,9198,9942,7122,6098,5045,5488,6429,854,55766
SOSR513,4351,6230,7457,3856,4309,2423,3721,3699,853,36899
SOSR514,1401,1906,2284,1573,1162,1132,956,1749,205,12359
SOSR515,4612,6328,8044,5033,4496,3011,5022,5720,912,43179
SOSR521,1935,2220,2813,1834,1603,982,2170,2227,365,16141
SOSR522,1319,1352,1436,1059,859,473,1117,1201,226,9040
SOSR531,20193,13557,18371,7209,8771,4373,13098,11183,1679,98440
SOSR579,96,324,627,58,45,6,172,344,23,1697
SOSR603,11492,23943,11700,13591,12252,8036,4018,8453,1661,95146
SOSR611,4150,7916,4834,5502,4363,3751,2484,4244,641,37880
SOSR612,1711,2858,2716,2887,2048,2020,1494,2695,320,18748
SOSR613,509,800,756,769,548,492,406,677,102,5051
SOSR614,678,917,1197,1078,802,617,541,846,137,6819
SOSR615,2982,4003,4172,3691,3097,2479,2298,3504,524,26762
SOSR621,1237,1686,1496,1163,1055,771,716,1334,204,9654
SOSR622,476,595,627,447,396,284,338,495,85,3748
SOSR631,9137,8319,7870,5451,5218,3379,3799,6179,1039,50394
SOSR679,14,78,74,21,9,0,18,58,0,277
SOSR703,8952,15965,9202,10468,9567,4831,3383,5147,1277,68792
SOSR712,1696,3585,1704,2358,1726,837,499,951,363,13722
SOSR714,365,681,437,567,384,173,129,251,93,3072
SOSR715,537,1287,603,878,527,243,249,389,172,4882
SOSR721,598,1029,578,851,437,195,263,392,90,4431
SOSR722,455,830,319,620,307,182,158,395,93,3360
SOSR731,2839,3060,3113,1943,2171,836,1470,2178,377,17978
SOSR779,12,85,63,17,0,0,8,86,4,282
SOSR802,44105,77875,23832,27095,36004,15213,6000,12372,5249,247742
SOSR822,62,104,37,31,46,18,14,18,10,332
SOSR831,142,60,50,37,33,15,0,29,5,378
SOSR879,0,0,0,0,0,0,0,0,0,0
SOSR915,103,127,137,146,87,13,71,84,14,777
SOSR921,157,119,171,146,132,101,39,99,19,979
SOSR922,172,101,53,61,28,10,13,43,3,497
SOSR931,63,51,59,48,50,20,18,41,9,361
SOSR979,0,0,0,0,0,0,0,0,0,0
