SOSR_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
SOSR179,0,0,4,19,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,26,0,32
SOSR201,72879,138776,106196,699094,7793,1024723,1142,2146,1201,22796,386,27678,377568,5571,10921,8877,1999,404932,25292,3850,2082,7983,257,39454,27858,9803,6134,20883,264,64935,264749,114334,84992,654318,8684,1127079,68213,1662,6484,1370,230,77961,15410,2367,1747,7123,131,26778,40415,12452,8764,64255,828,126717,98350,15786,8334,43518,1018,167009,11254,2283,1337,4194,134,19203,241111,4380,3144,2354,493,251478,63147,29112,20091,256022,1949,370326,143028,34287,16337,109382,1768,304799,18105,214,751,224,51,19344,29897,6772,3163,6241,230,46302,30030,4087,2323,7775,248,44461,30185,7184,4261,19281,343,61257,15183,2122,1594,1049,148,20098,17049,5654,4202,2298,145,29344,29036,5017,3870,10833,251,49010,17516,1549,1667,2748,132,23615,17007,1432,657,271,205,19571,62020,27984,21352,202028,1558,314939,19732,2029,1278,2309,199,25537,15693,2595,2097,920,71,21368,17775,1430,1227,2887,118,23432,40167,2749,1936,2124,157,47121,108334,1863,3579,1756,524,116050,8089,2350,1684,8811,65,21010,727380,48363,40481,55499,4944,876664,39582,2399,1876,12139,186658,242647,2325651,294623,216830,1508381,215579,4561062
SOSR203,2209,11932,8524,119252,1535,143451,55,259,148,6059,106,6628,5168,211,330,1329,34,7071,2624,436,232,1117,36,4452,3100,1387,854,3746,45,9129,15765,10982,7869,115811,1568,151996,2980,108,544,125,33,3795,520,161,107,898,9,1689,2794,1241,798,11941,128,16894,1088,335,133,1085,18,2656,596,165,84,365,8,1224,6941,225,110,176,18,7474,3873,2839,1857,43015,358,51936,3843,1472,587,8366,85,14352,356,12,33,16,0,430,202,87,35,171,7,500,1086,168,89,367,13,1725,588,279,142,934,17,1964,502,197,119,161,6,991,784,516,374,317,11,2006,1378,365,227,1028,18,3021,552,89,89,230,8,970,148,60,24,16,0,245,4482,3106,2189,34818,287,44879,1050,145,68,205,18,1482,644,165,106,119,14,1040,749,123,121,365,8,1368,674,95,61,91,7,921,957,40,80,26,0,1104,609,306,189,1251,19,2373,22279,2570,1998,5083,250,32188,1003,135,122,2741,17151,21154,74955,22986,16029,249416,20910,384300
SOSR211,1876,3455,2369,27312,347,35352,40,115,64,2365,22,2603,1286,46,68,167,8,1587,602,95,75,202,10,980,583,233,137,540,6,1494,5184,2779,2092,23252,327,33636,2677,56,257,40,11,3038,176,34,14,164,9,391,1076,372,267,2821,45,4583,427,151,81,380,12,1049,197,41,17,99,4,366,5473,100,43,42,15,5672,920,570,355,6739,54,8648,1158,525,257,2073,28,4043,113,0,3,0,0,124,240,49,16,85,0,393,407,80,37,122,6,648,1563,443,285,1347,35,3676,608,70,96,46,4,823,431,146,128,106,4,812,454,95,60,331,9,951,94,15,9,54,0,179,1573,79,40,12,8,1715,1272,603,491,5607,42,8016,549,78,34,95,5,764,147,34,23,19,9,219,386,33,20,88,7,530,418,29,8,23,0,476,906,25,63,25,4,1025,164,51,21,207,0,446,17414,956,679,1267,123,20441,940,54,44,582,6318,7943,42000,6629,4734,52946,7247,113556
SOSR212,1958,8372,6012,79997,1040,97378,50,287,122,6174,128,6764,3030,137,191,506,23,3881,679,187,90,440,11,1400,1830,789,500,1987,29,5131,12229,7328,5402,75377,1060,101392,2097,85,370,82,18,2649,373,83,72,551,0,1086,1931,743,576,7409,83,10738,1037,297,101,981,13,2433,335,90,55,243,9,731,3961,142,75,113,5,4297,2838,1845,1156,27266,235,33332,4463,1464,659,7262,86,13931,187,12,24,6,0,227,148,46,10,143,0,346,319,63,26,184,5,597,1252,465,285,1436,12,3451,544,145,127,104,5,931,686,387,282,204,9,1573,770,234,123,713,11,1860,193,56,39,108,4,393,467,77,25,14,5,595,3373,1911,1400,21583,183,28447,278,50,23,90,3,439,540,103,74,44,5,760,416,81,41,238,0,787,429,55,38,71,8,598,770,20,48,15,10,864,408,128,120,679,11,1345,16368,1889,1349,3390,196,23197,822,150,95,1833,13491,16392,53919,15972,11173,166438,16065,263572
SOSR213,1530,8182,5702,80995,1249,97661,27,187,116,4777,87,5195,1920,78,160,486,17,2656,653,148,46,336,14,1198,2359,852,510,2208,45,5966,12390,7462,5358,75180,1324,101707,2043,74,340,88,32,2573,343,82,58,525,8,1018,2059,788,570,8073,100,11594,712,241,113,650,14,1726,422,104,37,209,5,774,2577,133,51,105,7,2866,2652,1721,1035,23586,279,29268,3389,1162,450,5616,93,10714,86,0,13,12,0,111,140,51,20,114,0,320,201,67,19,148,0,438,1195,341,155,1063,15,2768,396,139,69,99,10,707,552,345,256,207,10,1361,915,211,99,605,7,1834,276,46,35,163,7,525,235,39,16,25,0,318,3396,2003,1411,20855,224,27884,329,53,34,112,0,528,480,91,44,48,3,664,360,59,38,198,9,668,356,81,42,44,0,523,543,12,38,13,6,612,478,179,98,704,5,1469,9985,1562,1113,2931,149,15732,671,128,118,2154,12199,15265,43936,15271,10402,162945,15164,247723
SOSR214,950,4599,3252,47221,859,56877,11,97,53,2336,36,2538,1103,41,72,258,17,1485,321,90,38,175,6,627,1366,449,273,1007,23,3106,7946,4329,3169,43991,950,60384,945,21,136,34,13,1146,213,41,39,306,11,607,1248,476,355,4311,87,6469,581,111,65,298,9,1060,220,59,22,103,4,407,1399,59,38,46,12,1547,1705,957,668,14614,211,18153,2120,670,248,3226,68,6337,51,0,8,0,0,64,81,24,13,53,3,171,124,31,21,82,7,266,632,189,75,471,7,1385,289,75,46,73,12,489,347,219,105,118,4,798,443,94,51,290,6,884,122,27,23,80,4,248,86,16,16,6,3,131,2094,1143,844,12847,195,17124,139,29,20,29,0,214,183,44,29,35,8,293,166,27,28,119,4,350,121,22,17,24,0,180,168,13,21,15,0,212,272,86,42,419,3,831,4711,775,623,1678,86,7877,277,81,42,1212,7481,9093,24825,8579,6003,95150,9551,144113
SOSR215,1241,7808,5499,75606,1314,91476,20,168,88,3545,83,3903,1061,66,92,419,21,1664,419,117,57,207,8,815,2248,772,533,1916,59,5525,12717,7264,5302,67532,1331,94144,1057,23,250,63,19,1421,393,94,73,468,8,1033,2079,793,502,6398,104,9878,562,172,76,518,15,1339,325,81,38,140,10,597,1111,107,52,66,0,1344,2648,1745,1131,22714,328,28571,2533,912,412,4282,84,8223,55,0,5,3,0,66,79,39,16,85,0,220,155,46,18,96,0,319,642,255,166,767,15,1843,350,89,94,100,9,641,577,319,220,166,11,1292,692,186,96,451,11,1445,197,39,38,107,3,383,131,38,23,19,0,206,3252,1921,1353,19167,256,25953,164,35,13,57,3,274,288,80,53,54,7,472,206,49,29,187,0,472,189,46,30,48,0,307,392,14,42,11,4,474,524,149,95,617,8,1389,6935,1398,1073,2561,136,12102,453,130,89,1856,12232,14761,34956,14373,10104,148114,15303,222857
SOSR221,327,2106,1437,20639,347,24853,9,32,23,864,16,949,219,17,32,147,7,415,136,34,6,109,0,283,616,225,142,517,9,1511,3669,1976,1423,18708,399,26179,225,14,54,8,3,306,92,33,10,128,8,269,589,214,126,1797,30,2757,157,53,24,119,4,355,99,24,0,41,0,165,268,25,10,19,0,324,776,456,306,6403,79,8026,552,227,75,1145,18,2026,6,0,0,0,0,14,17,5,5,26,0,44,47,13,5,25,0,85,273,91,43,226,9,643,105,36,17,6,0,166,148,68,52,33,5,315,187,48,38,112,0,388,50,17,7,18,0,104,29,9,0,0,0,41,894,543,352,5617,79,7484,47,9,0,15,0,75,106,19,15,15,0,153,68,10,13,58,0,146,31,10,14,16,0,75,57,0,8,8,0,68,138,31,32,172,0,383,1598,346,293,734,34,3002,101,27,33,510,3329,4004,9310,3882,2664,41015,4154,61028
SOSR222,168,1188,923,12274,226,14777,8,21,15,556,13,617,227,3,23,82,0,334,57,22,14,51,0,138,342,135,84,312,0,867,1976,1148,892,10821,225,15065,204,0,29,13,9,259,80,12,38,68,0,197,357,122,93,1139,20,1735,95,35,11,80,3,222,50,14,13,20,0,101,80,20,9,18,0,133,425,279,218,3712,68,4702,370,131,80,664,15,1260,14,0,0,0,0,17,19,11,7,16,0,52,27,4,4,19,0,52,81,39,21,77,0,219,50,13,7,21,4,93,84,43,25,21,0,174,120,26,20,78,0,255,25,12,9,22,0,63,3,0,0,0,0,8,509,325,190,3254,49,4323,33,5,9,5,0,53,49,10,8,4,0,76,62,11,7,37,0,113,16,14,10,12,0,42,24,0,3,0,0,32,69,15,24,91,0,208,933,236,154,438,28,1796,48,20,4,360,2939,3371,5238,2236,1662,24029,3461,36628
SOSR231,2101,12863,9895,144844,1914,171624,43,206,133,5042,80,5502,1881,115,199,797,32,3027,1023,205,92,464,20,1803,4503,1592,1009,3394,86,10577,21186,11972,9286,127012,2166,171628,1500,22,366,71,20,1983,667,121,128,937,16,1875,4091,1326,1048,13039,209,19714,1485,368,147,1013,27,3036,617,167,87,253,10,1131,1098,106,88,128,5,1428,4447,2840,1990,43376,594,53251,6121,1949,777,8770,161,17770,91,5,15,6,0,119,358,125,73,148,4,708,471,84,26,196,15,792,1898,516,311,1323,27,4072,542,136,114,112,8,916,1150,497,428,283,24,2382,1285,315,210,739,22,2568,449,68,51,203,8,781,200,24,11,10,0,243,5468,3112,2522,38777,454,50326,466,76,35,110,3,693,623,114,120,77,4,930,447,68,58,328,12,902,250,83,46,70,5,458,452,33,62,17,14,576,768,221,153,1166,22,2329,10484,2205,1784,4647,227,19346,654,197,167,3505,31274,35793,61740,24261,18083,284453,36043,424590
SOSR279,0,11,6,44,0,60,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,13,18,9,8,42,0,72,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,7,0,4,9,0,15,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,23,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,8,0,0,5,0,14,0,0,0,0,385,385,52,9,17,98,387,565
SOSR301,24830,90209,72498,510122,5458,703120,785,4331,2559,53090,805,61567,101587,2490,4743,6000,560,115385,4580,1047,581,2022,38,8273,16159,5729,3600,10919,168,36578,194145,79010,59289,474939,5771,813153,31059,1056,5309,1257,179,38856,8142,1525,1095,4488,79,15332,24283,9013,6452,83711,697,124160,6965,2717,1302,8014,92,19088,4066,917,506,1471,34,6999,62586,1891,1349,1411,171,67405,43704,18889,13137,176101,1242,253077,20988,7999,3935,31412,332,64662,15979,129,704,151,37,17001,2382,852,412,2026,19,5692,1213,225,157,327,16,1932,2138,1105,649,3615,37,7543,27278,3810,2823,1577,242,35720,18344,6480,4778,2379,211,32189,8452,1830,1446,5232,88,17041,5794,752,772,2151,77,9544,24503,2292,1141,449,268,28651,50160,19732,14641,141653,1074,227250,4604,559,348,667,42,6211,14086,1858,1456,570,67,18042,9301,923,720,2022,64,13034,5308,428,341,429,22,6539,25388,719,1179,670,122,28079,6564,1727,1139,6763,61,16250,225651,22235,21438,35717,2193,307233,13175,1274,1165,9838,96350,121806,808455,167706,131345,1056689,112310,2276503
SOSR302,8548,36822,30613,206327,2342,284653,278,1316,859,15840,176,18469,19934,628,1095,2019,156,23828,2630,500,262,880,37,4307,7842,2124,1437,4058,70,15534,109094,32635,26285,203601,2828,374450,7865,341,1599,362,73,10235,4342,637,513,2029,48,7561,12461,3317,2622,27582,308,46291,2690,966,522,2490,41,6712,2291,381,187,570,26,3445,10396,493,281,379,26,11572,21585,6760,4880,66247,586,100058,11065,3139,1562,11347,176,27290,4839,31,228,60,11,5167,963,296,139,795,9,2209,614,113,74,185,4,991,1683,625,391,1721,32,4452,12209,1751,1031,621,98,15707,10124,3085,2163,938,90,16399,4035,620,534,1724,25,6936,2688,252,299,639,24,3910,2501,429,170,98,26,3226,26736,7652,5996,55504,508,96399,1829,216,125,282,25,2477,6658,787,619,249,30,8341,3967,345,317,916,27,5573,805,129,84,141,5,1162,2090,62,214,74,16,2458,3592,685,462,2217,31,6986,64100,8491,8559,11884,616,93643,4193,652,575,4543,47810,57770,289654,67304,54638,432450,54475,898519
SOSR303,3289,13645,12415,118154,1360,148861,134,1366,732,25930,405,28558,5164,282,441,1612,44,7535,493,171,60,490,5,1220,2775,863,620,2007,28,6287,26715,12408,10137,109240,1256,159754,5722,191,1104,339,48,7406,1316,204,184,964,10,2678,4521,1695,1334,20552,186,28294,715,306,154,1250,8,2435,514,150,65,249,9,976,5594,188,137,220,14,6153,5575,2903,2178,39089,291,50038,3706,1893,898,10874,96,17471,1590,16,94,12,0,1716,138,48,39,283,0,510,49,10,11,44,0,111,373,216,124,797,9,1512,1690,474,411,312,18,2908,1869,917,680,547,31,4037,1061,231,169,793,15,2263,452,102,107,305,4,964,682,169,75,101,17,1039,7085,3192,2482,31484,238,44484,217,52,23,82,0,370,1313,174,157,81,3,1731,1181,164,89,648,11,2092,604,70,33,71,0,779,970,37,78,38,9,1125,953,288,197,1301,11,2751,32625,4161,4474,16450,662,58377,1355,195,202,2432,32053,36232,96969,26898,22593,258417,35780,440651
SOSR311,1422,7361,5970,82184,1120,98063,44,523,314,13252,193,14329,2072,92,179,810,20,3179,192,48,24,134,5,399,1602,491,310,1140,21,3563,14827,6752,5223,76627,1095,104520,3632,91,619,156,20,4523,500,93,51,474,4,1117,2082,901,627,13904,123,17631,187,110,23,397,6,718,264,56,17,124,7,459,2217,97,38,127,7,2488,2696,1356,901,21680,204,26840,1291,660,216,3814,44,6021,351,11,34,12,0,401,57,20,13,107,4,201,26,12,0,14,0,49,655,308,147,1396,18,2526,1013,269,211,225,13,1722,906,475,324,338,13,2061,435,101,58,367,12,966,240,56,47,248,4,593,227,51,17,35,10,335,3738,1687,1267,19668,161,26520,106,22,13,42,0,184,1042,105,92,45,11,1286,454,51,40,240,5,789,236,18,14,37,0,309,579,8,23,15,0,630,485,145,98,679,5,1417,9128,1523,1287,7500,201,19639,686,117,103,2256,14913,18076,42774,13680,10568,170277,17543,254841
SOSR312,598,3300,2624,31103,483,38104,17,214,124,4444,64,4860,483,49,42,301,6,875,117,26,15,53,0,211,728,196,141,481,15,1551,7672,3101,2407,28972,615,42772,1257,34,199,52,11,1543,220,44,21,197,6,487,937,406,266,5432,72,7117,100,57,14,194,13,374,143,32,12,59,9,253,671,23,20,45,0,760,1506,633,384,8425,102,11054,464,228,72,1113,16,1896,50,3,18,4,0,73,16,5,3,38,0,67,9,5,0,4,0,19,99,42,9,130,0,278,552,122,72,75,3,826,569,204,157,101,9,1035,258,43,40,191,6,524,114,31,11,91,4,253,135,20,16,8,0,178,1951,797,546,7478,80,10853,49,11,3,8,0,76,414,50,45,8,0,513,181,19,11,86,4,293,67,4,0,12,0,94,69,0,19,3,0,97,241,67,40,287,3,636,3164,639,508,1980,60,6352,283,58,52,761,4981,6140,18029,6065,4552,63365,6219,98233
SOSR313,903,5071,4326,54381,563,65255,35,406,239,10737,171,11589,905,58,93,542,10,1605,135,56,23,102,0,323,1094,306,215,765,7,2395,9758,4733,3668,47940,621,66722,2026,51,376,121,18,2596,369,48,42,318,3,785,1390,604,437,9505,72,12014,126,75,31,275,4,503,171,47,31,100,3,345,956,50,35,78,6,1124,1988,937,708,14760,107,18494,684,326,143,2011,22,3187,154,4,24,4,0,191,39,19,12,87,0,155,18,8,0,13,0,39,133,83,39,263,4,515,1345,271,197,146,15,1978,922,436,352,270,6,1987,287,77,58,314,5,741,141,32,26,114,6,311,496,65,30,26,7,627,2556,1153,822,12539,107,17180,66,20,4,28,4,125,723,84,73,40,9,928,335,39,25,178,0,579,87,19,8,21,0,130,206,11,24,6,0,243,284,112,65,443,10,909,5998,1057,865,3104,92,11119,453,106,65,1308,10865,12800,27081,9507,7494,110308,12312,166708
SOSR314,1042,5415,4388,52104,618,63570,50,415,260,10771,169,11672,1410,49,116,523,13,2106,223,55,14,111,4,409,1071,363,235,696,15,2387,11388,5081,3764,45295,723,66237,1499,26,305,79,16,1930,455,59,77,341,4,941,1495,617,460,8221,64,10861,224,94,34,309,7,668,197,57,37,82,3,366,1225,71,36,67,7,1405,2329,979,689,13688,144,17838,1975,688,253,3673,65,6656,237,7,14,3,0,258,28,8,3,58,0,96,19,7,4,14,0,42,167,95,45,333,3,640,969,210,165,139,14,1495,890,395,289,187,18,1771,299,98,68,276,6,742,190,33,19,126,0,370,205,67,21,21,0,323,2906,1138,878,12007,121,17046,73,17,4,19,0,117,711,74,82,40,0,909,380,72,27,209,7,696,99,12,18,22,0,150,229,8,17,9,0,271,351,97,66,432,10,950,7252,1092,977,4104,145,13579,530,94,96,1363,14493,16576,31806,10139,7782,106162,16183,172075
SOSR315,1310,7981,6407,81146,1323,98160,62,549,324,21530,332,22790,955,87,106,778,16,1948,226,67,23,156,4,476,1876,504,326,1066,31,3799,17500,7316,5811,70757,1331,102710,2372,77,478,179,44,3148,690,98,92,534,4,1420,2411,903,683,13940,173,18112,205,105,49,347,4,703,320,68,30,142,5,566,799,69,46,124,9,1041,3463,1460,1110,21425,258,27717,2156,830,337,4258,58,7634,249,0,25,5,0,278,54,20,8,81,0,158,26,10,3,26,0,64,326,161,68,588,10,1153,1231,250,198,171,26,1879,1316,575,398,275,18,2583,512,131,77,445,6,1174,246,42,47,177,9,519,250,41,28,40,4,363,4563,1721,1381,18595,184,26439,122,21,17,50,6,216,667,105,83,48,8,907,561,69,37,268,11,943,78,21,20,18,0,135,330,10,25,11,3,375,568,156,100,709,11,1549,7372,1485,1358,8237,325,18783,537,117,112,2194,23751,26707,41500,14622,11432,172852,27065,267475
SOSR321,501,2973,2349,30564,504,36891,16,242,116,9675,185,10237,276,34,38,262,6,615,87,28,9,55,3,176,747,194,121,340,6,1406,6967,2865,2136,27127,517,39610,596,14,124,56,5,795,233,42,34,181,0,491,991,370,258,5143,60,6818,64,35,9,159,8,275,92,32,16,33,0,170,245,33,18,46,0,339,1281,560,419,8384,115,10757,571,292,107,1423,17,2412,50,0,4,3,0,56,22,20,8,44,0,83,16,3,5,5,0,29,147,63,22,232,6,468,281,77,58,56,5,479,452,180,158,80,7,875,187,57,29,181,7,453,89,13,12,68,0,184,55,8,8,20,0,90,1755,753,498,7113,101,10224,35,3,11,9,0,56,322,37,18,22,0,400,132,11,14,96,0,264,31,4,10,21,0,71,52,0,6,0,3,61,188,49,50,252,5,540,2612,587,457,3298,100,7054,189,68,52,787,7807,8900,15027,5633,4187,66922,9101,100874
SOSR322,220,1198,876,14214,230,16742,8,113,58,4656,123,4963,85,9,18,158,0,274,45,8,3,36,0,85,332,91,51,148,0,622,2691,1109,822,12511,275,17405,176,3,37,25,5,252,107,13,4,98,6,234,473,157,122,2358,30,3147,32,21,0,64,0,121,45,15,3,25,4,88,72,6,0,21,0,113,547,236,196,3891,42,4910,403,179,71,803,29,1481,13,0,6,0,0,19,5,0,4,11,0,17,8,0,0,0,0,6,70,12,12,131,0,231,111,15,24,21,0,183,180,68,42,38,7,337,96,31,8,68,0,203,36,4,0,27,3,78,13,4,0,11,0,30,675,281,209,3338,35,4531,15,0,4,7,0,36,95,11,9,7,0,120,61,11,5,29,0,108,5,0,0,5,0,14,11,0,0,0,0,12,71,24,13,101,0,202,1087,287,259,4468,136,6238,87,20,14,366,3782,4262,6123,2348,1694,33238,4489,47889
SOSR331,2336,13550,11401,153550,1966,182814,79,644,379,15824,262,17188,1534,161,217,1194,25,3128,470,149,53,329,12,1013,3605,1140,702,1981,56,7487,30215,12711,10341,133607,2159,189034,1837,47,511,140,39,2565,1100,183,151,860,19,2311,4730,1745,1388,28519,288,36676,380,213,78,672,3,1342,486,133,42,177,3,841,968,106,100,173,8,1360,5724,2733,2071,41097,448,52069,3603,1720,739,8565,135,14764,167,9,24,22,0,220,98,41,23,149,7,315,42,16,4,25,0,87,827,347,204,1592,19,2983,1310,308,209,238,21,2077,2109,820,696,420,37,4081,938,215,164,752,17,2089,415,103,82,339,17,956,274,60,41,24,0,402,7380,3250,2476,37051,410,50571,190,46,13,61,0,308,1621,199,169,83,11,2082,642,112,83,500,12,1361,121,25,36,49,0,228,515,15,54,12,3,598,1019,266,191,1267,29,2774,11987,2419,2291,7737,299,24729,760,231,202,3804,46280,51280,67725,25537,20298,306952,51117,471627
SOSR379,0,8,0,35,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,14,4,0,32,0,56,16,0,0,0,0,16,0,0,0,0,0,0,5,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,17,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,220,220,45,10,7,74,218,354
