SOSR_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
SOSR101,17461,3320,4916,62,28,25787,3955,769,1096,10,0,5837,3428,689,1059,9,4,5185,5447,1094,1904,15,5,8463,7602,1498,2704,27,7,11835,22843,4662,9113,61,27,36706,27433,6257,13249,81,42,47067,56445,12430,27159,166,104,96298,48678,9092,18260,96,114,76239,61732,11334,16403,104,101,89666,74276,14466,12238,130,90,101201,24927,4308,6563,60,47,35906,354230,69919,114673,820,564,540201
SOSR102,4959,538,324,11,5,5835,1845,240,139,0,0,2229,1566,245,137,10,0,1962,2830,374,231,12,0,3447,3947,476,418,14,3,4860,11992,1445,1211,31,7,14691,16688,2293,1347,23,14,20363,28887,2572,1463,38,24,32989,17301,1028,542,19,9,18900,12982,660,410,13,4,14070,7656,374,305,8,12,8354,6448,607,382,13,5,7459,117097,10853,6907,207,84,135152
SOSR111,906,60,18,0,0,988,387,50,10,0,0,447,369,65,11,0,0,437,705,81,15,4,0,809,1120,131,39,0,0,1288,3920,281,108,4,0,4313,4890,257,62,0,0,5214,5665,168,56,4,3,5894,2168,38,6,0,0,2216,1321,30,15,0,0,1362,656,22,5,0,0,684,1188,57,24,3,0,1275,23285,1240,370,22,17,24927
SOSR112,2288,144,70,6,8,2513,1043,91,40,5,0,1174,992,94,37,0,0,1119,2030,150,68,10,0,2251,3269,201,106,0,3,3577,10506,547,257,7,6,11331,12167,434,144,8,8,12763,12391,253,86,6,6,12746,4683,71,32,3,0,4786,3209,52,30,4,4,3300,1853,37,26,4,3,1924,2978,122,54,10,9,3164,57409,2179,949,61,58,60661
SOSR113,1159,106,35,0,5,1309,641,40,27,0,0,704,617,59,12,0,0,690,1204,86,25,3,0,1321,1539,128,32,7,5,1705,4387,298,84,14,0,4784,4385,299,72,13,0,4768,4357,301,78,4,3,4748,1837,134,26,5,5,1998,1344,92,34,3,0,1472,849,45,17,0,3,917,1353,110,30,9,0,1495,23658,1693,464,70,22,25910
SOSR114,1119,75,17,7,4,1225,624,49,15,7,0,696,624,45,19,0,0,689,1436,83,40,8,0,1566,2137,93,44,7,3,2287,5492,255,94,25,11,5871,4955,258,78,7,6,5300,5288,211,79,12,10,5600,2535,76,47,0,6,2662,1940,62,30,3,0,2037,971,32,18,4,4,1028,1570,108,27,11,9,1719,28687,1350,499,93,57,30682
SOSR115,1926,74,30,19,6,2054,1206,50,21,13,0,1285,1142,57,17,7,5,1222,2278,58,17,22,7,2376,3141,70,25,9,5,3256,7293,186,78,34,4,7591,6769,209,57,29,10,7062,7723,179,70,16,14,8006,3980,58,29,15,5,4085,3011,38,21,10,3,3087,1604,21,15,15,10,1659,2333,70,21,12,0,2436,42403,1068,382,188,66,44110
SOSR121,632,10,5,3,0,649,351,4,4,5,3,364,333,3,5,3,0,343,645,8,7,8,0,666,794,12,0,4,0,811,2099,42,10,11,0,2157,2053,28,7,8,3,2103,2507,34,12,3,8,2565,1278,8,7,5,0,1297,1052,13,7,0,8,1076,617,0,8,3,0,631,776,9,4,0,0,790,13129,173,67,45,30,13445
SOSR122,349,6,0,0,4,359,279,0,0,3,0,283,254,0,0,0,0,260,437,5,0,0,3,442,500,3,0,4,0,505,1119,8,5,7,0,1141,929,7,4,7,4,938,933,7,3,3,0,944,438,5,4,0,0,447,396,3,0,0,0,409,254,0,11,0,0,265,376,3,0,3,3,390,6266,41,29,28,19,6382
SOSR131,4531,23,16,27,26,4628,1414,5,3,11,4,1441,1309,6,4,11,3,1333,2340,9,8,26,10,2395,3036,14,5,23,22,3094,8046,34,14,45,26,8164,8123,51,7,34,15,8237,11260,49,13,38,28,11384,6471,34,9,19,16,6543,6983,22,3,13,13,7032,6904,29,17,17,25,6990,4750,28,6,23,11,4818,65169,297,113,294,191,66064
