UCL_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
UCL101001,195222,661444,523092,156346,85194,1621297,86950,1708243
UCL102001,742,5518,5228,1839,1131,14465,743,15207
UCL102002,8428,48347,44810,14286,7980,123846,6641,130483
UCL102003,1826,11071,9063,2580,1299,25841,1679,27520
UCL102004,9187,48252,51812,15884,8567,133714,5569,139277
UCL102005,8187,37170,38337,12754,7567,104016,4796,108813
UCL111001,1641,8521,7796,2263,1101,21331,1283,22604
UCL111002,1362,8214,7149,2131,1023,19882,1285,21168
UCL111003,1616,10727,13249,4591,2525,32706,1174,33886
UCL112001,722,3545,2564,703,313,7848,545,8391
UCL112002,914,5024,4938,1644,868,13385,743,14124
UCL112003,1027,5494,4182,1258,621,12570,538,13114
UCL112004,380,3695,3693,1136,643,9554,367,9926
UCL112005,543,3118,2815,1034,593,8106,475,8585
UCL112006,848,5343,5402,1643,755,13996,1235,15231
UCL112007,114,934,1053,312,134,2547,154,2704
UCL112008,678,4646,2916,787,328,9356,486,9845
UCL112009,721,3633,3127,1140,600,9228,561,9790
UCL112010,437,2500,2723,967,600,7219,547,7762
UCL112011,338,2379,2796,1082,685,7280,359,7639
UCL112012,832,4782,3850,1198,520,11185,695,11878
UCL112013,27,222,383,150,57,841,70,909
UCL112014,392,3069,3115,1126,690,8389,321,8713
UCL112015,878,4947,4475,1387,667,12348,942,13298
UCL112016,1020,5818,5742,1730,763,15074,911,15986
UCL112017,1409,8653,6860,1964,871,19757,927,20683
UCL112018,1177,5699,4745,1341,657,13613,1202,14815
UCL112019,1412,7402,7036,2228,1092,19164,1076,20245
UCL113001,652,3684,2679,685,292,7989,649,8635
UCL113002,350,2376,1770,465,238,5194,391,5584
UCL113003,718,3231,2385,715,298,7346,620,7965
UCL113004,213,1607,1402,471,259,3960,354,4314
UCL113005,580,3031,2187,691,303,6795,493,7290
UCL113006,350,1568,1167,382,206,3660,410,4068
UCL113007,228,1927,2414,707,401,5668,220,5888
UCL113008,587,2119,1396,466,244,4815,319,5130
UCL113009,30,751,1493,627,429,3328,68,3402
UCL113010,280,1548,1712,561,270,4380,331,4706
UCL113011,298,1616,1505,502,261,4178,291,4469
UCL113012,291,2455,2390,619,286,6048,230,6279
UCL113013,359,2114,1829,644,326,5266,348,5618
UCL113014,274,1751,2148,755,386,5314,293,5606
UCL113015,151,1933,1640,524,254,4508,247,4747
UCL113016,718,3166,2149,696,346,7079,567,7646
UCL113017,269,2596,2323,614,273,6082,364,6444
UCL113018,44,369,394,106,52,955,80,1037
UCL114001,148,937,788,239,84,2190,80,2272
UCL114002,200,1669,1227,311,138,3552,425,3976
UCL114003,344,1774,1233,373,181,3907,389,4301
UCL114004,210,1131,923,275,141,2681,144,2824
UCL114005,248,1080,802,208,105,2438,147,2589
UCL114006,157,995,846,239,110,2345,131,2477
UCL114007,284,1436,1113,365,175,3381,248,3630
UCL114008,173,1092,971,266,126,2628,316,2948
UCL114009,65,592,1034,311,128,2128,100,2233
UCL114010,184,1134,981,298,149,2744,291,3038
UCL114011,203,1004,650,211,96,2166,233,2400
UCL114012,3,347,1197,261,102,1917,72,1990
UCL114013,217,1276,1171,336,164,3173,359,3528
UCL114014,49,542,973,333,215,2113,44,2153
UCL114015,345,1610,1255,353,184,3738,422,4166
UCL114016,168,1010,984,365,182,2711,258,2966
UCL114017,26,815,1276,370,203,2693,126,2823
UCL114018,158,1632,1374,367,135,3674,191,3862
UCL114019,254,1047,855,237,107,2498,608,3104
UCL114020,193,1291,1281,438,244,3433,152,3587
UCL114021,266,1518,1355,399,205,3747,278,4024
UCL114022,288,1590,779,228,98,2983,321,3307
UCL114023,168,875,785,244,107,2188,203,2387
UCL114024,284,1523,1404,378,243,3829,281,4108
UCL114025,56,881,1205,298,111,2561,111,2666
UCL114026,84,744,821,266,146,2059,75,2139
UCL114027,141,1099,847,220,136,2435,128,2561
UCL114028,131,807,788,221,98,2040,93,2133
UCL114029,36,308,663,325,351,1683,58,1736
UCL114030,97,1162,898,251,102,2509,163,2669
UCL114031,64,806,1046,352,211,2469,102,2574
UCL114032,94,542,694,271,162,1762,74,1834
UCL114033,172,1009,933,316,142,2561,187,2746
UCL114034,171,1187,1104,352,195,3013,178,3192
UCL114035,132,1000,737,254,153,2278,146,2423
UCL114036,142,1512,1018,242,62,2975,194,3178
UCL114037,119,810,815,302,164,2211,125,2333
UCL114038,284,1341,1006,297,142,3074,209,3287
UCL115001,36,269,278,114,60,760,38,798
UCL115002,27,470,674,248,138,1558,81,1636
UCL115003,18,174,392,176,116,864,27,889
UCL115004,35,360,254,75,48,783,47,832
UCL115005,38,163,135,54,29,417,66,481
UCL115006,8,244,334,115,39,746,73,816
UCL115007,40,340,436,201,171,1178,47,1228
UCL115008,52,218,176,61,25,524,39,564
UCL115009,25,254,284,88,41,698,42,742
UCL115010,47,246,148,37,17,501,44,543
UCL115011,15,199,243,96,55,602,38,641
UCL115012,20,163,150,44,39,419,30,454
UCL115013,176,738,595,192,52,1755,127,1883
UCL115014,49,568,464,115,48,1242,78,1322
UCL115015,44,347,301,80,30,804,70,876
UCL115016,10,151,154,68,37,424,36,455
UCL115017,40,422,403,109,47,1021,42,1062
UCL115018,31,219,150,50,17,466,33,496
UCL115019,165,1029,673,160,59,2085,100,2189
UCL115020,67,461,428,163,67,1184,47,1230
UCL115021,36,181,167,70,22,472,39,509
UCL115022,26,377,476,150,106,1129,31,1159
UCL115023,28,201,207,69,41,544,80,628
UCL115024,65,215,151,45,18,499,110,602
UCL115025,3,101,241,80,58,487,18,505
UCL115026,16,261,207,58,41,581,58,640
UCL115027,35,307,430,192,86,1048,53,1099
UCL115028,27,413,410,121,64,1033,58,1092
UCL115029,44,349,267,76,41,776,77,850
UCL115030,22,188,174,54,23,461,40,500
UCL115031,35,512,424,121,66,1156,30,1184
UCL115032,40,294,329,94,54,809,31,843
UCL115033,16,276,598,251,165,1303,51,1348
UCL115034,8,124,244,120,76,570,23,594
UCL115035,27,465,613,197,102,1407,64,1467
UCL115036,26,515,509,162,90,1308,41,1344
UCL115037,0,90,185,76,60,412,11,425
UCL115038,34,258,214,74,24,604,64,671
UCL115039,95,495,453,140,62,1238,256,1498
UCL115040,4,133,229,84,84,524,15,543
UCL115041,81,401,320,106,48,952,133,1089
UCL115042,27,228,253,102,53,664,37,699
UCL115043,71,425,289,79,44,904,165,1062
UCL115044,88,359,265,78,49,835,147,981
UCL115045,22,158,140,53,28,394,59,452
UCL115046,12,185,280,82,48,601,40,640
UCL115047,42,337,321,118,62,885,56,935
UCL115048,70,667,608,166,73,1585,68,1652
UCL115049,19,192,147,46,26,436,31,468
UCL115050,0,132,357,93,55,643,24,665
UCL115051,26,375,344,106,19,867,76,943
UCL115052,37,245,217,74,48,627,35,663
UCL115053,36,224,161,50,16,482,27,510
UCL115054,7,52,118,73,83,333,15,353
UCL115055,51,385,319,98,61,918,33,947
UCL115056,109,536,476,133,55,1306,110,1419
UCL115057,84,631,480,136,46,1366,125,1486
UCL115058,35,374,246,54,25,729,41,767
