LGA_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
LGA17400,32,92,3,134,983,120,0,1239,6,76,3,86,1187,132,0,1409,0,15,0,12,533,75,0,624,0,0,0,0,185,24,0,210,736,263,34,1032,4325,649,118,6122
LGA17420,1295,1860,37,3188,17251,469,109,21016,386,2582,33,2999,13369,430,152,16952,51,438,4,491,7870,405,34,8801,9,13,0,26,2471,379,17,2887,40816,6756,446,48017,98446,4449,460,151373
LGA17550,600,1654,20,2278,11005,818,12,14112,109,1552,12,1672,11365,791,29,13848,21,276,0,297,7648,718,18,8677,0,17,0,21,3202,585,3,3803,14232,5014,609,19855,56002,6120,110,82078
LGA17620,51,226,4,277,1547,131,5,1955,14,191,0,204,1336,113,4,1656,5,19,0,23,829,85,0,940,0,4,0,3,338,56,0,396,2203,721,60,2986,7887,848,22,11747
LGA17640,53,184,4,234,1154,128,0,1515,17,136,0,156,965,118,0,1241,0,23,0,28,565,73,0,666,0,4,0,4,197,19,0,229,1246,494,42,1786,4754,604,3,7145
LGA17650,36,117,0,149,727,75,0,955,7,85,3,91,676,51,0,823,3,9,0,11,366,39,0,415,0,0,0,0,102,10,0,120,902,312,47,1254,3252,377,5,4889
LGA17750,315,1150,10,1477,5553,383,8,7420,60,976,6,1046,4572,330,0,5955,9,194,0,197,3007,287,3,3500,0,10,0,17,1324,219,3,1566,10954,3915,492,15365,35951,3527,116,54964
LGA17850,19,55,0,69,339,43,0,454,0,59,0,61,367,46,0,473,0,4,0,4,273,34,0,312,0,0,0,0,68,10,0,74,393,158,27,575,1660,258,0,2493
LGA17900,20,62,0,88,636,227,0,953,5,34,0,38,604,177,0,826,0,6,0,6,284,113,0,399,0,0,0,0,62,21,0,82,515,183,17,722,2752,1216,16,4702
LGA17950,14,48,0,62,302,39,0,399,3,36,0,36,219,43,0,297,0,6,0,7,159,40,0,203,0,0,0,0,55,35,0,86,361,140,3,502,1346,279,9,2133
LGA18020,35,135,4,174,1075,194,0,1447,9,102,0,109,1146,214,0,1474,5,27,0,30,678,159,0,869,0,0,0,0,267,74,0,342,1097,413,42,1549,5093,1204,9,7856
LGA18050,639,356,10,1003,4728,289,31,6051,69,606,3,676,3600,235,35,4546,19,147,0,164,2337,284,8,2798,7,12,0,19,1015,304,8,1342,11419,1792,132,13348,39503,3687,305,56836
LGA18100,19,66,0,91,453,42,0,580,6,67,0,75,452,44,0,573,0,19,0,19,295,27,0,345,0,0,0,0,124,12,0,140,417,218,28,663,2111,209,0,2982
LGA18200,36,167,4,196,829,120,0,1154,8,95,0,102,734,113,0,946,3,16,0,19,420,50,0,490,0,0,0,0,125,18,0,138,1054,406,53,1506,3886,858,54,6308
LGA18250,766,391,9,1163,6722,328,63,8277,149,851,6,1008,5262,319,62,6647,27,176,4,207,3239,281,16,3744,0,13,0,13,1765,270,4,2047,15341,1914,158,17407,41357,2930,345,62037
LGA18350,369,744,18,1131,5827,301,12,7270,60,826,4,891,6536,310,11,7751,15,225,0,238,4586,354,3,5183,0,20,0,24,1415,308,0,1749,8013,2579,276,10874,30948,2340,61,44220
LGA18400,255,842,14,1108,4931,222,6,6266,42,556,8,596,4114,225,9,4945,4,82,0,91,2133,215,0,2438,0,4,0,4,581,183,0,773,10297,2337,268,12904,26932,2114,52,41993
LGA18450,1083,3169,42,4297,20690,926,30,25943,166,2873,9,3054,16823,854,34,20759,50,501,5,556,11802,936,5,13294,11,32,0,43,4852,902,3,5798,35478,9736,737,45949,121039,8836,192,176017
LGA18500,653,387,11,1048,4731,206,32,6014,88,781,5,870,4309,206,18,5409,20,249,0,262,3266,278,14,3823,6,8,0,10,1282,375,6,1675,8364,1845,96,10301,31458,2339,188,44288
LGA18710,109,302,12,417,1725,133,6,2283,28,339,0,363,1385,113,0,1857,4,57,0,62,790,76,0,919,0,3,0,10,290,39,0,337,2947,1061,138,4147,8890,861,16,13915
LGA19399,9,34,0,43,155,18,5,215,0,15,0,15,158,21,0,192,0,3,0,3,48,7,0,58,0,0,0,0,17,4,0,18,168,65,10,239,679,99,8,1029
LGA19799,0,0,0,0,8,0,0,8,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,12,22,0,3,38
LGA20110,95,223,0,320,1677,137,3,2135,16,213,0,228,1581,125,0,1931,0,41,0,44,892,96,0,1034,0,0,0,0,332,49,0,380,1947,646,77,2674,7851,909,25,11454
LGA20260,39,196,0,239,1296,206,0,1739,11,162,0,174,1257,170,0,1597,0,33,0,38,757,107,0,901,0,0,0,0,324,38,0,366,1464,636,63,2166,6458,1405,9,10044
LGA20570,555,1841,22,2419,10088,565,15,13096,119,1768,10,1896,9066,580,19,11553,22,306,3,330,5743,534,3,6614,0,8,0,10,2418,433,0,2863,18729,6118,713,25557,60992,5245,92,91888
LGA20660,891,1518,24,2426,11840,454,21,14745,147,2636,10,2785,9208,493,34,12522,30,553,4,588,6693,387,17,7685,7,26,0,30,3117,316,15,3479,22787,6262,482,29530,70015,3966,178,103693
LGA20740,224,746,10,979,5144,372,0,6501,44,801,6,856,5519,450,8,6824,9,92,0,101,3066,340,0,3509,0,6,0,4,990,212,0,1210,5497,2233,207,7941,23642,2566,33,34185
LGA20830,265,1141,12,1417,5584,356,7,7361,59,958,4,1023,5364,321,0,6709,11,154,0,170,3333,271,0,3772,0,10,0,13,1168,154,0,1339,9177,3358,394,12934,30100,2687,50,45772
LGA20910,1223,1119,33,2372,10982,347,27,13731,162,2435,9,2610,7685,362,28,10685,36,613,3,655,5716,367,18,6758,5,24,0,26,2991,348,5,3378,18390,5183,375,23941,55168,2978,183,82266
LGA21010,65,251,5,317,1841,180,0,2341,14,250,0,265,1848,162,0,2276,4,28,0,38,1171,141,0,1350,0,0,0,0,471,77,0,555,1598,777,76,2451,8768,1127,9,12353
LGA21110,1736,1492,40,3276,16549,481,109,20414,273,3643,26,3937,11108,438,78,15569,56,1000,8,1062,8139,423,32,9659,8,41,0,52,4496,385,8,4937,28625,7811,476,36915,97446,4509,509,139372
LGA21180,1287,2388,55,3736,18064,1235,78,23111,298,2481,30,2808,14369,996,70,18241,68,451,7,522,8380,743,25,9666,8,29,0,36,3195,437,4,3672,28038,8031,525,36590,112310,11502,367,160769
LGA21270,30,119,0,149,823,88,0,1067,5,95,0,102,783,79,0,958,4,10,0,11,453,72,0,542,0,0,0,0,224,55,0,278,767,308,23,1094,3656,534,8,5290
LGA21370,185,772,21,969,4350,354,7,5680,48,569,0,622,3977,344,5,4946,5,102,0,104,2678,324,0,3105,0,10,0,10,1023,231,3,1266,5388,2141,204,7732,21615,2527,35,31911
LGA21450,581,1637,14,2234,8724,501,35,11490,108,1424,12,1541,6479,398,40,8457,19,205,0,226,3919,341,21,4511,3,6,0,17,1242,211,8,1470,23409,5598,770,29779,55782,4930,149,90640
LGA21610,1983,4409,99,6498,27866,1536,210,36105,425,3544,51,4018,18126,1051,184,23378,87,572,8,668,10184,724,53,11626,9,26,0,31,3737,383,13,4164,70933,14919,1757,87616,178380,14686,677,281354
LGA21670,66,209,8,281,1672,141,0,2093,17,201,0,224,1838,171,0,2227,3,39,0,48,1238,149,5,1433,0,4,0,4,426,67,0,499,1533,705,82,2313,8127,962,6,11412
LGA21750,87,406,8,504,2511,209,4,3224,25,415,4,438,2320,205,3,2972,6,70,0,75,1384,121,0,1571,0,3,0,6,555,74,0,638,3165,1276,132,4579,12794,1291,24,18684
LGA21830,71,326,0,396,1955,139,0,2498,18,247,0,264,1663,128,5,2055,9,43,0,53,1110,112,0,1267,0,0,0,0,442,67,0,510,2175,902,76,3157,9019,1046,12,13241
LGA21890,1025,1087,22,2127,12442,644,33,15239,128,1410,16,1550,8283,561,35,10430,35,347,0,387,6364,538,16,7300,5,29,0,35,3295,550,3,3891,23383,4845,449,28678,89990,6374,203,125246
LGA22110,226,837,13,1068,6072,504,9,7652,55,744,0,799,7030,554,7,8388,10,136,0,148,4104,426,6,4680,3,6,0,5,1212,269,0,1490,5873,2530,266,8661,28930,3455,38,41083
LGA22170,757,2198,31,2977,12992,766,12,16746,140,2156,6,2314,9742,609,24,12686,24,383,0,410,6152,636,14,7211,4,17,0,19,2490,545,7,3059,24240,7252,873,32368,73725,6678,126,112888
LGA22250,39,196,0,237,1297,108,5,1644,11,165,0,176,1365,153,0,1689,5,33,0,36,909,98,0,1047,0,0,0,6,353,45,0,399,1281,591,55,1933,6188,771,14,8902
LGA22310,1298,1449,26,2772,12617,444,61,15894,190,2544,19,2754,9530,457,67,12809,45,490,3,539,6176,406,13,7138,8,27,0,30,3529,386,4,3947,26905,6152,492,33547,83150,4808,313,121814
LGA22410,87,403,5,498,2609,191,0,3295,17,276,0,296,2436,184,0,2912,5,44,0,46,1303,140,0,1488,0,9,0,9,510,55,0,576,2562,1099,99,3764,11876,1197,4,16843
LGA22490,150,447,3,599,2423,142,0,3159,30,357,0,384,1971,113,0,2467,5,41,0,48,872,67,0,989,0,4,0,4,235,25,0,262,4793,1282,148,6231,11963,977,0,19170
LGA22620,597,2180,24,2805,11410,839,9,15057,116,2015,4,2138,10221,667,12,13047,31,371,3,401,6366,604,4,7374,0,21,0,21,2610,442,9,3079,19688,6935,715,27337,64622,6091,77,98132
LGA22670,975,1356,51,2378,13304,979,74,16737,234,1532,20,1791,10735,748,80,13351,44,338,8,387,7056,609,17,8069,3,31,0,35,3076,332,3,3446,23025,5308,380,28713,93072,8978,377,131136
LGA22750,1328,4440,60,5826,24465,1349,36,31677,242,5029,22,5294,21720,1352,38,28405,51,881,0,935,14119,1242,14,16310,7,31,0,43,5888,876,0,6806,44199,15009,1395,60604,147572,12527,242,220948
LGA22830,350,1002,13,1355,6408,615,7,8388,73,837,11,919,5506,487,12,6923,8,136,0,152,3526,418,3,4105,0,6,0,6,1418,216,3,1647,10347,3260,332,13937,36092,4732,81,54842
LGA22910,122,282,6,416,2273,183,3,2879,25,323,0,349,2208,205,0,2764,13,46,0,61,1086,140,0,1285,0,0,0,0,354,99,0,457,2180,885,93,3161,9783,1149,17,14105
LGA22980,28,87,0,118,750,37,0,907,9,75,0,82,638,53,0,770,0,12,0,12,459,55,0,536,0,0,0,0,220,57,0,274,696,263,25,992,3488,319,0,4795
LGA23110,682,983,14,1676,8843,412,27,10951,107,1222,11,1332,6229,325,26,7915,26,233,3,262,3977,273,0,4523,3,21,0,26,1914,173,0,2109,16475,3593,315,20380,49679,3664,117,73841
LGA23190,92,401,0,495,2116,113,0,2724,18,345,0,364,1692,113,0,2173,0,67,0,75,1215,118,0,1398,0,9,0,9,594,59,0,662,3124,1202,146,4475,11169,975,11,16626
LGA23270,1252,2680,57,3989,19393,1234,88,24709,267,2240,24,2527,12820,771,73,16189,26,372,4,409,6866,548,24,7845,3,25,0,27,2191,232,5,2452,42928,9096,825,52846,124122,11828,449,189246
LGA23350,98,318,0,421,2162,158,0,2744,14,297,4,312,1932,133,0,2385,4,59,0,63,1044,102,0,1206,0,0,0,4,356,44,0,398,2685,966,68,3728,9287,1005,8,14027
LGA23430,1041,1918,27,2981,15433,566,49,19028,203,2767,23,2986,11450,579,40,15051,52,535,4,583,8237,573,17,9405,8,36,0,41,3996,333,8,4385,28102,7175,608,35881,88767,5143,234,130024
LGA23670,956,2599,36,3593,16223,526,68,20415,240,3006,23,3269,11907,495,63,15733,55,486,10,551,7724,531,31,8836,0,17,0,18,3109,447,8,3585,27653,8329,649,36631,89795,4842,265,131529
LGA23810,329,1531,13,1876,7872,703,15,10471,54,1073,6,1129,7234,687,3,9051,27,157,5,186,4305,556,0,5047,0,0,0,5,1638,386,0,2030,11109,4405,468,15988,42111,5390,100,63586
LGA23940,40,131,4,176,1047,153,0,1372,8,135,0,139,1015,148,3,1303,9,12,0,14,524,102,0,639,0,6,0,3,228,73,0,304,908,385,44,1337,4396,819,4,6550
LGA24130,349,838,11,1205,5338,315,3,6862,59,972,3,1033,4387,279,9,5701,9,174,0,185,2547,191,3,2925,0,7,0,9,766,119,0,891,9528,2737,284,12549,25912,2154,35,40650
LGA24210,1041,1692,31,2770,12595,362,95,15821,285,2788,19,3086,9374,328,63,12852,59,712,8,772,8754,403,24,9955,4,34,0,40,4149,311,0,4496,21264,6434,352,28051,72180,3341,330,103907
LGA24250,67,161,4,235,1314,135,0,1685,12,174,0,190,1286,115,6,1589,4,38,0,44,647,50,0,735,0,3,0,7,214,15,0,230,1430,512,60,2004,5800,709,10,8522
LGA24330,522,577,9,1112,6598,437,29,8183,61,648,10,721,4182,308,24,5229,11,127,4,138,2284,230,14,2669,0,5,0,13,1123,196,0,1332,13659,2436,265,16356,50647,4362,154,71519
LGA24410,660,1768,18,2448,10608,368,42,13460,152,2283,10,2446,7700,338,37,10524,22,435,0,462,5525,408,7,6400,7,18,0,28,2358,504,5,2888,21112,6102,562,27769,61658,3577,158,93161
LGA24600,504,571,4,1085,7626,957,157,9829,111,963,7,1082,5004,660,79,6829,8,225,3,239,2694,347,13,3288,0,8,0,10,1082,216,9,1313,11841,3191,194,15220,114515,13080,1354,144173
LGA24650,815,1897,43,2758,11438,843,89,15127,176,1529,18,1726,8360,496,96,10669,27,199,3,231,3738,322,19,4308,0,6,0,5,1007,134,7,1153,36134,6749,772,43650,81284,9960,302,135197
LGA24780,240,937,15,1197,5700,566,15,7480,51,688,0,738,4870,499,7,6109,11,123,0,138,3022,340,0,3500,3,6,0,10,1324,194,0,1526,8213,2811,328,11352,31097,4042,119,46613
LGA24850,243,725,12,977,4511,370,15,5869,48,593,9,653,3471,255,6,4378,13,79,0,93,1882,168,5,2149,0,4,0,6,646,61,0,719,8904,2306,298,11504,24967,2591,44,39101
LGA24900,139,558,3,700,3409,284,0,4392,36,432,4,472,3549,314,0,4339,10,67,0,77,2323,257,0,2662,0,3,0,3,889,141,0,1031,4043,1609,153,5813,17291,2122,18,25239
LGA24970,1347,1802,25,3169,16078,668,130,20047,380,3080,20,3478,12058,569,138,16244,88,766,4,858,10636,717,46,12257,9,38,0,47,5422,732,14,6214,31403,7503,395,39298,113409,8039,730,161480
LGA25060,824,1335,23,2180,11173,489,20,13863,125,2088,18,2224,8022,361,22,10639,37,441,0,481,5918,340,3,6746,12,15,0,24,2951,199,0,3176,19903,5253,334,25495,71371,4253,172,101278
LGA25150,194,620,9,824,3504,229,3,4566,38,607,3,649,2934,195,3,3780,3,69,0,67,1597,136,3,1806,0,6,0,6,565,56,0,631,6678,2013,198,8887,19152,1611,24,29676
LGA25250,1012,1152,24,2183,12876,604,59,15722,139,1384,10,1539,8424,526,34,10525,33,338,7,376,6653,502,17,7553,8,21,0,32,4120,477,12,4643,26448,5161,531,32137,104118,7096,282,143636
LGA25340,1115,3125,36,4280,17426,1071,24,22810,207,4131,24,4360,17409,1164,32,22962,46,810,7,862,13231,1161,7,15261,16,37,3,53,4982,922,8,5966,26193,10566,896,37652,93920,8339,131,140054
LGA25430,166,350,8,518,2549,210,3,3284,32,406,0,438,2629,232,5,3302,3,85,0,91,1456,211,0,1757,0,6,0,6,431,221,0,653,2812,1158,123,4100,11302,1928,24,17352
LGA25490,95,378,3,478,1981,143,3,2607,17,315,0,333,1799,148,0,2284,0,58,0,63,882,93,0,1045,0,0,0,0,313,50,0,366,2768,1050,99,3913,8969,982,16,13881
LGA25620,87,236,0,326,2065,214,0,2597,14,252,3,269,1886,192,4,2352,0,40,0,39,1042,113,0,1203,0,0,0,0,300,36,0,338,2011,743,67,2825,8898,1199,14,12929
LGA25710,493,1314,16,1824,6990,215,7,9042,83,1661,5,1750,4434,182,8,6370,11,273,0,281,2406,123,9,2812,0,7,0,7,805,66,0,876,11766,4046,340,16148,32795,1425,49,50413
LGA25810,63,206,5,279,1464,158,0,1895,17,165,3,182,1410,170,0,1769,0,27,0,29,824,141,0,992,0,3,0,5,269,100,0,377,1490,588,67,2142,6996,1029,15,10181
LGA25900,813,686,18,1513,9085,748,56,11399,95,1123,10,1226,6031,503,20,7782,33,277,0,309,3403,399,14,4125,0,9,0,15,1127,288,3,1433,12788,3474,284,16540,66021,6610,260,89435
LGA25990,51,115,0,167,922,121,0,1212,9,98,0,104,1025,141,0,1271,4,16,0,13,495,84,0,592,0,0,0,0,158,27,0,189,939,367,42,1349,4233,878,0,6465
LGA26080,28,59,0,90,461,32,0,587,9,169,0,174,541,43,0,762,5,33,0,36,426,43,0,503,0,0,0,0,153,14,0,175,360,298,3,658,2143,204,4,3009
LGA26170,183,652,8,842,3650,276,0,4772,28,606,8,641,3734,271,5,4656,8,103,0,110,2056,206,0,2373,4,10,0,8,746,98,0,854,4303,1881,211,6392,17076,1700,27,25199
LGA26260,76,234,8,324,1939,124,0,2386,20,265,0,289,1850,130,0,2266,4,69,0,71,1126,114,0,1312,0,3,0,3,518,60,0,578,2378,829,81,3287,9552,849,7,13695
LGA26350,802,680,14,1493,8483,459,41,10476,128,1716,3,1851,6433,418,29,8734,39,497,3,540,4994,418,10,5965,7,38,0,41,2334,371,3,2749,13243,4089,230,17563,68814,4793,282,91458
LGA26430,52,201,4,251,1475,179,0,1912,11,215,0,232,1623,169,0,2023,0,50,0,53,904,91,0,1048,0,0,0,0,367,62,0,426,1375,656,59,2087,6770,895,11,9761
LGA26490,266,658,13,935,3786,193,5,4928,43,990,11,1036,3174,229,4,4442,3,107,0,110,1749,152,0,2016,0,3,0,3,581,136,0,726,7177,2224,222,9634,18797,1582,32,30040
LGA26610,80,442,8,527,2091,267,4,2883,26,253,4,286,1788,189,3,2259,5,40,0,43,1127,148,0,1319,0,0,0,0,498,92,0,594,2989,1116,102,4206,11549,1734,67,17555
LGA26670,31,135,5,173,833,67,0,1072,10,125,0,134,762,82,0,984,0,15,0,15,423,56,0,498,0,0,0,0,163,46,0,209,803,383,23,1203,3394,458,8,5060
LGA26700,134,595,6,738,3109,211,4,4065,39,531,5,571,2938,207,0,3722,6,95,0,100,2017,215,0,2330,0,3,0,8,823,145,0,971,4451,1794,157,6396,16420,1588,27,24425
LGA26730,191,660,8,858,3493,206,7,4559,42,653,0,697,3003,226,0,3924,5,123,0,127,1960,209,0,2299,3,3,0,10,901,211,0,1117,5545,2121,217,7886,19308,1928,69,29186
LGA26810,196,824,9,1036,5059,417,5,6515,51,715,0,769,4945,442,4,6157,6,104,0,110,2676,237,0,3030,0,7,0,7,884,131,3,1027,6328,2455,288,9075,24797,3546,73,37490
LGA26890,13,69,4,88,541,44,0,674,0,54,0,58,466,68,0,598,0,9,0,9,262,45,0,314,0,4,0,4,120,17,0,141,537,192,26,752,2212,325,6,3294
LGA26980,1305,1674,42,3020,14989,536,99,18649,343,2921,22,3290,11152,583,103,15140,65,638,5,709,9245,610,24,10587,11,25,0,35,4738,670,9,5454,29175,6848,497,36511,98919,6323,509,142262
LGA27070,1053,2887,45,3988,17655,963,95,22709,286,2743,28,3054,13139,797,104,17100,51,431,0,479,7782,650,28,8940,9,17,0,20,2808,488,0,3328,43247,9179,814,53250,117567,9409,397,180613
LGA27170,206,710,13,933,3805,191,11,4940,40,580,0,619,3421,193,6,4245,10,93,4,105,1992,153,0,2248,0,7,0,7,743,90,0,840,7321,2287,336,9946,22438,1786,32,34205
LGA27260,1373,2535,67,3968,16842,1047,273,22130,384,2283,23,2686,10834,706,280,14514,25,305,9,340,5236,418,51,6048,6,12,0,20,1590,242,0,1856,63815,9588,1119,74525,128005,14765,856,218156
LGA27350,544,449,11,1007,6787,573,26,8390,93,900,9,1004,4711,430,14,6165,14,256,0,267,2687,283,0,3235,0,13,0,13,1155,139,3,1307,10042,2868,218,13130,61636,4885,189,79835
LGA27450,849,2935,34,3818,15303,706,22,19846,172,3088,22,3277,11884,544,21,15724,40,531,3,576,7338,421,12,8350,3,20,0,21,2440,170,0,2632,27961,9292,1063,38311,81750,4950,126,125146
LGA27630,29,152,0,182,868,62,0,1110,4,80,0,77,818,81,0,970,0,12,0,17,500,78,0,601,0,0,0,3,217,62,0,282,796,350,43,1186,3769,484,8,5443
LGA29399,24,35,0,61,298,108,3,467,4,34,0,40,157,59,0,249,0,7,0,7,29,19,0,59,0,0,0,0,3,0,0,8,466,132,21,622,2237,872,75,3804
LGA29799,0,3,0,4,45,111,0,158,0,0,0,0,7,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4,0,55,121,385,0,565
LGA30250,9,26,4,33,60,8,0,108,4,4,0,9,30,5,0,42,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,183,131,36,354,393,84,3,833
LGA30300,10,76,8,95,536,57,3,687,3,41,0,46,501,39,0,585,3,4,0,6,219,33,0,254,0,0,0,0,48,20,0,68,630,206,44,881,2547,366,5,3801
LGA30370,56,231,4,289,1515,398,0,2200,14,120,0,128,1150,228,3,1513,0,37,0,37,678,135,0,849,0,0,0,0,205,50,0,263,2473,679,88,3245,7476,2260,17,12996
LGA30410,6,47,0,56,465,55,0,577,3,27,0,27,549,56,3,632,0,8,0,8,261,36,0,302,0,0,0,0,66,5,0,70,389,132,25,537,2110,274,9,2937
LGA30450,0,9,0,9,76,16,0,96,0,10,0,10,71,25,0,108,0,0,0,0,33,8,0,47,0,0,0,0,0,0,0,0,41,18,0,61,306,82,0,451
LGA30760,11,35,0,44,265,34,0,346,3,16,0,21,327,34,0,386,0,4,0,4,156,31,3,191,0,0,0,0,46,19,0,62,273,82,19,377,1282,196,6,1859
LGA30900,4,3,0,6,86,19,0,111,0,0,0,5,83,12,0,102,0,0,0,0,20,3,0,23,0,0,0,0,0,0,0,0,61,18,0,79,341,76,0,501
LGA31000,7348,13108,213,20672,100658,5064,637,127033,1419,17217,125,18758,69962,3852,525,93093,241,3743,14,3996,45338,3251,138,52726,26,167,4,199,19855,2593,37,22681,212617,53443,5179,271244,701075,51913,3688,1027920
LGA31750,3,9,0,11,81,12,0,105,0,5,0,5,69,6,0,80,0,0,0,0,16,5,0,21,0,0,0,0,0,0,0,0,74,24,0,102,324,57,0,483
LGA31820,387,1496,20,1907,11720,871,15,14516,113,1083,4,1199,13075,944,19,15233,24,224,0,251,8067,703,16,9038,0,12,0,9,2450,292,4,2759,12845,4609,631,18087,60334,5784,357,84559
LGA31900,67,332,0,401,1883,176,0,2464,25,271,0,298,1907,151,0,2356,6,46,0,58,1180,125,0,1360,0,0,0,3,428,66,0,498,2161,908,71,3145,9700,1357,205,14397
LGA31950,4,9,0,15,184,95,0,294,0,5,0,5,171,77,0,249,0,0,0,0,39,23,0,63,0,0,0,0,0,0,0,0,85,23,3,105,651,318,14,1087
LGA32080,1083,2084,43,3217,16684,2034,91,22024,199,1960,11,2171,13412,1808,78,17473,40,417,0,453,6790,1059,33,8338,7,20,0,31,2100,460,7,2599,25758,7796,1101,34648,89900,15208,907,140674
LGA32250,5,20,0,30,518,48,0,596,0,18,0,19,619,54,0,699,0,3,0,3,235,33,0,269,0,0,0,0,16,4,0,17,313,87,14,415,2266,310,20,3011
LGA32260,159,440,4,598,4121,395,15,5131,35,347,4,386,4144,411,7,4946,9,67,6,81,2014,219,0,2324,0,3,0,3,652,94,0,747,3877,1328,144,5347,18184,2647,396,26570
LGA32270,125,433,5,557,2896,752,13,4216,21,203,3,222,1942,378,11,2545,0,39,0,45,745,129,3,925,0,0,0,0,150,51,0,209,5249,1316,262,6824,14056,4460,431,25769
LGA32310,49,177,7,226,1372,283,0,1885,9,124,0,133,1491,253,0,1883,3,20,0,27,731,131,0,895,0,5,0,5,212,41,0,254,1510,585,85,2186,6866,1752,7,10813
LGA32330,10,21,0,29,67,3,0,100,0,5,0,5,33,0,0,33,0,0,0,0,16,0,0,16,0,0,0,0,3,0,0,5,148,150,34,328,386,28,0,747
LGA32450,13,54,0,65,584,159,0,808,4,45,0,41,549,161,5,758,0,3,0,3,132,30,0,173,0,0,0,0,26,3,0,28,723,202,39,970,2831,1043,24,4858
LGA32500,26,67,3,92,1065,262,0,1424,10,52,0,63,961,207,0,1230,0,8,0,8,235,54,0,298,0,0,0,0,20,8,0,24,704,258,29,990,3975,1315,276,6552
LGA32600,0,6,0,6,74,6,0,86,0,0,0,0,72,0,0,71,0,0,0,0,21,0,0,21,0,0,0,0,0,0,0,0,41,14,0,54,277,36,4,363
LGA32750,0,0,0,0,70,11,0,80,0,5,0,5,45,10,0,57,0,0,0,0,12,0,0,16,0,0,0,0,0,0,0,0,26,15,3,42,261,72,0,374
LGA32770,5,22,0,27,78,16,0,123,0,7,0,9,27,6,0,36,0,0,0,0,6,0,0,6,0,0,0,0,4,0,0,4,263,126,10,398,545,72,3,1020
LGA32810,73,152,3,234,2161,381,16,2788,19,153,0,180,2052,422,8,2657,4,29,0,31,929,159,7,1131,0,0,0,0,182,35,0,222,1654,562,65,2276,9224,2010,151,13665
LGA33100,4,8,0,14,318,37,0,365,0,10,0,10,369,50,0,431,0,0,0,0,83,16,0,103,0,0,0,0,8,0,0,15,120,29,3,156,1070,175,6,1406
LGA33200,8,10,0,20,238,58,0,314,0,14,0,14,256,53,0,323,0,7,0,7,103,9,0,115,0,0,0,0,27,7,0,31,190,60,10,257,1033,277,3,1576
LGA33220,472,1527,32,2028,14559,1004,27,17620,99,1231,8,1332,17731,1163,38,20272,24,204,0,223,9959,1008,21,11205,0,3,0,6,2792,442,4,3244,13360,4812,686,18861,69962,7167,153,96146
LGA33360,279,1094,10,1381,6946,711,15,9056,37,627,10,676,5230,563,21,6489,11,87,0,93,2236,248,8,2583,0,0,0,0,572,106,0,684,10895,3296,534,14721,32475,4268,90,51554
LGA33430,3479,7998,100,11582,57630,4085,295,73595,691,8304,56,9050,50496,3866,291,63703,146,1577,9,1735,32038,3308,128,37211,17,83,0,102,10615,2407,33,13155,103130,28738,3087,134958,346596,35838,1720,519120
LGA33610,44,167,0,208,1096,133,0,1444,8,115,0,121,930,106,0,1168,8,22,0,32,590,56,0,685,0,0,0,0,215,19,0,240,1647,489,68,2208,5333,787,11,8338
LGA33620,233,796,8,1038,6908,523,19,8485,62,580,6,646,7110,479,12,8255,11,90,0,108,3752,356,3,4214,4,12,0,13,1065,111,0,1192,7117,2482,354,9950,31384,3250,52,44636
LGA33800,56,246,4,309,1505,124,4,1942,19,176,0,193,1682,145,0,2025,3,29,0,35,1005,112,0,1151,0,3,0,3,390,68,0,459,1272,607,51,1924,7113,869,14,9918
LGA33830,3,15,0,12,70,5,0,90,0,7,0,6,43,0,0,53,0,0,0,0,14,0,0,11,0,0,0,0,6,0,0,6,165,70,0,238,412,52,0,703
