LGA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
LGA10050,21481,23731,45214,9694,5812,15508,2898,6529,9430,592,834,1430,747,593,1340,13934,13771,27707,6291,8707,14991,5.4,4.3,4.8,64.9,58,61.3,61.4,55.5,58.3,751,933,1685,355,738,1100,2244,3706,5953,1640,2485,4127,5854,3500,9357,219,403,621,306,553,867,6382,4463,10844,20777,22488,43266,4194,4536,8731,12939,13924,26865,10542,11645,22189
LGA10180,11327,12420,23752,4401,2944,7344,1680,2866,4546,337,464,797,384,329,711,6803,6595,13399,3336,4432,7767,5.7,4.9,5.3,60,53.1,56.4,56.6,50.5,53.4,976,1103,2074,217,439,653,1440,2127,3566,671,1126,1803,2277,1239,3515,149,217,370,153,291,442,2578,1752,4324,9846,10510,20362,2458,2652,5108,6162,6515,12672,5483,6048,11530
LGA10250,18330,20425,38755,6480,4136,10619,3214,5534,8748,665,793,1455,412,347,762,10769,10812,21586,6574,8493,15069,3.8,3.2,3.5,58.8,52.9,55.7,56.5,51.2,53.7,705,935,1633,314,633,943,2555,3698,6251,1572,2435,4006,4793,2522,7318,163,315,482,312,626,936,5271,3462,8730,17633,18775,36406,3220,3625,6841,11339,11972,23315,8491,9544,18034
LGA10300,959,912,1867,444,227,669,91,192,287,34,35,63,20,17,31,592,458,1050,217,303,519,3.2,2.8,3,61.9,50.6,56.4,59.9,49.2,54.7,10,7,23,5,8,14,42,83,125,39,66,108,182,112,289,3,16,18,6,7,16,197,138,332,867,830,1692,120,107,223,664,646,1306,285,225,509
LGA10470,17786,17682,35464,7530,4953,12483,2299,4550,6845,572,683,1252,485,405,890,10876,10592,21467,5961,6201,12169,4.4,3.8,4.1,61.2,59.9,60.5,58.5,57.6,58,672,709,1383,247,505,753,1670,2916,4588,1126,1836,2957,4729,2675,7400,204,335,534,294,522,811,5225,3525,8755,16293,16698,32990,3389,3582,6974,10364,10492,20856,8201,8794,16998
LGA10500,73679,74894,148566,27597,21200,48796,11471,14471,25944,5075,5186,10269,2784,2231,5017,46936,43096,90024,21924,27173,49096,5.9,5.2,5.6,63.7,57.5,60.6,59.9,54.6,57.2,6759,7378,14143,958,1519,2479,15492,17954,33448,7081,8287,15371,10595,5059,15653,465,740,1200,1125,1725,2848,12179,7519,19700,64506,65729,130238,16539,16146,32680,39839,41785,81626,37021,36095,73114
LGA10550,14989,15773,30762,4788,2933,7719,2233,4080,6309,550,600,1149,324,237,564,7894,7848,15743,6012,6849,12866,4.1,3,3.6,52.7,49.7,51.2,50.5,48.2,49.3,505,630,1134,260,572,829,1519,2362,3883,1075,1701,2775,4239,2225,6472,142,284,422,260,426,680,4641,2938,7579,14091,14523,28612,2235,2449,4682,9559,9698,19257,6085,6660,12743
LGA10600,5388,5856,11247,1556,989,2545,917,1575,2495,182,201,386,178,130,314,2839,2895,5734,2145,2534,4680,6.4,4.6,5.5,52.7,49.5,51,49.3,47.2,48.2,195,276,472,105,239,342,646,1034,1682,394,692,1088,1490,730,2223,35,101,137,88,151,236,1611,982,2594,5231,5529,10762,737,853,1587,3519,3726,7245,2182,2404,4584
LGA10650,3514,3630,7135,1301,682,1984,361,852,1212,111,126,234,64,47,106,1826,1705,3536,1314,1503,2817,3.4,2.6,3,52.1,47.1,49.5,50.3,45.8,48,33,41,72,26,81,107,187,405,594,191,302,498,921,515,1435,34,67,104,46,63,113,1000,646,1644,3216,3255,6468,505,580,1083,2197,2209,4404,1353,1478,2833
LGA10750,151369,154854,306220,60313,43885,104201,18585,27636,46221,13401,10735,24136,5686,5103,10787,97986,87360,185346,44632,58672,103311,5.8,5.8,5.8,64.7,56.4,60.5,61,53.1,57,12700,12712,25412,1803,2927,4732,26548,32791,59339,12899,14488,27379,24015,14458,38480,1122,2059,3181,2224,3171,5400,27365,19685,47055,155969,158196,314165,27071,27431,54501,94913,96777,191695,75500,76855,152360
