POA_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
POA2000,39,74,0,0,254,570,255,572,81,142,7,15,690,1653,11442,24135,0,0,12222,25945,0,0,0,0,46,47,16,29,65,81,98,152,12683,26818,3858,..,16534,26818
POA2007,5,5,3,17,375,873,378,887,5,14,238,425,1371,2748,1091,2341,0,0,2708,5525,0,0,0,0,5,0,17,40,12,38,20,27,3128,6487,606,..,3734,6487
POA2008,41,93,62,128,960,2374,1022,2502,71,119,525,918,946,1668,2272,3749,3,8,3813,6458,0,0,0,0,0,0,46,81,46,81,42,65,4964,9202,954,..,5921,9202
POA2009,0,4,70,157,267,618,340,775,41,72,78,139,1918,3819,3609,7467,0,0,5645,11502,0,0,0,0,0,0,4,9,7,11,34,55,6025,12342,927,..,6954,12342
POA2010,136,330,447,909,3045,6852,3488,7763,747,1150,1475,2285,3668,5634,4441,6834,13,25,10342,15930,0,0,0,0,9,10,82,158,92,161,75,123,14136,24316,2396,..,16530,24316
POA2011,37,94,9,20,1007,1837,1019,1859,254,402,1488,2136,5082,7244,2833,4335,0,0,9656,14123,0,0,0,0,0,0,62,97,66,100,71,101,10853,16274,2577,..,13426,16274
POA2015,307,798,563,1204,1042,2655,1604,3864,189,356,710,1323,2568,4584,90,143,3,15,3558,6419,0,0,0,0,0,0,32,79,32,79,32,49,5539,11209,611,..,6141,11209
POA2016,90,219,348,723,1416,3583,1766,4302,213,373,1118,1785,1826,3341,1224,1805,15,27,4396,7329,0,0,0,0,0,0,81,149,81,149,44,67,6372,12068,886,..,7256,12068
POA2017,63,137,242,532,899,2123,1136,2653,141,212,769,1229,5261,9911,7697,14372,3,11,13868,25731,0,0,0,0,0,0,17,46,17,46,27,47,15116,28611,2446,..,17568,28611
POA2018,2071,6089,220,567,123,345,346,910,1181,2863,974,1980,3296,6381,609,1231,32,83,6092,12536,0,0,0,0,3,3,68,141,69,141,13,35,8589,19712,968,..,9556,19712
