POA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA2000,120,4491,4615,3467,1361,4828,1007,510,1517,655,355,1007,275,160,430,194,90,279,5716,6967,12683
POA2007,26,1136,1161,766,349,1115,294,193,488,175,74,246,46,37,81,21,17,37,1329,1794,3128
POA2008,39,2129,2168,1267,644,1907,281,220,503,153,119,274,44,29,74,17,16,36,1801,3164,4964
POA2009,57,1989,2047,1954,538,2492,661,184,846,422,90,505,81,13,98,33,11,39,3203,2823,6025
POA2010,121,6897,7013,3867,1308,5176,759,384,1144,402,178,584,104,65,164,40,14,52,5293,8843,14136
POA2011,117,6469,6584,2599,846,3444,437,114,551,174,38,216,31,10,38,11,5,17,3374,7478,10853
POA2015,75,1904,1982,1758,479,2235,584,147,729,396,53,449,83,14,92,35,8,46,2929,2607,5539
POA2016,58,2712,2775,1660,617,2281,502,253,752,309,111,424,89,26,115,23,13,30,2640,3726,6372
POA2017,155,5569,5728,4640,1948,6585,1362,460,1820,605,133,741,153,29,184,47,6,57,6966,8152,15116
POA2018,75,2432,2509,2534,630,3168,1254,205,1457,915,77,1000,300,22,324,126,8,135,5208,3385,8589
POA2019,63,1273,1335,1369,248,1621,888,77,969,874,27,902,274,15,287,104,7,107,3570,1651,5220
POA2020,95,1844,1937,2389,835,3228,1265,348,1607,953,147,1096,373,54,425,232,27,259,5295,3251,8553
POA2021,88,2630,2722,1883,423,2305,752,179,933,590,90,675,165,24,187,28,0,30,3508,3342,6850
POA2022,78,1866,1947,1662,507,2163,696,163,863,647,70,717,175,16,192,53,4,59,3313,2630,5941
POA2023,64,1069,1129,1259,300,1556,531,60,591,546,28,575,256,10,265,96,0,94,2750,1464,4213
POA2024,51,1217,1270,1174,292,1465,579,85,664,664,35,708,227,8,237,57,5,61,2750,1646,4393
POA2025,42,1039,1082,946,188,1132,344,53,399,333,30,358,97,6,104,31,0,29,1791,1318,3114
POA2026,191,4504,4696,3851,1582,5425,1573,530,2099,1447,147,1596,419,52,472,131,17,151,7611,6828,14436
POA2027,68,1432,1502,1255,258,1512,365,85,451,234,22,255,70,3,75,27,3,27,2017,1803,3823
POA2028,33,751,785,694,187,879,256,49,303,174,9,183,53,5,60,6,0,6,1218,1001,2220
POA2029,54,1245,1296,1274,247,1518,553,53,607,487,26,512,190,6,198,50,3,54,2620,1578,4194
POA2030,71,1059,1132,1374,184,1556,729,47,775,951,33,986,467,14,485,147,3,151,3740,1341,5083
POA2031,206,4176,4382,4095,1043,5140,1879,306,2181,1691,111,1794,494,30,522,118,15,137,8487,5674,14157
POA2032,49,1738,1785,1296,527,1823,766,195,960,778,92,870,251,34,285,99,22,120,3244,2603,5850
POA2033,59,1383,1437,1294,399,1691,550,116,666,481,53,536,146,17,166,65,7,72,2605,1977,4582
POA2034,123,2566,2687,2427,780,3206,1043,253,1299,984,80,1065,331,12,346,100,9,110,5014,3695,8717
POA2035,166,3802,3961,3691,738,4422,1979,228,2202,2144,101,2243,724,44,767,260,21,285,8964,4921,13882
POA2036,157,3202,3364,3305,587,3896,1991,215,2205,1978,112,2089,731,41,778,324,16,338,8495,4175,12668
