SOS_CODE_2021,M_Part_a_r_mar_0_14,M_Part_a_r_mar_15_24,M_Part_a_r_mar_25_34,M_Part_a_r_mar_35_44,M_Part_a_r_mar_45_54,M_Part_a_r_mar_55_64,M_Part_a_r_mar_65_74,M_Part_a_r_mar_75_84,M_Part_a_r_mar_85ov,M_Part_a_r_mar_Tot,M_Part_de_f_mar_0_14,M_Part_de_f_mar_15_24,M_Part_de_f_mar_25_34,M_Part_de_f_mar_35_44,M_Part_de_f_mar_45_54,M_Part_de_f_mar_55_64,M_Part_de_f_mar_65_74,M_Part_de_f_mar_75_84,M_Part_de_f_mar_85ov,M_Part_de_f_mar_Tot,M_LPar_0_14_yr,M_LPar_15_24_yr,M_LPar_25_34_yr,M_LPar_35_44_yr,M_LPar_45_54_yr,M_LPar_55_64_yr,M_LPar_65_74_yr,M_LPar_75_84_yr,M_LPar_85_yr_over,M_LPar_Tot,M_Child_u_15_0_14_yr,M_Child_u_15_15_24_yr,M_Child_u_15_25_34_yr,M_Child_u_15_35_44_yr,M_Child_u_15_45_54_yr,M_Child_u_15_55_64_yr,M_Child_u_15_65_74_yr,M_Child_u_15_75_84_yr,M_Child_u_15_85_yr_over,M_Child_u_15_Tot,M_Dep_stu15_24_0_14,M_Dep_stu15_24_15_24,M_Dep_stu15_24_25_34,M_Dep_stu15_24_35_44,M_Dep_stu15_24_45_54,M_Dep_stu15_24_55_64,M_Dep_stu15_24_65_74,M_Dep_stu15_24_75_84,M_Dep_stu15_24_85_over,M_Dep_stu15_24_Tot,M_Non_dep_child_0_14,M_Non_dep_child_15_24,M_Non_dep_child_25_34,M_Non_dep_child_35_44,M_Non_dep_child_45_54,M_Non_dep_child_55_64,M_Non_dep_child_65_74,M_Non_dep_child_75_84,M_Non_dep_child_85_over,M_Non_dep_child_Tot,M_Oth_rel_ind_0_14,M_Oth_rel_ind_15_24,M_Oth_rel_ind_25_34,M_Oth_rel_ind_35_44,M_Oth_rel_ind_45_54,M_Oth_rel_ind_55_64,M_Oth_rel_ind_65_74,M_Oth_rel_ind_75_84,M_Oth_rel_ind_85ov,M_Oth_rel_ind_Tot,M_Unrel_ind_liv_fam_hh_0_14,M_Unre_ind_liv_fam_hh_15_24,M_Unre_ind_liv_fam_hh_25_34,M_Unre_ind_liv_fam_hh_35_44,M_Unre_ind_liv_fam_hh_45_54,M_Unre_ind_liv_fam_hh_55_64,M_Unre_ind_liv_fam_hh_65_74,M_Unre_ind_liv_fam_hh_75_84,M_Unrel_ind_liv_fam_hh_85ov,M_Unrel_ind_liv_fam_hh_Tot,M_Group_hh_mem_0_14,M_Group_hh_mem_15_24,M_Group_hh_mem_25_34,M_Group_hh_mem_35_44,M_Group_hh_mem_45_54,M_Group_hh_mem_55_64,M_Group_hh_mem_65_74,M_Group_hh_mem_75_84,M_Group_hh_mem_85ov,M_Group_hh_mem_Tot,M_LPer_0_14_yr,M_LPer_15_24_yr,M_LPer_25_34_yr,M_LPer_35_44_yr,M_LPer_45_54_yr,M_LPer_55_64_yr,M_LPer_65_74_yr,M_LPer_75_84_yr,M_LPer_85_yr_over,M_LPer_Tot,M_Vis_from_within_Aus_0_14,M_Vis_from_within_Aus_15_24,M_Vis_from_within_Aus_25_34,M_Vis_from_within_Aus_35_44,M_Vis_from_within_Aus_45_54,M_Vis_from_within_Aus_55_64,M_Vis_from_within_Aus_65_74,M_Vis_from_within_Aus_75_84,M_Vis_from_within_Aus_85ov,M_Vis_from_within_Aus_Tot,M_OS_vis_0_14_yr,M_OS_vis_15_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_Overseas_v_Total,M_Tot_0_14_yr,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Part_r_mar_0_14,F_Part_r_mar_15_24,F_Part_r_mar_25_34,F_Part_r_mar_35_44,F_Part_r_mar_45_54,F_Part_r_mar_55_64,F_Part_r_mar_65_74,F_Part_r_mar_75_84,F_Part_r_mar_85ov,F_Part_r_mar_Tot,F_Part_de_f_mar_0_14,F_Part_de_f_mar_15_24,F_Part_de_f_mar_25_34,F_Part_de_f_mar_35_44,F_Part_de_f_mar_45_54,F_Part_de_f_mar_55_64,F_Part_de_f_mar_65_74,F_Part_de_f_mar_75_84,F_Part_de_f_mar_85ov,F_Part_de_f_mar_Tot,F_LPar_0_14_yr,F_LPar_15_24_yr,F_LPar_25_34_yr,F_LPar_35_44_yr,F_LPar_45_54_yr,F_LPar_55_64_yr,F_LPar_65_74_yr,F_LPar_75_84_yr,F_LPar_85_yr_over,F_LPar_Tot,F_Child_u_15_0_14_yr,F_Child_u_15_15_24_yr,F_Child_u_15_25_34_yr,F_Child_u_15_35_44_yr,F_Child_u_15_45_54_yr,F_Child_u_15_55_64_yr,F_Child_u_15_65_74_yr,F_Child_u_15_75_84_yr,F_Child_u_15_85_yr_over,F_Child_u_15_Tot,F_Dep_stu15_24_0_14,F_Dep_stu15_24_15_24,F_Dep_stu15_24_25_34,F_Dep_stu15_24_35_44,F_Dep_stu15_24_45_54,F_Dep_stu15_24_55_64,F_Dep_stu15_24_65_74,F_Dep_stu15_24_75_84,F_Dep_stu15_24_85_over,F_Dep_stu15_24_Tot,F_Non_dep_child_0_14,F_Non_dep_child_15_24,F_Non_dep_child_25_34,F_Non_dep_child_35_44,F_Non_dep_child_45_54,F_Non_dep_child_55_64,F_Non_dep_child_65_74,F_Non_dep_child_75_84,F_Non_dep_child_85_over,F_Non_dep_child_Tot,F_Oth_rel_ind_0_14,F_Oth_rel_ind_15_24,F_Oth_rel_ind_25_34,F_Oth_rel_ind_35_44,F_Oth_rel_ind_45_54,F_Oth_rel_ind_55_64,F_Oth_rel_ind_65_74,F_Oth_rel_ind_75_84,F_Oth_rel_ind_85ov,F_Oth_rel_ind_Tot
SOS30,..,2222,61162,129764,127777,110290,93137,51963,11350,587664,..,17506,63385,36488,25536,16295,8028,2581,377,170187,..,440,2526,7320,10544,6154,2858,1522,915,32272,328409,..,..,..,..,..,..,..,..,328409,..,82977,..,..,..,..,..,..,..,82977,..,62373,32858,12145,7705,3446,583,23,0,119131,..,10988,9376,3962,3434,4056,3644,2015,942,38434,..,8087,10609,3999,2993,1951,1032,328,78,29081,..,20216,28405,8825,6994,6864,4764,1866,355,78277,..,6773,21470,21241,23697,25146,22126,13279,5546,139273,3853,5739,5867,3883,3226,2896,2576,1210,310,29569,137,244,491,264,278,349,400,139,26,2336,332402,217554,236156,227894,212181,177456,139152,74923,19902,1637610,..,4373,83929,143418,130921,108047,85053,37513,5175,598427,..,25404,67176,34972,24311,14358,5977,1615,183,173990,..,3833,19562,34648,38261,18447,8556,5814,3775,132893,310550,..,..,..,..,..,..,..,..,310550,..,85653,..,..,..,..,..,..,..,85653,..,42201,20147,5960,4501,3094,774,34,0,76714,..,9896,6695,2357,3440,7710,9033,6145,3260,48536
SOS31,..,663,13807,24464,26240,28645,29931,17446,3725,144913,..,5071,13339,7990,6632,5110,2907,1058,154,42255,..,162,892,2130,2512,1536,778,454,312,8773,85522,..,..,..,..,..,..,..,..,85522,..,15416,..,..,..,..,..,..,..,15416,..,16783,6801,3180,2354,1162,173,0,0,30455,..,2750,1751,871,980,1226,1057,591,257,9495,..,1707,1831,934,775,544,304,98,30,6223,..,2420,3501,1459,1726,1998,1709,668,100,13573,..,1963,4961,4707,6598,9224,9065,5323,1957,43793,1477,1794,1751,1211,1219,1216,1286,525,113,10596,19,44,114,43,27,55,30,17,6,362,87022,48775,48740,46992,49056,50718,47232,26179,6656,411365,..,1287,19008,28587,28525,30687,27960,12903,1670,150623,..,7510,14365,8345,6760,4805,2357,720,78,44935,..,1686,7270,9838,8718,4044,2229,1727,1073,36592,81296,..,..,..,..,..,..,..,..,81296,..,15953,..,..,..,..,..,..,..,15953,..,10573,3415,1336,1190,874,208,9,0,17608,..,2224,907,434,964,2066,2081,1476,785,10936
SOS32,..,35,1389,2962,3878,5191,5438,2771,429,22091,..,570,1737,1345,1341,1139,671,204,25,7026,..,31,113,272,339,262,143,99,43,1300,12095,..,..,..,..,..,..,..,..,12095,..,1996,..,..,..,..,..,..,..,1996,..,2421,1061,538,430,191,19,0,0,4658,..,449,255,126,209,255,213,124,49,1684,..,191,182,102,133,92,85,18,10,822,..,167,230,146,230,382,345,119,14,1634,..,224,492,605,1110,1884,1966,1027,240,7550,199,265,239,191,213,260,275,146,19,1806,6,4,15,0,7,8,10,4,0,46,12297,6360,5716,6279,7893,9664,9162,4517,834,62718,..,116,1994,3592,4509,5734,4884,1873,191,22891,..,853,1958,1442,1349,1084,553,117,12,7371,..,231,978,1220,1119,569,326,292,151,4878,11297,..,..,..,..,..,..,..,..,11297,..,1982,..,..,..,..,..,..,..,1982,..,1514,569,205,184,132,34,4,0,2633,..,325,125,69,166,319,360,263,142,1769
SOS33,..,233,5206,12410,17450,20592,18303,8512,1285,83983,..,1233,3909,3339,3921,3546,1879,533,46,18408,..,54,245,620,1043,765,425,268,153,3577,36654,..,..,..,..,..,..,..,..,36654,..,7944,..,..,..,..,..,..,..,7944,..,8568,3777,1788,1339,565,85,0,0,16117,..,785,439,312,449,747,813,525,243,4307,..,707,651,382,457,451,323,137,22,3141,..,390,652,434,692,1040,945,347,34,4547,..,467,1113,1399,2766,4663,4554,2333,573,17861,665,880,805,503,555,796,989,371,67,5624,11,12,52,20,20,25,19,9,0,182,37325,21276,16848,21199,28695,33177,28338,13035,2429,202335,..,438,7442,14982,19997,21613,16059,5637,538,86698,..,1859,4476,3779,4137,3349,1363,293,18,19283,..,286,1491,2262,2451,1318,847,699,398,9751,34064,..,..,..,..,..,..,..,..,34064,..,8496,..,..,..,..,..,..,..,8496,..,5146,2097,710,574,364,66,3,0,8965,..,585,212,113,339,785,1123,974,451,4590
SOS37,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS40,..,659,22667,44872,41622,40280,36466,21218,5703,213484,..,3903,18165,10485,7911,5894,3042,915,143,50456,..,131,745,2412,3804,2659,1119,568,426,11858,103838,..,..,..,..,..,..,..,..,103838,..,30372,..,..,..,..,..,..,..,30372,..,21878,15265,5103,3427,1712,228,3,0,47608,..,3742,3483,1307,1118,1340,1086,500,308,12890,..,2447,3204,1078,660,508,248,46,13,8208,..,6642,9937,2996,2238,2107,1391,446,79,25839,..,2157,8116,8437,10476,11988,10116,5765,3015,60065,1385,1889,2172,1458,1203,949,667,278,103,10099,35,77,104,75,90,94,140,36,11,660,105257,73896,83858,78226,72550,67520,54493,29774,9804,575373,..,1580,31283,48140,42114,40073,34236,16270,2598,216296,..,5832,19361,10315,7652,5396,2532,604,66,51770,..,991,5785,11244,13128,7815,3490,2380,1667,46497,98186,..,..,..,..,..,..,..,..,98186,..,31250,..,..,..,..,..,..,..,31250,..,14793,9344,2224,1565,1163,264,16,0,29365,..,3318,2327,655,978,2499,2547,1606,994,14933
SOS41,..,162,4640,8445,9746,11200,12609,8049,1874,56729,..,1419,4809,2838,2485,2011,1135,366,60,15125,..,52,309,692,1050,620,274,162,91,3247,27733,..,..,..,..,..,..,..,..,27733,..,6064,..,..,..,..,..,..,..,6064,..,6207,2754,1059,802,348,40,0,0,11205,..,772,523,248,239,321,296,126,65,2602,..,401,430,210,181,143,64,9,7,1449,..,730,1049,483,472,542,396,151,41,3857,..,700,2038,1943,2909,4129,3659,2197,1091,18656,445,611,595,442,391,374,273,103,31,3270,9,15,44,23,15,11,6,5,3,127,28187,17121,17189,16384,18293,19691,18758,11168,3256,150060,..,353,6220,9737,10589,11750,12179,6267,884,57981,..,2236,5107,2868,2526,1876,928,249,39,15839,..,441,2145,3237,3411,1617,716,531,341,12444,26586,..,..,..,..,..,..,..,..,26586,..,6315,..,..,..,..,..,..,..,6315,..,3828,1408,432,335,248,81,6,0,6341,..,582,275,106,231,476,527,373,214,2780
SOS42,..,59,643,1164,1377,2008,2223,1175,262,8923,..,169,588,378,395,394,237,71,3,2236,..,3,33,94,140,109,47,26,21,468,3829,..,..,..,..,..,..,..,..,3829,..,729,..,..,..,..,..,..,..,729,..,797,377,139,107,51,17,0,0,1488,..,159,91,29,54,80,51,30,10,495,..,42,34,23,27,26,6,0,0,157,..,73,85,56,75,98,84,30,13,512,..,115,272,271,508,782,853,422,175,3399,79,79,67,65,81,71,72,21,0,538,0,0,3,0,0,0,0,0,0,4,3911,2227,2198,2224,2760,3624,3580,1775,484,22778,..,82,874,1353,1542,2199,2046,888,114,9094,..,238,661,429,410,388,197,41,5,2369,..,44,247,346,383,181,80,65,46,1387,3677,..,..,..,..,..,..,..,..,3677,..,800,..,..,..,..,..,..,..,800,..,491,195,63,42,38,6,0,0,832,..,102,47,26,35,72,69,49,32,438
SOS43,..,65,1748,4156,5906,7119,6386,2878,456,28720,..,323,1318,1105,1291,1304,666,163,16,6181,..,17,50,187,405,266,131,61,50,1162,11937,..,..,..,..,..,..,..,..,11937,..,2764,..,..,..,..,..,..,..,2764,..,2964,1275,476,324,157,25,0,0,5217,..,242,125,61,104,178,137,100,53,1002,..,160,157,70,70,83,41,11,6,595,..,126,226,139,180,288,200,55,14,1227,..,212,458,552,1161,2050,1816,829,204,7292,194,258,243,159,145,166,153,61,13,1388,0,22,47,22,8,0,5,4,0,106,12131,7151,5650,6927,9593,11614,9565,4170,806,67604,..,142,2374,4991,6489,7358,5724,1926,206,29218,..,517,1430,1203,1404,1205,501,95,9,6370,..,65,349,536,680,398,211,171,99,2513,11157,..,..,..,..,..,..,..,..,11157,..,2923,..,..,..,..,..,..,..,2923,..,1700,708,202,152,95,10,0,0,2868,..,171,91,39,69,158,209,197,100,1029
SOS47,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS50,..,991,35610,79413,74330,65437,55211,29840,7320,348143,..,6556,31339,18712,12468,8545,4190,1282,223,83304,..,172,1097,3417,5331,3503,1586,735,459,16309,189663,..,..,..,..,..,..,..,..,189663,..,50210,..,..,..,..,..,..,..,50210,..,35926,20992,6873,4151,1809,328,3,0,70075,..,5966,5398,2009,1611,1881,1514,847,438,19663,..,3018,4554,1819,1118,689,340,124,13,11683,..,8034,13862,4565,3152,2791,1874,683,145,35108,..,3645,13953,13973,13832,15292,13517,7823,3439,85477,2213,2683,2954,2214,1796,1394,1054,487,150,14954,118,115,228,177,174,242,269,91,20,1424,191995,117300,129997,133170,117962,101588,79884,41912,12213,926017,..,2361,53421,89261,77572,65301,50258,21779,3477,363434,..,10582,35683,18656,12473,7687,3196,833,107,89216,..,1563,9424,17142,19050,10604,4599,2925,1968,67281,179680,..,..,..,..,..,..,..,..,179680,..,51636,..,..,..,..,..,..,..,51636,..,25208,12741,3112,2004,1445,369,13,0,44889,..,5453,3528,1194,1597,3735,4436,2702,1628,24273
SOS51,..,216,5475,11059,11186,11121,9733,5426,1261,55469,..,1911,6113,4054,3026,2276,1066,282,47,18786,..,64,283,834,1094,563,261,139,93,3322,36530,..,..,..,..,..,..,..,..,36530,..,5812,..,..,..,..,..,..,..,5812,..,6560,2321,975,623,280,44,0,0,10802,..,1090,703,371,306,371,313,137,63,3361,..,571,648,313,218,147,66,13,5,1980,..,913,1533,676,643,640,380,122,26,4923,..,933,2461,2408,3142,3734,3179,1666,689,18211,605,695,746,611,527,553,610,238,48,4627,14,25,56,21,10,21,19,12,3,188,37156,18789,20337,21311,20772,19709,15664,8038,2234,164009,..,439,7997,13048,12145,11263,9003,3981,612,58492,..,2912,6934,4248,3163,2049,793,208,20,20319,..,489,2372,3744,3293,1425,693,455,279,12745,34444,..,..,..,..,..,..,..,..,34444,..,6005,..,..,..,..,..,..,..,6005,..,4203,1180,417,338,223,67,3,0,6421,..,848,359,173,339,629,598,374,186,3509
SOS52,..,86,686,1203,1374,1689,1771,942,219,7973,..,279,784,526,473,468,239,81,7,2852,..,11,44,107,155,109,65,30,10,527,5044,..,..,..,..,..,..,..,..,5044,..,605,..,..,..,..,..,..,..,605,..,965,418,221,163,53,4,0,0,1832,..,308,164,110,96,111,71,30,15,894,..,49,59,26,30,31,18,5,0,225,..,71,107,76,85,132,96,34,8,602,..,143,302,332,610,887,869,420,124,3677,133,130,92,104,80,97,93,29,9,764,0,3,4,0,0,0,0,0,0,12,5173,2646,2664,2709,3060,3575,3223,1555,383,24996,..,125,965,1462,1512,1814,1635,670,94,8285,..,401,875,596,530,415,176,45,4,3050,..,110,431,563,466,259,144,109,36,2117,4749,..,..,..,..,..,..,..,..,4749,..,685,..,..,..,..,..,..,..,685,..,679,186,90,65,37,5,0,0,1067,..,241,101,71,100,146,127,61,34,893
SOS53,..,70,1546,4094,5974,7123,6135,2691,437,28078,..,336,1294,1209,1357,1269,684,159,15,6322,..,15,60,203,315,262,133,76,36,1107,12251,..,..,..,..,..,..,..,..,12251,..,2373,..,..,..,..,..,..,..,2373,..,2867,1132,493,342,142,14,0,0,4992,..,316,158,103,118,180,223,113,59,1270,..,150,184,87,102,90,73,24,3,715,..,108,238,138,170,234,204,72,8,1172,..,261,506,559,1057,1623,1569,687,157,6419,268,299,239,198,176,217,236,102,24,1762,7,7,21,7,0,10,9,4,0,72,12527,6809,5378,7086,9622,11153,9280,3926,745,66532,..,124,2313,5243,6767,7488,5386,1802,182,29292,..,508,1574,1358,1552,1221,442,102,3,6770,..,68,348,647,702,365,216,174,105,2628,11277,..,..,..,..,..,..,..,..,11277,..,2504,..,..,..,..,..,..,..,2504,..,1737,665,209,136,99,21,0,0,2868,..,224,85,47,89,206,269,255,177,1358
SOS57,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS60,..,118,3983,5919,5547,5591,5565,3204,798,30723,..,728,3519,2073,1513,1084,583,214,30,9738,..,29,163,449,619,428,168,77,44,1980,15722,..,..,..,..,..,..,..,..,15722,..,3953,..,..,..,..,..,..,..,3953,..,3159,1816,684,496,219,37,0,0,6410,..,533,548,166,148,201,186,90,48,1919,..,534,1574,292,102,52,41,19,7,2633,..,1056,2693,540,290,292,205,68,20,5168,..,266,1197,1143,1390,1877,1622,965,470,8936,224,361,473,273,209,175,127,46,13,1906,0,6,17,4,3,11,12,4,0,67,15950,10742,15986,11533,10327,9943,8550,4685,1433,89149,..,287,5048,6207,5768,5749,5141,2468,388,31056,..,1073,3823,2051,1463,988,483,121,13,10017,..,255,1225,2001,2052,1121,528,365,226,7759,14802,..,..,..,..,..,..,..,..,14802,..,3958,..,..,..,..,..,..,..,3958,..,2101,1047,309,225,162,35,0,0,3876,..,436,316,103,158,348,380,246,125,2117
SOS61,..,170,3577,5467,5878,7024,7303,4556,1012,34983,..,1092,3487,2048,1647,1342,684,212,27,10550,..,42,231,494,680,409,177,126,71,2226,17914,..,..,..,..,..,..,..,..,17914,..,3832,..,..,..,..,..,..,..,3832,..,4064,1884,729,599,244,46,0,0,7569,..,542,419,169,184,229,184,104,36,1871,..,383,657,150,102,76,48,14,3,1429,..,614,1306,323,329,391,302,135,34,3438,..,428,1364,1298,1914,2478,2411,1414,621,11925,283,474,441,314,272,262,140,59,7,2246,8,11,17,11,10,11,8,0,0,65,18202,11660,13381,10999,11611,12465,11294,6625,1804,98035,..,334,4614,5997,6450,7260,6924,3409,491,35484,..,1607,3703,1959,1693,1168,540,140,15,10817,..,389,1755,2500,2449,1112,550,438,248,9442,17131,..,..,..,..,..,..,..,..,17131,..,4007,..,..,..,..,..,..,..,4007,..,2619,911,322,292,209,42,0,0,4406,..,411,216,92,154,409,344,261,119,2011
SOS62,..,12,364,705,932,1269,1413,742,114,5553,..,90,406,322,292,277,182,47,3,1622,..,3,24,69,83,61,31,19,12,302,2290,..,..,..,..,..,..,..,..,2290,..,460,..,..,..,..,..,..,..,460,..,514,260,108,93,39,4,0,0,1022,..,45,42,23,29,27,22,7,7,198,..,37,42,19,16,17,9,7,0,140,..,37,52,32,38,60,55,23,4,312,..,40,143,159,287,469,481,269,79,1927,34,47,50,30,28,47,30,3,4,273,0,0,0,0,0,0,0,0,0,6,2321,1287,1383,1470,1794,2263,2219,1123,223,14087,..,28,479,800,1060,1416,1257,503,53,5602,..,138,456,335,294,267,121,30,0,1643,..,34,158,225,215,125,64,45,22,904,2204,..,..,..,..,..,..,..,..,2204,..,483,..,..,..,..,..,..,..,483,..,303,134,38,37,26,3,0,0,536,..,27,20,14,16,35,61,44,17,227
SOS63,..,39,1224,2912,3969,5194,4726,2003,291,20362,..,282,1232,1169,1261,1153,623,136,15,5872,..,11,67,209,310,235,102,67,21,1021,8564,..,..,..,..,..,..,..,..,8564,..,1922,..,..,..,..,..,..,..,1922,..,2164,1024,368,261,103,17,0,0,3929,..,158,90,54,80,143,126,61,42,760,..,147,145,74,63,60,34,7,5,541,..,100,254,98,128,178,168,69,10,1011,..,106,351,434,786,1438,1365,590,150,5225,173,187,190,131,111,115,85,33,7,1039,0,6,16,9,7,4,0,4,0,44,8734,5136,4589,5460,6992,8623,7241,2978,541,50282,..,92,1674,3471,4502,5417,4060,1301,118,20629,..,412,1429,1244,1249,1037,412,68,3,5860,..,71,347,565,613,382,182,141,60,2358,8050,..,..,..,..,..,..,..,..,8050,..,1996,..,..,..,..,..,..,..,1996,..,1300,542,183,124,73,13,0,0,2229,..,133,47,28,50,158,155,118,92,788
SOS67,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS70,..,98,2802,4513,3553,2825,1923,820,124,16666,..,622,2277,1367,958,628,267,72,3,6197,..,25,98,262,317,223,115,37,21,1094,11461,..,..,..,..,..,..,..,..,11461,..,2011,..,..,..,..,..,..,..,2011,..,1800,935,354,182,63,3,0,0,3336,..,420,392,124,136,132,122,57,21,1419,..,273,616,164,96,80,43,7,0,1289,..,602,1301,410,308,276,169,51,7,3124,..,303,919,745,900,955,829,299,71,5021,224,223,318,225,178,256,356,127,19,1920,5,11,29,10,10,9,20,3,0,105,11696,6393,9685,8183,6653,5443,3853,1477,267,53636,..,264,4000,4911,3582,2600,1534,464,39,17389,..,887,2592,1498,928,537,195,34,0,6657,..,154,715,1124,1015,509,251,118,56,3949,10963,..,..,..,..,..,..,..,..,10963,..,2047,..,..,..,..,..,..,..,2047,..,1191,517,193,91,54,4,0,0,2052,..,345,296,88,152,288,302,164,60,1704
SOS71,..,179,1090,1558,1155,1012,539,170,20,5730,..,199,816,591,410,254,110,15,3,2396,..,21,67,97,116,80,55,10,8,452,5211,..,..,..,..,..,..,..,..,5211,..,670,..,..,..,..,..,..,..,670,..,1065,427,149,67,21,0,0,0,1724,..,423,294,229,170,140,71,22,6,1360,..,70,164,53,30,25,11,0,0,357,..,112,331,140,106,89,43,13,0,823,..,103,345,294,315,375,249,98,14,1794,118,104,153,100,61,72,63,25,3,698,0,4,3,3,0,3,3,0,0,21,5338,2950,3691,3212,2423,2077,1145,339,56,21228,..,268,1419,1591,1132,905,389,113,8,5821,..,271,939,573,427,220,62,10,5,2500,..,142,443,553,412,221,114,43,12,1936,4788,..,..,..,..,..,..,..,..,4788,..,631,..,..,..,..,..,..,..,631,..,800,318,97,59,10,4,0,0,1277,..,359,216,149,201,228,131,57,11,1352
SOS72,..,246,696,702,584,436,220,54,7,2947,..,108,255,212,168,97,33,10,0,879,..,9,38,61,62,43,33,19,0,271,2901,..,..,..,..,..,..,..,..,2901,..,215,..,..,..,..,..,..,..,215,..,723,333,112,35,11,0,0,0,1216,..,416,245,170,155,105,61,21,5,1179,..,35,18,12,10,11,3,3,0,91,..,22,34,8,31,16,12,5,0,130,..,30,140,117,154,133,84,27,4,690,67,56,60,45,32,45,48,17,0,365,0,5,0,0,0,0,0,0,0,5,2963,1868,1819,1446,1230,904,498,149,23,10907,..,313,796,741,586,363,160,18,0,2974,..,146,271,222,160,72,22,3,0,900,..,105,322,263,243,163,74,31,5,1208,2611,..,..,..,..,..,..,..,..,2611,..,235,..,..,..,..,..,..,..,235,..,588,239,77,44,12,0,0,0,968,..,319,157,131,178,191,154,43,16,1183
