SA2_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
101021007,51,1733,769,330,1886,0.8,1449,2.2
101021008,37,1950,973,350,2334,0.8,1982,2.6
101021009,37,1700,1002,330,2233,0.9,1701,2.1
101021010,36,1700,1108,310,2412,0.9,1791,2.1
101021012,37,2300,1350,430,3332,0.8,3006,2.9
101021610,31,2600,1624,530,3444,0.8,3362,3.1
101021611,42,2415,1240,462,3117,0.8,2909,2.9
101031013,48,1083,723,200,1759,0.7,1257,2.2
101031014,43,1300,782,290,1911,0.7,1402,2.2
101031015,49,1627,831,300,2068,0.7,1626,2.4
101031016,36,1700,950,413,2275,0.8,2039,2.5
101041017,50,1517,608,330,1366,0.7,1139,2.2
101041018,54,1600,652,350,1453,0.7,1244,2.2
101041019,46,1517,706,320,1655,0.7,1283,2.3
101041020,51,1300,601,265,1457,0.8,1219,2.4
101041021,53,1733,752,375,1761,0.7,1399,2.3
101041022,62,758,442,0,866,1.1,875,2.4
101041023,53,1517,581,270,1345,0.7,1039,2.2
101041024,53,1387,653,300,1502,0.8,1304,2.3
101041025,54,1600,689,343,1614,0.7,1247,2.1
101041026,55,1517,616,310,1451,0.7,1159,2.2
101041027,58,1490,583,300,1342,0.7,1037,2.1
101051539,39,1635,746,320,1911,0.7,1418,2.3
101051540,48,1733,739,300,1922,0.7,1522,2.5
101061541,41,1768,885,340,2185,0.8,1745,2.5
101061542,43,2275,1124,400,2916,0.8,2549,2.8
101061543,41,1300,662,250,1526,0.7,1171,2.4
101061544,49,1083,652,225,1572,0.7,1175,2.3
102011028,43,2490,923,520,2562,0.8,2302,2.8
102011029,49,2167,790,450,2187,0.7,1812,2.5
102011030,48,2167,777,350,2102,0.8,1772,2.6
102011031,50,2167,692,410,2087,0.7,1433,2.4
102011032,39,1885,797,390,1995,0.8,1460,2.2
102011033,36,2080,846,450,2352,0.8,2197,3
102011034,47,2095,691,400,1952,0.8,1341,2.4
102011035,38,1980,812,420,2185,0.8,1946,2.8
102011036,39,2000,798,425,2287,0.8,1987,2.8
102011037,45,2000,764,400,2264,0.8,1718,2.5
102011038,44,2167,784,460,2144,0.8,1762,2.6
102011039,43,2500,940,525,2506,0.7,2133,2.6
102011040,47,2100,681,400,1792,0.8,1335,2.2
102011041,41,2434,897,500,2520,0.8,2184,2.8
102011042,47,2000,640,380,1727,0.8,1257,2.2
102011043,41,1950,694,400,1900,0.8,1424,2.5
102021044,40,2000,718,400,1947,0.8,1511,2.6
102021045,34,1733,690,400,1647,0.8,1496,2.8
102021046,45,1733,635,360,1569,0.8,1230,2.3
102021047,40,2000,786,425,2084,0.8,1801,2.7
102021048,42,1700,624,360,1536,0.8,1238,2.4
102021049,44,2600,849,450,2576,0.8,2573,3.1
102021050,52,1733,593,380,1449,0.7,1076,2.2
102021051,40,2000,824,400,2263,0.8,2005,2.8
102021052,45,1733,665,395,1701,0.7,1411,2.5
102021053,47,1950,663,365,1626,0.8,1179,2.1
102021054,47,1950,635,350,1609,0.8,1157,2.2
102021055,38,1866,786,425,2069,0.8,1791,2.7
102021056,35,2167,788,495,2168,0.8,2019,3
102021057,40,1690,624,360,1538,0.8,1216,2.4
103011059,36,1800,800,360,2073,0.7,1778,2.7
103011060,46,1866,820,270,2211,0.8,1833,2.6
103011061,47,1517,755,280,1751,0.7,1396,2.3
103011612,38,1430,708,295,1648,0.7,1201,2
103011613,37,1733,868,350,2141,0.7,1791,2.6
103021062,41,867,658,180,1574,0.7,1216,2.4
103021063,45,1213,608,230,1427,0.7,1078,2.3
103021064,50,1159,591,210,1490,0.7,1157,2.3
103021065,42,1259,711,230,1688,0.7,1260,2.3
103021066,52,953,574,198,1394,0.7,1043,2.2
103021067,39,1300,736,260,1854,0.7,1394,2.4
103021068,45,1083,625,180,1556,0.7,1203,2.4
103021069,43,1083,763,200,1810,0.7,1355,2.3
103031070,46,1460,614,270,1510,0.7,1096,2.2
103031071,47,1517,684,270,1862,0.8,1405,2.4
103031072,37,1733,798,365,2164,0.7,1754,2.5
103031073,53,1083,494,225,1324,0.7,895,2.1
103031074,45,1651,670,280,1841,0.8,1415,2.5
103031075,0,0,0,0,0,0,0,0
103041076,42,1517,767,270,1977,0.8,1552,2.5
103041077,39,1517,754,300,1838,0.7,1362,2.2
103041078,34,1777,923,375,2322,0.8,2005,2.7
103041079,43,1777,849,260,2185,0.8,1808,2.6
104011080,43,1300,609,300,1413,0.7,1127,2.3
104011081,49,1365,549,300,1430,0.8,1193,2.5
104011082,56,1517,572,360,1359,0.7,1086,2.2
104021083,46,1517,641,370,1614,0.8,1308,2.5
104021084,43,1733,652,360,1556,0.8,1251,2.3
104021085,45,1733,652,360,1568,0.8,1219,2.3
104021086,44,1733,710,365,1887,0.8,1662,2.7
104021087,54,1200,536,280,1275,0.8,947,2.1
104021088,43,2000,834,455,2066,0.8,1876,2.7
104021089,45,1700,681,370,1690,0.8,1349,2.4
104021090,53,1685,601,350,1447,0.8,1169,2.3
104021091,44,1733,668,380,1602,0.8,1334,2.5
105011092,38,867,794,160,1685,0.8,1373,2.4
105011093,38,1096,943,190,2232,0.7,1719,2.3
105011094,39,867,665,189,1580,0.8,1252,2.4
105011095,44,1083,776,200,1816,0.7,1371,2.4
105011096,47,863,566,180,1353,0.8,1013,2.2
105021097,44,867,653,220,1623,0.7,1185,2.2
105021098,46,712,644,152,1288,0.8,1188,2.4
105031099,50,867,562,200,1382,0.7,1082,2.3
105031100,35,1517,844,300,1987,0.8,1677,2.6
105031101,35,1567,900,320,2077,0.8,1663,2.4
105031102,34,1517,850,320,1949,0.8,1623,2.6
105031103,42,1733,853,265,2154,0.8,1944,2.8
105031104,47,1083,629,200,1385,0.7,1147,2.3
105031105,40,1200,710,240,1732,0.7,1313,2.5
105031106,42,1100,616,230,1444,0.7,1163,2.4
106011107,36,1950,901,400,2360,0.8,2129,2.8
106011108,38,1517,614,320,1533,0.8,1256,2.5
106011109,42,1825,728,363,2039,0.8,1830,2.8
106011110,46,1820,708,300,1856,0.8,1493,2.5
106011111,35,1603,698,345,1762,0.8,1462,2.6
106011112,34,1755,834,330,2279,0.8,1934,2.6
106011113,41,2167,780,360,2248,0.8,2045,2.8
106021114,34,1880,828,390,2087,0.8,1751,2.6
106021116,38,2156,906,420,2552,0.8,2281,2.9
106021614,39,1733,762,350,1990,0.8,1590,2.5
106021615,35,1872,785,400,2079,0.8,1831,2.8
106021616,34,1647,725,330,1786,0.8,1471,2.5
106021617,40,1733,743,360,1904,0.7,1424,2.4
106021618,33,2015,940,420,2350,0.8,2206,2.9
106031119,52,1842,629,400,1569,0.7,1290,2.4
106031120,50,1517,561,370,1365,0.7,1112,2.3
106031121,54,1867,649,390,1600,0.7,1274,2.2
106031122,38,1517,649,320,1521,0.8,1270,2.5
106031123,42,2167,873,380,2468,0.8,2324,3
106031124,65,1636,557,350,1255,0.6,1054,2
106031125,40,1900,754,400,2019,0.8,1752,2.8
106041126,35,1517,774,310,1953,0.7,1627,2.5
