SA3_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
10102,373,6140,6516,6920,1012,7924,3770,250,4024,3824,183,4004,1549,87,1638,722,34,757,17164,7705,24870
10103,140,2591,2738,2418,772,3183,959,260,1216,905,205,1110,426,113,535,205,95,303,5049,4028,9085
10104,500,10239,10737,12030,2268,14303,3449,434,3878,2891,272,3163,1265,126,1389,713,60,769,20841,13402,34239
10105,203,4585,4785,4770,805,5570,1846,187,2030,1730,129,1855,810,56,872,459,42,501,9814,5798,15613
10106,200,3810,4010,4617,732,5353,1870,158,2022,1822,114,1934,978,63,1043,528,17,545,10017,4892,14912
10201,873,19505,20383,21438,3246,24682,9722,750,10473,9788,466,10259,3958,179,4135,1866,109,1975,47656,24245,71898
10202,779,17370,18145,19576,3089,22664,9277,702,9979,8699,434,9136,3949,222,4174,2074,104,2182,44351,21923,66274
10301,314,5277,5586,5681,960,6642,2424,270,2691,2317,132,2449,1096,95,1189,568,34,604,12400,6765,19166
10302,345,7318,7665,6915,1245,8162,2611,314,2923,2140,226,2367,1229,114,1344,651,55,704,13897,9277,23167
10303,264,6105,6372,5965,1110,7072,2325,257,2579,2128,176,2306,1043,92,1137,546,34,582,12268,7779,20045
10304,323,6474,6792,6968,1074,8043,3179,325,3505,2955,175,3123,1609,106,1720,761,53,810,15791,8213,23994
10401,325,6294,6615,7524,1692,9209,2554,296,2855,2087,151,2244,982,93,1071,611,44,655,14084,8569,22655
10402,537,10255,10795,11500,2354,13855,4745,535,5279,4196,312,4507,1950,138,2089,1184,84,1266,24117,13683,37796
10501,130,3074,3204,2197,999,3192,941,251,1188,737,164,901,426,108,531,305,65,367,4733,4654,9382
10502,156,3254,3405,2475,641,3113,1023,142,1164,748,96,845,314,40,358,200,40,238,4908,4210,9114
10503,400,8024,8424,8012,1745,9760,3667,561,4232,3217,375,3588,1719,221,1946,969,110,1075,17989,11036,29023
10601,586,8502,9088,10652,1564,12215,5487,420,5906,5028,279,5309,2457,111,2566,1361,52,1415,25577,10935,36513
10602,489,6977,7461,9599,1096,10689,5219,318,5538,5172,203,5370,2202,94,2301,1045,42,1087,23721,8725,32449
