SA3_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
10102,1167,1012,701,367,126,8,4358,17,229,380,443,340,182,50,7,1648,404,2254,2055,1585,1150,732,255,48,8488,192,917,1176,1352,1020,507,189,35,5379,816,2081,1767,1778,1475,747,291,86,9036,117,125,111,97,95,56,12,3,619,53,85,110,196,217,167,60,25,909,988,2289,1983,2064,1784,966,373,114,10563,11,47,51,56,41,48,22,0,275,392,642,551,525,599,444,271,93,3515,2026,7331,7371,7029,5630,3248,1287,303,34228
10103,196,249,224,127,51,4,1037,9,63,80,97,119,88,18,0,477,205,851,615,654,584,384,121,24,3442,93,304,312,449,432,248,90,23,1953,456,825,791,845,833,447,194,53,4448,58,53,39,43,49,32,12,4,291,25,43,37,75,116,78,31,9,418,542,918,874,955,991,563,242,65,5153,13,23,13,19,23,24,16,3,136,348,479,398,419,435,328,204,86,2701,1214,2830,2485,2839,2808,1763,739,207,14895
10104,367,379,590,613,211,41,2463,7,122,226,269,428,457,126,17,1649,163,1019,1162,1304,1685,1752,687,162,7928,88,484,746,1025,1522,1495,578,154,6087,827,2013,1970,2416,2981,2445,949,253,13850,106,125,128,136,207,179,48,16,936,61,88,110,223,409,399,242,52,1588,989,2222,2206,2775,3605,3024,1236,320,16371,10,24,29,39,109,143,76,23,452,722,567,621,892,1229,1353,1031,609,7011,1978,4691,5350,6680,9159,8831,3943,1336,41965
10105,175,156,201,166,59,7,954,10,84,116,104,120,102,21,5,560,173,718,615,528,510,424,172,50,3186,116,463,501,603,560,428,183,39,2892,613,1371,1212,1216,1240,795,330,73,6855,78,74,60,84,65,52,24,3,435,48,62,84,131,180,159,65,20,735,743,1499,1357,1429,1481,1004,414,95,8028,10,19,18,27,31,40,25,15,180,388,510,450,459,500,511,367,230,3418,1447,3474,3234,3306,3412,2664,1244,444,19223
10106,269,347,238,192,69,9,1292,10,63,129,182,148,136,28,3,698,153,723,807,887,626,500,179,38,3916,69,306,561,617,547,391,159,36,2683,548,1058,1015,1123,1063,613,273,45,5739,63,83,72,56,69,51,11,5,408,46,59,58,118,164,131,52,13,633,657,1206,1148,1291,1292,791,332,62,6783,8,8,13,33,23,35,23,8,154,294,330,331,423,506,469,375,157,2887,1190,2800,3258,3782,3385,2519,1164,306,18403
10201,1778,1504,1266,976,355,63,7166,72,368,570,651,663,608,184,33,3147,1019,4583,5540,4450,3258,2736,1122,289,22989,605,1860,2817,3552,3053,2294,1133,276,15585,2233,4303,4845,5230,5276,3408,1878,524,27701,291,250,263,304,343,305,127,26,1912,180,246,385,651,842,896,488,131,3824,2705,4801,5498,6185,6460,4605,2495,685,33434,64,101,140,170,218,303,203,60,1252,955,1119,1179,1253,1422,1715,1788,1471,10911,5466,14014,17524,17756,16336,13229,7277,2875,94475
10202,737,556,552,439,145,15,3037,59,289,408,338,357,335,82,15,1879,618,3134,3019,2324,1673,1457,577,128,12922,555,2010,2402,2630,2132,1532,646,136,12038,2695,6120,5813,5697,5442,3501,1844,486,31592,432,368,293,326,314,251,85,12,2085,201,293,423,599,690,664,296,76,3232,3328,6776,6535,6621,6445,4416,2221,571,36910,40,88,105,132,154,182,129,25,858,1205,1279,1353,1341,1339,1696,1838,1274,11329,5827,14140,14554,13944,12641,10055,5640,2169,78978
10301,292,290,286,225,96,19,1506,12,111,159,171,160,147,48,10,823,277,1197,1054,944,752,569,216,45,5051,145,480,549,689,673,463,227,65,3286,838,1742,1555,1530,1365,871,359,95,8355,113,104,92,110,90,66,11,6,597,57,87,98,142,206,208,72,29,909,1006,1928,1747,1779,1663,1143,449,133,9856,14,17,25,41,37,51,30,14,233,597,756,716,609,477,497,388,208,4241,2066,4760,4541,4521,4058,3093,1459,490,24993
10302,163,134,106,105,32,5,723,15,85,90,109,130,83,28,3,547,184,900,832,737,507,404,172,47,3770,105,396,497,635,641,521,200,59,3057,774,1756,1601,1618,1661,1053,435,106,8998,118,116,113,118,138,79,21,3,704,59,88,81,161,218,188,85,25,906,952,1960,1791,1896,2013,1321,542,130,10610,13,31,31,21,46,61,38,15,257,664,599,650,716,852,859,669,338,5339,1941,4141,4063,4252,4301,3351,1680,585,24305
10303,187,176,185,145,48,5,890,9,64,100,112,112,122,20,4,549,128,770,713,665,559,533,210,42,3625,76,388,498,664,679,466,211,46,3033,769,1818,1578,1732,1697,1052,496,90,9237,109,124,94,107,127,68,20,7,654,41,84,89,134,189,192,89,22,831,916,2026,1761,1973,2010,1318,602,114,10723,17,21,32,33,59,52,35,7,241,470,620,606,607,668,688,562,213,4424,1632,4015,3894,4228,4270,3319,1686,440,23485
