SA3_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
10102,100,158,261,40,51,92,42,151,193,56,298,351,151,722,874,182,464,645,452,385,839,517,493,1012,594,715,1311,813,593,1399,722,600,1324,841,498,1339,2009,800,2811,1729,75,1799,1745,189,1936,1332,23,1356,4645,269,4913,1050,60,1114,141,176,323,17164,6729,23890
10103,43,105,145,23,33,51,20,91,117,19,190,213,87,457,542,90,284,371,323,223,544,266,288,557,313,271,579,391,197,593,253,185,442,287,169,460,691,293,983,503,66,567,429,112,539,250,37,289,616,364,974,374,69,440,76,178,250,5049,3614,8668
10104,239,344,579,148,166,319,105,401,504,137,799,934,503,2272,2777,520,1446,1960,2055,962,3011,1658,1029,2694,1915,985,2896,2218,663,2877,1300,482,1782,1374,356,1731,2474,524,2999,1564,119,1684,1074,156,1232,596,39,632,1253,317,1567,1392,101,1499,317,614,935,20841,11774,32613
10105,103,170,270,52,76,130,43,182,224,54,342,399,170,953,1130,211,552,763,688,321,1004,549,441,986,631,451,1084,830,277,1110,603,235,837,618,168,793,1321,309,1628,976,40,1012,727,60,792,483,13,490,997,123,1125,633,44,676,132,249,381,9814,5015,14829
10106,101,128,228,42,47,92,53,122,176,44,301,338,188,803,986,181,410,591,600,308,911,536,374,915,620,401,1020,744,236,982,552,186,741,583,146,729,1141,218,1358,858,36,900,763,57,819,505,4,512,1612,126,1741,718,34,756,173,226,399,10017,4168,14185
10201,470,740,1209,201,295,490,182,672,851,215,1376,1586,700,3863,4561,799,2799,3600,2858,1655,4517,2519,1805,4326,3082,1705,4784,3640,1282,4917,2580,1043,3624,2741,848,3586,5877,1205,7079,4635,202,4836,4005,331,4336,2544,78,2619,7528,705,8232,2603,232,2837,479,920,1399,47656,21736,69388
10202,440,700,1140,157,222,380,156,572,723,238,1406,1641,791,3916,4709,963,2571,3531,3403,1395,4798,2834,1725,4554,3206,1666,4872,3727,1093,4820,2727,841,3567,2869,617,3486,5986,822,6804,4401,120,4526,3248,175,3424,1959,51,2005,4028,281,4306,2641,174,2818,588,975,1565,44351,19318,63668
10301,99,172,271,54,75,123,46,163,214,64,379,446,204,932,1139,213,626,843,718,402,1125,675,544,1217,871,552,1429,959,407,1363,724,360,1087,775,253,1025,1670,393,2062,1320,65,1384,950,78,1030,674,19,695,1343,140,1479,881,67,952,161,249,415,12400,5890,18286
10302,181,250,434,91,112,207,75,278,357,90,607,694,350,1596,1951,347,758,1102,1303,570,1874,967,685,1654,1094,650,1746,1197,428,1628,811,309,1120,870,233,1100,1650,401,2045,1178,34,1210,838,77,918,443,21,460,1018,146,1158,1132,74,1199,261,544,810,13897,7777,21670
10303,124,267,394,68,102,171,52,270,323,83,492,578,297,1441,1737,274,679,961,1010,422,1431,803,547,1345,852,474,1322,951,311,1271,665,294,959,692,219,912,1504,389,1890,1102,50,1149,846,89,938,484,17,502,1351,202,1553,894,52,945,213,357,574,12268,6677,18946
10304,123,230,352,62,98,158,64,224,286,101,448,543,240,1174,1411,296,698,994,899,474,1371,810,607,1416,934,638,1575,1145,452,1599,894,395,1287,937,314,1251,2021,536,2562,1659,74,1728,1291,120,1411,901,24,922,2114,249,2362,1101,101,1204,208,331,540,15791,7177,22966
10401,172,233,407,81,93,171,72,284,353,119,548,668,348,1573,1922,354,994,1343,1536,578,2120,1225,713,1936,1394,616,2010,1380,371,1754,890,282,1176,925,227,1147,1607,290,1894,992,59,1050,676,58,732,349,23,374,733,125,860,1012,79,1088,225,396,619,14084,7540,21623
10402,215,339,552,129,138,269,128,401,533,148,860,1008,487,2178,2668,545,1665,2210,1899,947,2848,1598,1068,2669,1987,1032,3012,2336,713,3044,1542,516,2058,1608,399,2011,3022,552,3572,2123,106,2227,1523,119,1644,912,42,952,1973,256,2225,1604,188,1793,345,580,928,24117,12111,36221
10501,93,127,215,32,41,73,23,110,136,37,243,284,103,599,704,134,234,368,357,197,557,289,293,583,324,233,557,352,205,557,228,165,397,258,156,415,549,235,781,377,29,410,305,91,398,178,12,187,444,122,563,500,36,536,155,255,409,4733,3393,8126
10502,71,111,181,22,39,63,25,133,158,38,247,288,126,763,886,137,358,495,429,228,654,370,287,658,403,261,661,406,208,613,242,167,408,265,149,412,540,231,771,411,30,436,313,56,364,217,17,234,367,104,470,418,25,442,116,210,326,4908,3621,8533
10503,211,282,488,61,108,169,84,260,345,87,589,681,372,1563,1935,374,789,1159,1240,537,1787,1033,767,1799,1265,775,2034,1437,595,2031,1070,448,1514,1127,371,1492,2443,551,2995,1670,96,1765,1221,111,1328,781,35,811,1682,232,1909,1489,107,1598,343,560,900,17989,8763,26748
10601,264,329,593,102,105,204,105,288,395,140,639,774,430,1774,2207,552,1022,1576,1725,599,2321,1452,828,2278,1649,863,2510,1949,598,2539,1469,468,1937,1536,351,1886,3316,669,3982,2547,69,2618,1992,152,2139,1283,36,1318,2920,284,3205,1816,93,1906,340,417,758,25577,9578,35151
10602,168,237,400,67,93,157,65,237,302,94,476,570,330,1424,1755,378,866,1240,1381,506,1890,1240,696,1932,1425,727,2148,1691,549,2234,1327,492,1820,1477,350,1827,3407,551,3961,2629,65,2697,2083,113,2199,1293,23,1313,2895,130,3022,1545,92,1634,236,301,535,23721,7914,31638
10603,260,316,575,127,102,227,97,263,360,115,585,709,426,1684,2107,446,1255,1701,1810,693,2507,1492,781,2267,1791,800,2589,1958,528,2492,1262,413,1672,1238,289,1525,2563,423,2984,1745,61,1809,1391,82,1478,815,19,833,1853,187,2039,1448,90,1541,302,411,711,21145,8984,30134
10604,110,133,245,43,37,83,51,124,177,48,244,294,162,629,791,199,369,567,545,219,768,417,295,717,493,390,877,577,222,802,411,202,611,426,185,615,977,355,1334,728,34,759,645,91,741,380,14,394,910,113,1022,639,41,683,120,205,330,7891,3911,11804
10701,228,286,524,78,109,185,102,347,449,131,665,796,411,1848,2255,496,932,1429,1569,541,2110,1319,606,1927,1446,594,2042,1685,411,2101,1278,301,1578,1243,286,1532,2790,367,3159,2191,55,2246,1705,61,1768,1093,20,1114,2231,73,2308,1075,73,1147,254,347,596,21335,7925,29260
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
