SA3_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
10102,5803,581,288,38,10,6718,8675,1143,511,15,5,10351,1269,941,1374,12,4,3603,404,124,49,0,0,583,35,101,33,0,0,174,689,257,298,6,7,1255,460,52,63,8,13,591,12,11,5,0,0,30,2873,1489,1825,27,26,6232,204,42,32,8,9,296,830,195,203,27,13,1270,18389,3444,2857,122,59,24870
10103,3082,91,145,42,36,3395,2242,67,107,3,12,2431,654,167,291,10,7,1122,47,14,5,0,0,65,46,10,6,0,0,57,505,52,115,6,25,702,157,35,75,29,52,353,13,3,0,0,0,16,1417,276,495,44,85,2325,227,24,24,10,15,292,494,28,72,26,28,648,7462,482,839,129,171,9085
10104,14049,965,435,482,57,15978,7435,302,171,26,21,7960,2217,659,758,17,9,3661,353,173,78,15,0,620,135,95,29,4,0,261,1589,217,179,40,17,2048,214,24,30,155,26,454,42,12,4,0,5,71,4562,1189,1076,234,54,7111,545,193,55,28,15,839,1762,249,148,177,17,2354,28348,2890,1878,953,166,34239
10105,5398,235,28,42,10,5705,4466,124,23,8,9,4621,1632,417,208,27,3,2284,403,83,38,0,0,524,46,69,18,0,0,128,639,62,36,7,0,754,114,16,10,17,3,160,14,3,4,0,0,22,2837,655,318,54,12,3876,260,81,4,7,3,356,880,94,36,27,13,1055,13838,1184,413,137,41,15613
10106,5246,167,22,38,18,5503,4959,74,10,9,10,5067,1104,234,104,10,4,1454,139,18,7,0,0,164,82,33,22,0,5,141,728,49,21,5,8,816,166,19,7,21,4,211,11,4,4,0,0,23,2232,352,173,35,25,2819,400,48,11,9,13,481,895,89,30,17,22,1052,13734,727,248,109,88,14912
10201,19315,3240,1573,184,35,24346,20527,1567,1249,41,21,23402,6990,2124,3164,273,62,12613,645,684,439,0,8,1779,167,158,192,0,0,519,2009,361,425,48,18,2866,272,77,40,23,7,422,55,19,31,7,0,112,10139,3422,4291,357,96,18306,725,1132,390,20,10,2271,2088,702,658,97,31,3574,52802,10063,8149,695,195,71898
10202,18632,1854,1002,184,25,21703,20188,928,461,29,13,21621,9123,1692,1526,42,29,12412,604,628,347,0,5,1585,197,217,179,3,5,596,2333,293,239,18,15,2897,405,66,21,111,9,612,63,26,12,21,0,122,12722,2927,2323,189,56,18226,557,390,163,16,10,1126,2582,583,337,82,11,3607,54684,6681,4280,505,120,66274
10301,5936,311,98,28,21,6386,5700,181,41,5,7,5936,2303,849,443,12,9,3614,344,122,52,0,4,526,51,63,11,0,0,130,734,118,41,0,10,903,98,26,12,10,4,145,26,9,0,0,0,31,3552,1187,557,23,23,5345,253,31,32,4,3,327,891,160,77,48,5,1167,16325,1867,804,103,62,19166
10302,8628,160,65,103,40,9001,5772,73,16,23,22,5901,1612,326,349,16,3,2311,555,41,77,0,0,673,142,49,38,0,0,236,1429,87,59,11,18,1608,336,46,38,55,19,490,52,7,13,4,0,78,4128,553,582,87,42,5395,675,44,38,13,17,789,1714,102,143,76,42,2084,20913,935,848,307,161,23167
10303,7294,254,15,68,23,7660,5605,99,10,27,5,5747,2123,545,114,26,6,2810,456,117,35,0,0,613,49,46,11,0,0,111,758,64,16,11,8,854,139,14,7,31,15,199,19,9,0,0,0,26,3541,790,191,60,23,4617,334,97,5,9,7,455,1268,149,24,121,13,1566,18049,1388,252,280,70,20045
10304,7260,298,62,116,10,7751,7550,135,43,71,13,7808,3065,763,299,27,5,4156,521,192,84,0,0,799,94,89,53,0,0,233,928,101,35,18,10,1093,177,23,13,27,13,252,27,7,3,0,0,40,4820,1172,474,72,33,6570,307,95,33,15,9,460,1083,166,104,35,12,1412,21025,1869,727,304,77,23994
10401,8678,351,175,561,48,9821,5470,155,52,73,9,5760,1840,470,465,27,16,2818,202,58,41,0,0,305,85,113,24,0,0,224,1118,134,135,29,12,1436,143,23,29,132,17,347,30,19,5,5,0,54,3417,819,702,188,46,5179,274,22,34,17,14,366,1128,150,106,129,13,1521,18972,1494,1066,976,137,22655
10402,11833,973,671,646,76,14205,9300,608,339,38,15,10300,3202,1186,1452,27,27,5896,416,233,215,3,0,869,226,147,126,0,0,497,1679,302,311,34,23,2349,244,40,47,163,33,529,44,17,14,5,3,76,5820,1929,2157,231,86,10222,436,188,81,23,11,746,1476,300,320,205,22,2324,28864,4001,3567,1156,207,37796
10501,2630,17,7,277,115,3050,1535,5,6,32,24,1605,370,58,47,3,4,483,375,56,22,7,6,469,266,37,13,0,6,330,509,28,19,28,11,590,430,69,53,52,24,634,22,3,0,0,0,37,1971,256,165,87,55,2538,434,8,15,52,29,531,1362,65,55,135,44,1662,7938,354,249,589,262,9382
10502,3378,27,3,72,78,3559,2269,13,0,3,10,2304,680,63,72,0,3,814,149,34,18,0,3,203,88,20,20,0,0,128,570,26,25,3,13,644,232,22,19,41,26,333,4,3,3,0,0,25,1721,165,163,49,44,2146,209,7,23,5,41,283,705,27,48,22,25,830,8289,242,240,153,188,9114
10503,8579,299,93,102,40,9112,8148,131,33,13,27,8351,2988,684,730,27,10,4445,550,112,165,0,5,840,151,81,66,0,0,304,1513,74,75,21,8,1692,289,35,72,60,31,473,51,14,20,0,0,82,5543,999,1132,102,55,7836,525,189,68,13,4,798,2316,242,211,107,54,2928,25108,1860,1540,335,180,29023
10601,10933,381,66,94,32,11503,13275,293,50,14,20,13659,4478,1201,293,12,14,5995,583,194,68,0,0,845,103,78,18,0,0,199,1289,120,30,9,8,1455,254,19,6,60,9,358,37,13,3,0,0,54,6742,1628,416,92,33,8907,457,78,9,9,6,560,1520,230,70,61,9,1887,32926,2605,610,272,97,36513
10602,8099,571,53,117,11,8862,11926,365,35,8,7,12346,4650,1254,421,28,5,6357,643,220,86,0,3,955,211,137,66,0,3,421,962,158,42,7,7,1176,388,32,5,42,4,472,22,13,0,0,0,41,6872,1815,627,78,22,9417,349,305,14,5,4,678,857,193,75,21,4,1148,28109,3253,806,227,51,32449
