GCCSA_PEP_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
1GSYD,37,2427,879,470,2374,0.9,2074,2.7
1RNSW,42,1733,724,330,1852,0.8,1434,2.4
19799,52,0,1687,0,0,0,1499,0
2GMEL,37,2000,840,390,2243,0.9,1898,2.6
2RVIC,43,1430,717,285,1808,0.7,1388,2.4
29799,48,2167,2543,0,0,0,2250,0
3GBRI,36,1863,838,380,2175,0.8,1845,2.6
3RQLD,41,1650,743,345,1868,0.8,1496,2.5
39799,40,400,1359,0,2750,1,2250,1.5
4GADE,39,1560,757,320,1988,0.8,1545,2.5
4RSAU,47,1150,658,220,1525,0.7,1198,2.3
49799,42,0,1828,0,0,0,0,0
5GPER,37,1907,844,350,2259,0.8,1859,2.6
5RWAU,41,1560,867,270,2013,0.8,1589,2.5
59799,45,1733,2700,0,1375,0.7,1833,1.7
6GHOB,38,1517,776,350,1920,0.8,1540,2.4
6RTAS,44,1271,647,250,1562,0.8,1227,2.3
69799,47,0,1643,0,0,0,0,0
7GDAR,35,2097,1093,390,2485,0.9,2171,2.6
7RNTE,35,1733,634,150,1407,1.2,1674,3.1
79799,48,0,2208,0,0,0.7,1649,2.3
8ACTE,35,2080,1200,450,2872,0.8,2370,2.5
89799,52,0,1625,0,0,0,0,0
9OTER,44,1300,906,200,1890,0.9,1508,2.4
99799,0,0,0,0,0,0,0,0
