SED_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
SED51804,1142,2131,865,459,661,174,27,5460,744,1547,860,489,810,185,20,4662,485,835,558,352,792,180,7,3208,188,260,145,83,609,202,4,1497,9033,10713,4673,2980,6575,1518,163,35650
SED51902,880,1756,853,624,1005,207,12,5338,439,995,742,628,866,149,11,3833,180,329,307,283,555,94,3,1757,48,65,35,32,233,45,0,468,7286,10099,4545,4042,7725,1653,53,35413
SED52006,946,1804,876,587,1175,131,3,5521,668,1573,1117,950,1635,178,13,6140,414,781,570,544,1238,168,3,3730,114,153,82,95,536,107,0,1089,6056,8966,4417,3867,8540,1216,47,33107
SED52102,821,1469,646,447,1196,210,16,4798,434,887,619,482,1126,128,9,3679,195,419,248,233,667,105,0,1868,81,89,46,32,348,53,0,651,6695,8771,3701,3043,8966,1639,40,32864
SED52205,1137,2017,715,414,1072,349,27,5731,637,1333,740,447,1171,304,12,4639,286,552,323,247,847,259,3,2508,136,164,69,69,532,237,3,1206,8296,11039,4133,2724,8120,2754,190,37251
SED52301,768,1575,711,476,1077,380,8,4992,472,978,623,570,1073,332,3,4051,225,381,265,273,742,258,9,2160,83,109,67,56,378,146,5,840,5573,8253,3613,2990,7339,3132,46,30954
SED52404,991,1861,858,482,866,112,9,5169,540,1326,898,595,983,83,5,4435,232,430,309,243,577,83,4,1878,72,97,60,39,238,40,0,549,7404,10012,4554,3008,6722,894,41,32644
SED52505,966,1813,823,512,1044,157,49,5362,459,1075,716,542,965,99,64,3914,176,319,194,155,442,74,14,1374,41,74,30,19,156,35,4,358,9010,11939,5224,3950,10454,2264,172,43008
SED52604,1148,2123,927,481,1076,212,5,5978,541,1128,773,500,1015,158,4,4123,196,368,272,195,612,182,3,1826,83,87,50,28,345,151,3,740,7785,9683,4112,2661,7729,1589,54,33617
SED52702,923,2037,951,550,729,138,5,5332,538,1380,1099,791,845,153,3,4800,340,713,513,490,730,143,4,2934,145,183,88,74,400,88,0,986,6603,9677,4866,3517,5426,997,36,31119
SED52803,803,1386,526,320,1534,1320,24,5913,303,586,320,268,835,556,19,2891,105,126,106,75,348,138,0,899,18,24,14,13,125,35,4,230,6027,8047,2941,2267,9504,8735,138,37663
SED52903,1386,1977,663,376,1765,1124,17,7312,988,1476,729,446,1889,798,26,6344,246,339,163,121,540,285,0,1688,21,16,14,13,102,56,0,216,8466,10118,3785,2491,9652,6850,365,41713
SED53004,1011,1949,799,481,776,88,16,5113,661,1535,981,688,1140,104,5,5106,282,536,342,307,783,91,10,2353,123,167,68,56,550,44,0,1002,7407,10195,4413,2992,7132,770,53,32961
SED53105,688,1276,577,400,1161,227,21,4343,362,640,420,398,964,155,19,2960,158,254,164,156,610,86,7,1425,49,66,29,25,302,30,0,511,7178,9578,3944,3419,10073,2922,71,37191
SED53204,931,1531,610,417,1244,111,16,4860,430,739,491,352,957,95,18,3074,179,317,192,150,538,58,6,1433,60,79,34,24,255,28,4,478,8361,9918,4052,3044,10281,1035,69,36759
SED53306,845,1604,788,549,1250,254,13,5295,578,1179,796,652,1665,280,5,5164,354,670,482,432,1296,337,0,3568,170,190,100,99,696,302,0,1563,6407,8996,4229,3719,10155,2488,37,36029
SED53402,909,1596,626,335,977,188,15,4650,464,982,558,352,1043,156,9,3567,236,358,236,181,703,139,3,1853,116,108,62,47,472,103,0,909,8282,11027,3888,2443,8238,1642,74,35586
SED53502,1006,1717,727,482,1348,307,19,5608,544,1040,626,512,1303,250,15,4293,271,492,300,307,870,287,9,2534,111,115,80,46,435,277,0,1061,7769,9963,4023,3275,10173,2675,87,37971
SED53602,836,1319,609,441,1777,254,26,5255,567,905,516,397,1507,243,16,4155,234,363,206,177,959,213,0,2152,78,71,37,15,364,155,0,732,6995,7900,3251,2834,14309,2776,83,38152
SED53701,1063,1927,930,760,1191,779,0,6649,671,1328,956,987,1415,693,4,6059,259,511,358,416,840,377,0,2766,67,109,71,72,266,104,0,678,5570,8138,4087,3802,6906,4171,176,32846
SED53802,872,1466,693,424,1301,193,20,4971,594,1082,644,526,1341,145,17,4346,328,593,374,332,938,124,7,2696,154,167,85,83,423,56,0,967,7711,9543,3941,3028,11147,1702,70,37143
SED53902,984,1692,669,355,849,158,10,4725,613,1076,662,396,930,148,7,3824,328,590,400,269,937,221,4,2737,215,235,111,82,819,154,0,1617,8525,10234,3969,2506,8607,1605,70,35519
SED54006,868,1684,943,735,1191,294,3,5710,539,1270,890,881,1291,277,4,5150,305,533,410,386,856,253,5,2746,102,132,74,70,318,124,0,816,5967,8968,4538,4176,7776,2083,42,33544
SED54104,1079,2053,834,371,681,245,21,5280,729,1633,902,411,889,312,23,4900,364,778,502,315,853,300,9,3115,149,200,106,77,558,172,9,1271,10074,12278,4789,2881,8097,2360,177,40656
SED54203,1057,1630,694,419,1858,1437,34,7126,850,1389,693,588,1592,798,9,5918,230,383,209,213,587,262,0,1886,26,26,20,23,100,38,0,232,6110,8435,3405,2420,9762,8687,307,39132
SED54304,1154,1847,625,298,1187,603,85,5806,560,1039,501,267,996,410,34,3811,224,350,187,132,578,219,20,1708,75,116,46,22,415,110,3,790,11667,13820,3866,2394,12174,5192,875,49990
SED54403,1157,1556,509,340,2145,2276,48,8037,372,616,258,217,898,675,22,3070,88,122,66,62,223,136,4,695,9,16,8,0,31,11,0,77,8631,11234,3699,3021,13984,15268,334,56171
SED54505,908,1760,904,535,778,107,38,5027,612,1447,1007,699,1006,98,39,4901,326,620,436,346,841,125,12,2696,127,190,76,83,507,83,3,1068,8005,10058,4934,3669,8273,886,137,35976
SED54605,904,1771,761,535,1428,259,15,5672,571,1187,775,680,1436,228,12,4886,322,598,411,381,1081,314,6,3108,130,181,81,76,536,275,6,1292,6215,8507,3834,3179,9162,2683,79,33659
SED54701,979,1544,792,525,1083,523,10,5458,586,925,591,591,1030,429,4,4162,266,415,314,303,657,323,0,2289,107,120,59,45,308,140,0,779,6106,7795,3673,3025,6475,3507,70,30651
SED54804,959,1681,621,280,806,164,22,4537,534,1047,571,333,923,183,12,3603,257,511,343,231,765,211,8,2330,116,153,78,60,620,215,0,1246,9147,11319,4031,2516,7907,1924,126,36975
SED54905,963,1854,718,412,865,178,22,5016,667,1423,792,479,1026,209,30,4614,321,528,361,237,792,211,0,2457,114,175,72,62,563,247,0,1232,8847,10999,4057,2554,8035,1795,164,36438
SED55005,831,1445,683,468,1291,128,28,4877,469,869,562,476,1034,135,33,3576,190,276,207,159,617,112,10,1569,47,72,37,22,349,82,4,608,7821,9757,4295,3574,11642,1554,128,38772
SED55102,881,1619,783,541,1100,342,15,5275,441,872,601,555,868,211,12,3561,180,318,238,216,460,88,3,1504,51,53,30,26,148,19,6,327,7425,9769,4347,3691,8275,3585,106,37217
SED55202,836,1423,629,502,1452,223,21,5082,546,1034,682,559,1377,205,18,4423,293,509,317,313,955,179,6,2565,112,130,77,51,468,194,5,1035,7106,8838,3837,3407,12558,2370,94,38206
SED55306,1012,1972,930,525,919,379,10,5756,693,1542,1116,834,1139,340,5,5666,351,666,484,404,823,246,4,2983,135,155,96,80,502,105,0,1080,6972,10264,5031,3704,6708,2333,72,35085
SED55405,829,1355,520,318,1033,243,20,4316,459,863,468,302,926,234,15,3269,228,374,228,168,708,268,6,1984,141,133,69,36,493,361,0,1219,9407,11132,3688,2353,11161,3051,133,40926
SED55504,862,1579,647,433,1155,132,17,4823,470,933,602,447,1033,107,10,3606,219,423,252,207,704,117,7,1930,64,93,50,32,302,102,0,638,7968,10398,4301,3200,9849,1357,73,37132
SED55605,873,1801,743,539,1146,147,9,5263,347,708,501,426,842,115,7,2947,187,291,207,198,563,80,6,1535,49,63,45,24,232,49,0,470,7481,9929,4325,3601,8980,1457,48,35829
SED55706,1130,2212,1157,770,983,567,10,6823,746,1580,1210,990,1133,444,12,6120,293,563,469,490,788,266,0,2872,109,131,99,74,372,132,4,913,6420,9863,5240,4224,6347,3244,160,35492
SED55802,895,1612,717,508,1339,159,36,5264,439,747,476,371,977,94,17,3115,172,317,219,185,639,74,4,1610,70,76,33,33,326,25,3,568,8304,10537,4098,3504,11868,1651,89,40047
SED55905,882,1642,717,445,1111,250,10,5053,510,1045,644,467,1157,291,7,4126,277,555,360,301,861,390,0,2743,131,168,101,72,439,394,0,1310,7212,9215,3819,2809,8297,2644,63,34054
SED59797,39,46,15,11,208,218,29,560,20,20,9,7,67,53,0,178,3,11,3,0,7,6,0,32,0,0,0,0,0,0,4,3,221,231,78,61,1268,1385,164,3410
SED60105,508,980,397,174,559,146,0,2776,314,645,461,295,672,151,5,2547,170,357,261,193,709,134,4,1822,76,110,64,45,513,117,3,934,4188,5999,2536,1622,5307,1140,35,20821
SED60106,221,372,232,144,248,80,0,1297,171,262,198,150,296,93,0,1162,59,116,85,101,195,68,0,626,30,21,11,13,84,71,0,233,1193,1638,902,715,1457,534,9,6445
SED60113,866,1850,814,534,963,205,0,5239,500,1270,909,650,1018,231,3,4592,239,536,371,405,752,183,0,2488,93,142,81,59,310,113,0,792,6219,9236,4244,2941,6684,1469,32,30836
SED60115,748,1432,736,472,1330,233,10,4956,420,934,694,551,1316,253,3,4177,209,410,271,270,951,184,0,2310,70,123,60,28,455,71,0,791,5821,8095,3823,2984,9983,2274,115,33087
SED60207,845,1507,758,461,1265,239,4,5079,509,1180,912,706,1409,267,0,4997,287,500,390,389,1149,259,4,2967,115,125,83,57,543,145,0,1062,5696,8228,4064,3005,8758,1757,75,31579
SED60208,739,1571,758,504,1004,189,3,4763,450,925,684,654,1102,220,5,4040,226,413,314,340,877,189,0,2360,86,102,49,51,427,70,0,786,4797,7334,3630,2836,6466,1473,30,26559
SED60209,900,1715,882,570,1282,337,11,5701,527,1036,828,671,1402,351,6,4824,245,419,348,391,977,262,0,2635,92,103,73,50,487,106,0,918,5587,8272,4232,3388,8005,2392,40,31916
SED60301,324,596,263,174,519,87,5,1976,157,348,228,194,446,70,4,1434,116,191,129,116,407,104,0,1061,60,62,28,22,193,35,0,399,2598,3618,1494,1081,3881,674,8,13365
SED60302,716,1363,522,327,1072,154,7,4154,445,832,510,361,1108,176,8,3437,211,400,208,209,884,150,4,2070,96,117,58,48,522,71,0,917,6093,8357,3219,2274,9662,1575,33,31213
SED60303,866,1812,678,250,601,261,18,4486,507,1292,676,349,635,248,13,3717,228,484,282,167,525,177,4,1869,96,111,61,45,354,134,0,808,7943,10698,3855,1814,6560,2133,272,33276
SED60304,8,20,10,7,4,0,0,46,0,6,9,10,4,0,0,33,5,0,3,6,0,0,0,19,0,0,0,0,0,0,0,0,68,104,35,37,28,11,0,281
SED60310,496,1005,419,160,254,76,17,2426,336,849,544,248,338,84,3,2401,188,376,246,144,326,40,0,1323,87,127,46,36,273,23,0,587,4243,5545,2401,1213,3745,694,51,17890
SED60404,848,1865,1050,592,723,263,5,5344,539,1289,972,699,903,262,7,4667,236,506,326,307,603,189,0,2170,72,85,55,45,263,98,0,608,5666,8989,4688,3102,5029,1606,35,29114
SED60410,319,593,288,124,251,26,9,1607,210,468,336,193,404,38,4,1654,123,261,144,146,345,49,0,1072,52,68,37,25,189,24,0,390,2901,3942,1738,1000,2951,352,12,12905
SED60411,698,1464,613,295,645,96,3,3823,453,1108,784,444,843,138,9,3775,271,585,435,314,848,165,3,2619,123,203,102,67,664,130,0,1299,5583,8219,3574,2050,6253,1031,36,26742
SED60414,593,1218,571,301,653,136,4,3470,320,726,523,357,666,106,0,2694,128,261,186,164,423,88,3,1253,43,51,22,24,134,26,0,300,4426,6586,2862,1865,4721,1448,16,21923
SED60501,420,772,389,295,847,193,3,2915,252,494,324,331,788,176,4,2369,106,153,112,138,425,103,0,1043,31,30,13,27,132,37,0,265,2928,4110,2001,1792,5276,1447,15,17564
SED60505,276,494,225,131,318,32,3,1484,135,274,222,152,360,57,0,1188,79,136,107,103,280,50,0,761,27,33,18,12,140,17,0,252,1687,2501,1126,718,2168,328,12,8554
SED60506,762,1475,772,575,1011,321,0,4911,486,1090,792,726,1274,280,3,4648,220,428,347,329,828,202,5,2363,67,106,49,45,329,69,3,672,4427,6777,3543,2997,6072,1631,105,25547
SED60508,144,288,172,116,190,60,0,965,62,175,136,119,168,56,0,716,32,68,55,41,94,40,0,326,10,19,9,6,42,12,0,93,777,1209,675,517,965,391,12,4540
SED60512,848,1747,849,606,1077,337,0,5470,506,1206,838,728,1096,308,4,4688,187,422,296,328,751,187,0,2170,57,88,47,42,314,72,0,620,5188,8071,3936,3027,6497,1981,47,28742
SED60514,240,473,223,124,259,27,0,1339,140,278,214,158,322,54,0,1162,78,116,91,80,177,39,0,586,28,22,16,17,88,16,0,174,1715,2420,1155,716,1759,284,10,8061
SED69797,7,15,3,3,16,25,0,77,3,13,0,0,7,0,0,33,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,35,53,20,13,125,116,13,374
SED70001,271,317,102,49,256,200,0,1200,107,125,58,23,158,157,0,637,16,18,10,5,44,25,0,123,0,3,0,0,0,0,0,9,2178,2401,752,345,1576,1067,48,8366
SED70002,242,367,120,65,308,145,12,1263,94,206,89,47,171,113,3,719,34,49,28,17,71,24,0,225,10,5,3,6,25,8,0,48,1823,2298,833,582,2228,953,43,8753
SED70003,214,300,141,84,235,255,6,1239,116,179,100,48,237,138,0,826,21,12,15,10,47,34,0,135,0,0,4,0,10,0,0,13,1896,2109,1201,834,1744,1634,90,9509
SED70004,261,383,193,97,391,251,8,1588,190,314,154,91,389,208,9,1357,42,47,24,25,129,40,0,303,5,4,3,5,9,3,0,26,1686,2037,1150,602,2244,1658,74,9453
SED70005,102,233,91,59,164,65,4,714,59,103,60,33,121,55,0,437,16,25,20,10,62,25,0,153,7,6,0,3,17,3,0,37,1261,1830,652,435,1495,686,16,6384
SED70006,227,418,153,49,253,125,3,1221,102,229,105,62,190,71,0,760,32,56,15,18,71,25,0,221,7,6,0,0,23,0,0,41,1639,2190,750,454,1764,696,44,7529
SED70007,113,236,104,49,192,35,3,732,54,101,45,36,160,10,6,411,20,27,20,12,58,6,0,146,0,6,6,0,48,3,0,63,1388,1985,693,448,1630,380,14,6539
SED70008,193,328,118,79,262,129,15,1125,136,258,156,82,277,137,11,1059,61,89,52,31,170,50,0,460,9,17,10,9,91,22,0,157,1676,2253,889,574,2316,959,44,8709
SED70009,351,431,219,170,486,317,5,1988,221,370,224,202,518,292,3,1834,49,75,46,33,138,78,0,420,9,5,0,5,15,5,0,37,1737,2219,1147,1025,2567,1695,125,10513
SED70010,165,296,109,55,216,152,12,997,82,130,74,55,179,68,0,589,28,31,13,12,68,23,0,172,3,3,3,0,26,8,0,46,1193,1667,601,459,1729,1081,24,6756
SED70011,216,349,120,64,189,108,8,1047,135,237,113,48,222,85,0,848,55,83,53,29,112,42,0,374,12,13,5,5,41,35,0,115,1727,2129,735,368,1577,656,22,7217
SED70012,261,355,131,47,261,164,0,1226,123,219,95,53,210,113,0,807,31,50,37,22,69,16,0,220,3,8,4,0,14,0,0,31,1871,2206,729,397,1866,887,500,8461
SED70013,280,518,231,152,315,248,4,1751,194,318,185,123,346,270,0,1431,50,67,43,45,114,46,3,373,5,3,6,3,15,5,0,45,1627,2385,1082,714,1638,1231,28,8708
SED70014,258,313,102,24,276,188,5,1163,121,156,57,25,205,111,4,683,22,16,3,9,56,23,0,134,7,7,0,0,12,0,0,23,2120,2087,737,210,1721,1233,42,8158
SED70015,167,294,126,60,223,55,7,937,111,189,104,94,194,49,5,746,55,77,32,27,126,36,0,352,14,9,0,0,22,11,0,58,1392,1915,744,530,1873,562,32,7045
SED70016,167,281,142,74,314,142,0,1122,119,181,77,54,194,63,7,686,30,40,24,17,85,24,0,225,11,8,0,3,25,4,0,43,1275,1565,694,453,2020,885,22,6924
SED70017,261,403,139,90,393,289,11,1588,184,274,136,73,329,173,4,1167,49,60,26,27,119,53,0,324,4,3,3,0,29,10,0,51,1734,2109,808,502,2004,1528,45,8733
SED70018,186,247,87,50,164,140,7,879,77,87,40,20,87,57,4,375,19,21,13,3,33,10,0,94,5,4,0,0,5,0,0,13,1684,1973,802,535,1408,1081,25,7510
SED70019,348,455,151,80,431,256,4,1718,251,317,129,89,404,195,3,1378,51,77,41,26,131,57,0,383,8,5,0,0,59,26,0,100,2301,2183,810,547,2610,1804,33,10283
SED70020,277,461,225,147,340,305,21,1791,153,295,154,128,318,190,5,1248,47,82,34,50,104,69,0,378,5,8,4,0,28,22,0,71,1988,2552,1015,811,2467,3079,1347,13258
SED70021,178,320,124,48,174,71,0,923,162,222,123,48,170,43,6,768,32,75,40,26,91,20,0,284,9,14,0,4,21,5,0,57,1655,2248,787,438,1717,491,25,7355
SED70022,424,604,160,72,437,463,55,2216,226,350,153,72,404,328,19,1538,51,66,51,20,138,104,8,431,0,8,0,0,30,4,5,49,2910,3205,924,475,3932,2790,401,14647
SED70023,177,326,121,88,218,68,0,999,125,205,121,85,230,57,4,825,42,72,45,43,122,29,0,344,7,11,4,0,26,11,0,53,1333,1813,765,545,1722,518,18,6710
SED70024,117,273,89,56,187,47,9,777,59,107,67,38,128,26,8,438,27,38,10,6,50,8,0,132,4,0,0,0,13,0,0,21,1677,2539,882,635,2093,487,30,8349
SED70025,161,350,138,89,203,52,6,997,94,193,85,66,174,44,5,665,36,67,30,10,103,28,0,281,7,8,3,0,21,6,0,52,1461,2258,894,579,1739,528,18,7493
SED79797,4,6,4,0,54,34,0,106,0,0,0,0,20,11,0,40,0,0,0,0,6,3,0,10,0,0,0,0,0,0,0,0,22,44,12,9,237,155,17,494
SED80001,1978,4158,1838,892,1676,214,29,10782,1077,2445,1540,897,1557,201,20,7738,502,787,517,402,976,212,5,3401,153,196,111,73,482,164,5,1179,14899,21816,8919,5090,13264,2146,99,66225
SED80002,1481,3353,1449,659,1446,273,39,8701,1016,2473,1552,964,1458,240,17,7723,542,1210,810,553,1168,179,9,4467,219,282,149,100,653,123,0,1527,17385,25283,9931,5330,16463,3034,176,77604
SED80003,1760,3528,1337,532,1050,548,34,8785,873,2222,1272,514,908,401,30,6219,444,941,597,285,786,264,12,3325,214,302,150,80,700,232,0,1670,20378,26958,8403,3500,13258,6132,329,78955
SED80004,1633,3721,1614,642,1102,289,34,9037,1060,2742,1567,840,1314,357,22,7902,701,1548,972,706,1318,342,4,5581,327,428,230,149,950,218,0,2301,15958,24232,10155,5259,13207,3048,190,72059
SED80005,1427,2796,1215,588,1371,183,56,7632,719,1693,1011,573,1215,171,74,5454,315,630,383,257,621,84,14,2309,104,100,39,40,219,19,0,532,16846,23963,9316,5301,17486,2731,226,75871
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED99191,148,267,120,61,143,155,5,893,68,174,85,85,150,111,0,673,29,59,23,37,92,60,0,295,8,6,10,7,17,7,0,60,717,1086,467,331,970,1033,23,4630
SED99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
