SED_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
SED40030,75,132,205,57,54,110,49,162,214,45,312,354,236,939,1176,239,599,844,893,381,1277,743,465,1207,886,389,1274,961,266,1219,637,233,861,738,130,870,1252,173,1430,871,38,913,627,62,685,342,6,355,715,124,830,791,43,839,100,164,258,10261,4661,14925
SED40031,89,98,180,33,38,72,41,111,151,34,184,223,138,596,739,156,371,525,544,261,802,521,266,788,716,310,1023,765,239,1007,594,203,790,600,137,733,1324,268,1594,1187,21,1211,997,58,1051,647,11,657,1569,64,1629,525,37,561,65,99,168,10539,3374,13916
SED40032,60,155,215,48,74,120,38,205,250,30,368,401,132,892,1027,153,738,895,449,460,911,461,558,1023,594,563,1152,671,459,1133,455,370,829,512,300,813,1207,422,1630,893,55,946,789,113,898,557,35,597,1465,174,1633,520,91,610,64,178,233,9100,6219,15322
SED40033,73,114,187,36,54,91,37,182,221,59,372,432,206,969,1180,238,541,778,750,373,1122,631,494,1124,655,434,1086,778,278,1058,592,208,799,643,145,789,1389,224,1611,850,23,873,622,42,664,315,5,319,602,82,691,598,50,645,105,211,323,9170,4803,13974
SED40034,117,152,269,63,77,145,66,220,284,59,451,514,258,1317,1567,247,591,836,1163,437,1608,810,434,1243,802,414,1221,896,289,1184,484,190,674,508,143,649,911,207,1119,553,35,592,355,55,406,183,12,193,407,104,518,751,35,789,204,323,530,8840,5502,14342
SED40035,71,113,179,30,37,70,30,106,131,36,262,295,163,808,972,166,566,733,696,346,1048,659,381,1048,819,408,1224,872,304,1177,621,233,857,683,169,856,1490,221,1704,1107,33,1141,740,35,772,456,17,470,734,44,774,562,39,600,95,132,223,10036,4241,14275
SED40036,96,109,210,33,29,64,50,114,164,83,270,353,203,659,862,282,288,574,768,229,998,726,341,1067,834,382,1215,991,306,1290,771,241,1014,748,131,880,1623,175,1799,993,39,1035,643,37,681,371,12,385,544,45,587,613,60,669,96,126,220,10463,3598,14053
SED40037,85,136,215,36,69,101,35,204,245,42,454,499,187,1006,1188,206,524,734,635,387,1016,577,476,1051,731,498,1227,743,400,1143,594,309,905,564,245,811,1316,363,1676,1051,45,1096,787,59,844,475,10,485,976,92,1066,616,68,684,76,206,288,9733,5552,15285
SED40038,134,124,251,41,62,102,87,213,299,119,438,557,285,1049,1337,380,558,942,980,342,1322,914,546,1460,989,497,1484,1104,328,1430,746,194,938,741,120,869,1324,148,1472,779,42,824,432,20,459,207,6,215,302,36,330,688,75,763,151,245,396,10414,5053,15461
SED40039,70,128,199,21,53,73,39,171,214,61,372,435,197,1016,1214,286,614,896,876,425,1299,807,561,1368,902,499,1407,1014,348,1359,729,235,961,679,159,841,1424,132,1561,828,35,871,485,25,511,250,4,253,272,44,310,609,67,674,109,172,284,9656,5058,14712
SED40040,74,106,177,36,47,76,44,107,155,42,210,245,176,648,826,190,446,628,669,317,983,635,305,942,730,353,1086,830,272,1100,600,201,804,668,123,791,1402,197,1604,1059,26,1084,879,34,912,516,3,524,1084,62,1151,839,36,870,97,121,214,10563,3612,14176
SED40041,89,158,244,37,86,121,48,296,340,64,523,585,270,1319,1595,270,601,870,916,412,1327,715,470,1188,697,443,1141,777,339,1114,519,288,808,490,203,693,934,312,1246,684,42,729,466,92,557,281,19,292,440,137,578,855,51,904,176,408,583,8726,6193,14925
SED40042,105,128,228,33,43,76,61,139,200,91,375,465,222,796,1019,350,519,867,850,303,1156,854,502,1354,864,487,1357,993,306,1301,769,183,947,740,117,864,1385,140,1532,860,25,887,498,32,527,302,6,312,431,34,461,726,68,791,147,230,380,10287,4434,14721
SED40043,89,139,225,39,60,101,43,186,231,65,428,492,158,968,1129,207,546,752,677,369,1048,649,431,1080,811,447,1256,998,336,1331,745,312,1058,761,239,1000,1728,326,2058,1173,68,1241,916,75,992,493,17,513,1028,78,1106,620,96,719,73,136,207,11282,5267,16551
SED40044,96,119,215,49,50,96,36,125,165,24,243,268,104,599,703,119,498,613,311,365,677,334,408,739,491,487,981,565,358,917,420,313,737,487,259,747,1066,438,1507,833,71,904,707,123,833,587,36,628,3164,265,3433,593,77,676,54,119,170,10038,4957,14992
SED40045,55,81,142,31,45,81,27,85,114,21,131,155,99,461,558,99,393,495,353,262,608,461,308,769,576,294,873,696,229,923,438,214,652,578,164,743,1178,243,1419,1031,31,1063,1076,60,1137,750,5,757,2321,89,2411,677,48,722,62,66,129,10525,3207,13733
SED40046,72,170,237,43,58,98,39,187,227,43,350,391,139,882,1023,163,569,731,529,380,909,491,432,922,616,507,1125,702,427,1125,547,317,862,561,258,817,1309,370,1685,1038,119,1157,788,108,896,573,46,617,1200,146,1350,480,154,632,60,133,193,9403,5619,15020
SED40047,90,94,184,37,43,75,37,109,147,49,241,289,139,652,793,184,376,557,620,263,876,599,349,947,789,354,1141,912,268,1177,667,210,877,668,132,804,1517,161,1682,1092,19,1112,867,31,893,478,5,485,838,21,862,596,28,628,80,105,179,10268,3451,13720
SED49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED50106,90,163,247,54,82,137,34,198,231,61,359,416,216,893,1108,231,661,896,768,382,1156,618,442,1064,766,442,1211,879,268,1151,613,249,863,623,179,803,1279,281,1557,941,26,969,676,57,733,377,14,390,781,114,890,930,66,994,120,249,373,10060,5121,15183
SED50202,130,196,323,38,57,95,75,205,278,86,438,521,272,967,1239,354,603,962,886,375,1259,781,538,1317,990,596,1589,1123,484,1605,967,336,1301,908,235,1144,1772,311,2086,1226,26,1248,794,54,846,393,12,403,723,61,782,1217,114,1336,164,245,410,12892,5855,18747
SED50304,127,214,345,44,68,103,61,233,299,70,502,566,213,1081,1299,230,604,837,636,426,1063,572,525,1100,683,741,1428,807,629,1438,695,589,1285,670,435,1100,1552,685,2234,1065,85,1154,960,143,1107,641,39,679,1781,191,1968,860,128,994,125,182,311,11795,7514,19309
SED50405,107,112,222,39,38,80,44,87,128,56,178,238,153,442,589,280,353,635,628,232,863,580,287,864,699,404,1101,872,386,1262,815,341,1162,912,249,1159,2140,439,2582,1593,56,1648,1386,96,1480,901,17,922,1719,91,1813,2102,118,2219,133,120,257,15167,4051,19217
SED50502,92,168,264,43,57,98,46,146,191,82,331,407,183,782,968,224,414,638,667,285,960,584,373,956,739,433,1171,865,340,1206,660,283,936,654,224,873,1463,388,1856,1190,58,1251,887,79,971,592,22,617,1210,91,1303,1007,104,1109,122,147,273,11305,4740,16048
SED50605,148,154,298,86,61,143,69,127,196,51,224,282,167,483,647,140,394,536,442,262,698,475,290,770,562,328,893,679,249,928,472,246,721,531,198,728,1181,377,1558,934,50,980,965,111,1080,699,22,720,3678,242,3918,932,98,1030,89,86,172,12299,4012,16305
SED50702,145,239,384,45,87,129,48,218,272,98,444,542,171,958,1126,229,487,713,546,366,910,558,556,1115,655,703,1354,847,614,1465,678,560,1240,690,414,1105,1655,798,2456,1175,116,1293,1003,233,1234,700,54,754,1638,280,1916,1091,253,1340,114,205,321,12085,7586,19668
SED50805,88,165,253,56,63,121,23,184,206,31,277,309,140,725,866,132,508,643,382,355,735,312,363,675,486,395,877,506,366,877,363,331,701,431,257,691,970,492,1461,860,47,903,889,117,1007,642,23,663,3065,203,3265,886,74,962,65,140,204,10334,5089,15418
SED50906,94,160,248,36,67,103,62,228,289,74,439,507,214,989,1207,303,608,908,795,416,1210,646,490,1131,738,523,1260,809,415,1226,635,349,981,688,277,961,1388,434,1820,1063,41,1107,883,110,991,497,32,531,1189,154,1343,1191,93,1282,96,206,303,11380,6038,17412
SED51004,102,111,214,41,37,69,45,93,134,62,168,232,147,345,489,174,277,453,515,195,709,501,254,754,625,296,918,691,226,920,619,245,865,612,181,793,1627,286,1919,1298,33,1334,1165,69,1238,757,17,774,2208,89,2296,1424,62,1491,132,97,228,12736,3083,15817
SED51104,143,139,281,38,49,88,57,120,174,91,274,363,219,626,854,327,423,755,773,258,1031,715,391,1106,828,461,1291,1046,386,1432,855,309,1166,889,265,1150,2035,373,2409,1517,43,1558,1222,88,1313,689,9,692,1471,94,1565,2053,73,2129,147,144,289,15135,4511,19655
SED51205,142,238,378,56,80,136,74,204,281,73,347,424,213,841,1055,262,463,728,781,359,1136,690,479,1169,946,591,1539,980,480,1456,827,406,1235,866,264,1126,1898,437,2334,1370,132,1497,1029,143,1167,592,53,650,1200,139,1337,1136,223,1354,123,167,291,13253,6054,19303
SED51304,96,99,201,58,58,120,51,102,153,30,126,158,161,427,593,133,315,454,378,258,632,417,229,639,580,212,793,596,183,777,438,165,603,477,117,590,1159,242,1397,934,26,957,1107,86,1195,819,11,832,3537,132,3672,966,66,1030,94,95,193,12033,2959,14987
SED51401,108,158,267,57,60,113,62,196,256,63,339,407,198,1026,1226,236,496,735,786,289,1072,589,405,988,639,421,1064,724,327,1048,460,284,749,519,224,740,1054,385,1441,748,32,782,555,83,644,310,15,327,751,120,871,1176,44,1221,182,262,448,9223,5166,14393
SED51504,102,145,243,45,70,121,47,151,200,37,263,297,119,519,637,135,417,551,272,325,604,323,368,693,471,386,862,593,352,944,403,305,709,494,216,712,1005,458,1458,843,50,894,869,117,988,648,37,682,4393,283,4674,860,111,973,81,101,176,11738,4670,16413
SED51605,102,120,217,49,46,94,45,87,132,61,215,274,141,468,607,180,271,450,522,233,756,466,294,760,585,390,970,722,359,1079,613,329,944,670,257,930,1787,391,2178,1504,59,1563,1308,100,1406,864,16,880,2184,131,2312,1262,91,1355,79,117,197,13135,3968,17109
SED51706,100,150,250,60,44,105,48,144,188,54,344,403,252,852,1099,244,410,654,857,308,1163,657,338,999,768,354,1125,833,273,1105,569,235,809,650,215,868,1476,330,1804,1180,30,1212,990,104,1087,577,12,590,1207,98,1310,1387,59,1448,148,221,372,12062,4531,16594
SED51804,106,190,294,66,86,152,36,174,205,36,304,337,101,599,701,110,462,574,241,342,583,287,390,668,357,422,779,449,360,802,298,307,607,408,272,679,797,532,1322,680,48,730,723,202,922,548,28,572,5022,563,5588,986,120,1111,68,175,242,11303,5566,16871
SED51902,94,105,200,55,34,81,41,83,126,50,141,191,164,328,493,167,246,414,527,178,702,491,197,690,593,281,871,767,221,992,631,223,860,776,179,957,1718,265,1988,1358,30,1385,1204,74,1277,717,8,723,1906,80,1982,1520,71,1596,125,82,206,12909,2819,15729
SED52006,184,202,377,63,51,117,61,157,220,71,308,379,247,887,1134,274,600,872,1068,333,1407,867,335,1205,904,344,1254,877,217,1096,535,218,758,578,175,755,1186,315,1504,875,32,903,831,93,924,504,8,511,1358,114,1473,1555,67,1620,149,172,319,12189,4644,16828
SED52102,95,149,243,49,48,107,39,110,153,69,246,314,163,553,716,196,425,620,583,251,839,503,322,826,689,413,1102,789,336,1130,619,287,904,679,191,871,1530,344,1875,1232,47,1279,957,83,1042,571,7,583,1199,98,1298,1188,103,1289,127,175,302,11273,4212,15491
SED52205,103,229,335,45,92,136,68,276,345,74,543,615,208,1018,1223,213,567,783,576,394,965,545,531,1071,592,585,1179,618,498,1114,549,424,978,519,379,900,1227,692,1920,981,114,1092,933,215,1148,633,40,665,2195,322,2515,1020,249,1270,99,274,375,11192,7444,18632
SED52301,108,147,252,40,58,94,61,190,256,56,349,407,178,737,907,206,490,694,636,356,988,523,395,923,536,413,953,629,339,965,537,248,788,530,229,762,1214,365,1573,953,44,992,790,95,883,482,17,496,996,105,1103,1220,78,1299,119,220,339,9810,4867,14675
SED52404,96,107,206,41,42,85,53,93,152,51,205,261,158,445,603,163,341,498,513,241,753,506,252,766,636,299,933,664,240,906,528,221,754,557,189,744,1348,324,1677,1193,38,1235,1104,71,1185,777,19,796,2456,90,2543,1164,84,1247,100,96,194,12110,3403,15509
SED52505,121,86,209,40,31,73,46,63,106,49,101,150,122,204,331,141,163,299,406,115,525,446,196,640,652,236,888,772,268,1039,743,218,961,845,192,1045,2131,317,2451,1803,30,1835,1742,84,1828,1129,20,1145,2773,102,2878,1457,68,1522,99,64,163,15522,2566,18088
SED52604,93,124,215,43,33,81,40,118,154,58,212,268,145,455,608,168,308,473,467,229,690,464,277,738,553,301,859,629,280,908,515,221,732,565,195,762,1262,309,1573,1068,45,1116,1091,90,1175,727,20,746,2317,91,2409,1195,74,1275,99,132,230,11501,3501,15007
SED52702,92,110,195,47,47,98,57,114,165,40,200,236,150,507,654,144,345,486,521,211,730,467,238,711,659,240,902,666,196,855,447,143,586,552,129,675,1152,212,1359,1009,21,1032,983,54,1037,711,5,716,2251,79,2331,1159,41,1196,102,102,199,11202,2975,14179
SED52803,52,129,184,27,45,70,37,180,213,32,193,226,97,413,516,120,196,317,279,189,464,226,279,505,250,345,593,321,314,630,271,422,690,323,380,702,962,743,1709,852,60,915,898,211,1111,579,38,613,1759,272,2032,891,107,993,144,439,583,8117,4937,13053
SED52903,44,243,290,38,94,127,85,216,302,99,328,423,239,403,638,193,289,482,349,468,818,331,529,857,390,734,1123,368,753,1118,258,552,811,302,523,827,734,917,1650,620,359,979,620,335,957,351,180,530,860,742,1594,1001,129,1125,208,624,831,7075,8418,15493
SED53004,88,121,211,53,35,91,42,100,137,55,200,260,169,598,771,137,407,552,545,244,789,534,266,804,711,281,989,731,231,960,558,184,739,570,167,735,1342,286,1632,1289,25,1313,1127,67,1192,815,9,819,2088,71,2159,1056,51,1109,82,92,174,11987,3454,15443
SED53105,93,128,221,32,47,74,46,144,192,77,263,343,185,586,767,276,351,626,582,234,815,595,358,961,669,434,1104,786,356,1143,759,336,1089,771,227,994,1679,393,2068,1386,49,1435,1179,90,1270,733,23,754,1405,80,1482,1336,110,1443,109,154,261,12689,4363,17053
SED53204,80,88,171,31,27,58,42,83,115,53,134,187,147,381,521,173,221,393,459,164,624,457,187,646,596,229,823,762,212,979,732,193,924,763,159,919,1850,250,2098,1642,24,1663,1292,67,1354,882,18,894,1922,73,1997,1171,39,1214,101,82,183,13163,2615,15776
SED53306,128,203,331,58,79,136,67,252,323,93,521,619,259,1322,1582,417,849,1267,1065,473,1534,896,491,1387,868,443,1316,912,298,1213,565,260,830,610,189,805,1295,374,1670,909,30,938,750,78,824,432,18,457,1069,119,1184,1434,81,1521,177,294,471,12018,6395,18414
SED53402,100,224,324,43,74,116,53,224,273,50,444,495,148,936,1084,157,617,771,463,429,892,399,562,960,514,637,1151,625,576,1198,514,472,985,557,397,952,1217,775,1992,1069,95,1166,1088,192,1273,820,40,862,2445,254,2702,883,187,1067,78,183,267,11228,7316,18541
SED53502,111,214,320,34,81,113,66,222,289,55,441,497,201,951,1155,257,597,849,671,366,1033,609,473,1085,715,576,1291,876,442,1316,610,376,989,699,279,979,1586,406,1993,1247,39,1280,1000,105,1108,620,20,643,1452,126,1572,1227,110,1333,137,429,571,12170,6247,18421
SED53602,183,214,396,56,58,109,86,222,310,99,432,529,279,959,1239,329,413,739,867,315,1179,839,453,1296,891,514,1405,1085,424,1508,814,285,1101,803,196,998,1472,299,1772,926,49,979,661,65,730,392,21,412,735,80,824,990,118,1104,142,202,345,11652,5325,16977
SED53701,128,182,311,52,60,110,61,170,231,67,321,386,227,861,1095,205,410,618,739,331,1066,587,432,1019,570,441,1012,677,331,1011,447,289,735,539,229,765,1075,342,1417,799,48,856,649,110,763,397,25,416,913,173,1086,1400,51,1450,203,370,572,9749,5176,14923
SED53802,160,214,377,52,65,118,41,207,240,78,334,411,246,895,1136,272,482,756,762,323,1086,655,439,1100,746,496,1237,903,416,1319,700,371,1075,723,300,1026,1606,438,2043,1214,59,1278,990,116,1109,584,28,608,1419,119,1541,929,142,1069,115,143,259,12207,5585,17795
SED53902,88,212,296,36,87,131,58,184,242,43,374,422,145,890,1034,164,718,889,484,443,929,450,552,1005,583,636,1218,643,573,1222,488,458,948,519,361,880,1186,701,1892,932,69,1002,848,211,1053,645,38,681,2629,300,2929,742,152,896,92,166,260,10799,7125,17926
SED54006,148,128,274,62,55,122,63,139,201,84,322,410,255,799,1051,270,460,733,926,265,1188,665,328,991,739,311,1048,776,208,982,530,201,730,613,156,771,1325,323,1653,1054,27,1079,851,86,931,474,18,492,1213,129,1346,1579,73,1652,167,201,371,11784,4229,16009
SED54104,129,224,354,40,95,134,47,187,235,38,380,416,105,606,707,122,575,700,247,397,644,309,453,760,424,539,965,496,515,1008,370,492,868,504,382,889,1027,831,1854,793,94,891,774,265,1038,599,58,654,4520,676,5194,828,149,981,55,150,212,11430,7065,18495
SED54203,38,188,232,16,75,91,28,133,164,29,211,240,105,432,536,84,294,383,235,556,784,188,542,730,206,676,886,224,605,834,176,345,526,225,420,645,490,825,1313,371,256,626,362,364,729,246,136,386,588,615,1204,566,113,681,104,692,793,4282,7495,11777
SED54304,147,394,537,37,98,133,51,292,344,43,560,598,122,770,886,123,616,738,316,496,811,354,626,982,497,908,1404,588,840,1425,503,873,1379,555,790,1346,1375,1628,3004,1192,219,1408,1149,554,1706,827,118,947,3663,965,4628,951,379,1322,64,469,534,12544,11606,24148
SED54403,45,127,174,15,39,54,25,109,128,38,146,187,76,133,212,70,120,190,129,229,359,137,249,387,194,347,543,203,397,603,221,428,656,314,469,787,846,1095,1941,835,114,953,1057,442,1503,811,79,892,3110,697,3806,1033,116,1148,121,627,746,9305,5964,15266
SED54505,133,120,254,76,59,134,70,106,177,58,200,258,178,542,719,170,365,534,490,228,712,477,265,744,686,232,914,760,191,955,551,174,723,595,106,701,1387,201,1593,1120,28,1156,1137,54,1196,739,15,751,2711,93,2796,1037,44,1083,71,81,158,12448,3102,15547
SED54605,133,182,313,42,73,117,64,226,288,70,499,564,238,1158,1388,287,777,1075,849,418,1263,720,512,1235,792,524,1313,772,399,1171,619,347,965,601,255,853,1175,375,1555,869,40,913,702,88,792,430,17,446,963,102,1063,1143,98,1242,137,268,406,10605,6347,16952
SED54701,97,138,234,58,72,126,47,194,247,54,302,352,188,788,973,165,464,633,595,337,934,500,423,921,594,533,1127,685,357,1040,493,291,782,590,211,798,1202,384,1586,803,48,841,652,109,763,317,22,339,885,165,1046,1134,78,1217,170,315,486,9228,5217,14450
SED54804,92,185,274,32,84,115,54,213,264,48,363,409,132,803,928,165,523,686,368,393,766,418,419,830,508,503,1009,552,491,1045,417,454,868,463,420,888,1206,835,2045,1095,119,1214,1135,276,1415,790,71,861,3128,421,3549,1077,303,1384,87,176,258,11771,7044,18819
SED54905,118,268,390,43,97,137,68,191,258,48,333,382,141,681,822,179,599,773,357,382,733,360,470,833,473,564,1044,604,489,1089,463,491,953,498,384,884,1119,734,1851,899,94,991,882,215,1101,615,37,649,3285,418,3707,817,206,1026,77,166,241,11052,6823,17872
SED55005,126,126,256,37,32,74,45,74,118,74,204,274,179,418,600,227,310,537,630,192,822,547,241,795,669,316,985,892,241,1130,780,204,984,788,180,975,1797,266,2067,1463,27,1490,1236,51,1282,718,13,731,1753,69,1825,1264,71,1336,108,87,192,13334,3137,16467
SED55102,91,123,212,41,36,76,53,98,155,70,166,235,135,371,504,199,200,401,532,168,696,493,231,729,668,328,1001,801,286,1079,637,236,872,726,177,909,1747,285,2033,1290,33,1323,1084,80,1160,687,8,696,1743,79,1821,1691,75,1768,131,182,314,12839,3157,15992
SED55202,167,177,348,47,49,99,66,195,259,90,392,477,243,935,1177,277,564,847,826,357,1184,818,468,1287,951,488,1438,1030,363,1396,799,291,1087,823,225,1043,1717,298,2015,1112,53,1165,813,72,887,432,19,456,797,73,876,1100,99,1195,142,181,325,12257,5287,17547
