SED_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SED10001,30,17,117,184,181,394,734,766,494,2915,5,11,50,61,107,90,68,59,18,471,294,331,687,690,662,740,714,646,338,5102,2176,4646,9945,9837,10170,11075,9903,5787,2192,65728
SED10002,17,69,385,570,786,977,1022,693,272,4791,11,84,584,552,658,754,602,396,190,3836,391,963,2612,1809,1149,886,600,367,216,8991,2507,10427,27523,18172,12486,11365,7226,3362,1288,94353
SED10003,16,15,68,81,90,237,436,476,386,1812,5,4,28,22,25,38,29,7,19,173,261,307,873,861,799,797,794,551,416,5654,1715,3465,9290,10399,11105,11732,11204,5664,2404,66971
SED10004,3,8,35,43,67,148,294,340,200,1147,4,12,35,32,39,58,76,79,62,399,148,327,804,672,536,448,419,333,237,3924,1314,5405,15138,14137,11773,8868,6801,3185,1078,67696
SED10005,6,33,174,414,616,951,1015,813,447,4474,12,39,179,237,370,673,535,371,226,2647,463,616,1416,1322,983,816,711,528,430,7273,2810,6699,14547,12352,10937,10298,7133,3758,1925,70459
SED10006,41,37,123,161,287,733,1213,903,455,3951,7,5,13,12,35,51,73,62,24,284,550,553,1232,1184,1289,1481,1331,929,479,9033,2153,3811,9164,8025,9237,11373,9494,5278,2046,60571
SED10007,30,20,81,105,181,432,778,650,388,2677,0,9,24,23,31,35,50,40,16,230,296,469,1074,959,867,735,776,639,266,6087,2293,4613,9580,9004,10186,10829,9479,5372,1935,63303
SED10008,8,9,22,28,66,155,342,346,182,1155,8,8,21,38,43,76,106,82,70,452,83,104,276,365,249,246,302,304,239,2168,1994,5140,8615,13928,11964,10389,8886,4960,1581,67446
SED10009,42,23,57,125,178,364,792,736,407,2721,0,7,13,16,16,26,46,33,22,178,303,232,531,554,727,966,1045,757,472,5581,1723,2729,6424,7046,9247,13356,13972,7116,2597,64209
SED10010,23,41,120,203,281,524,845,668,350,3044,6,29,124,125,211,215,235,168,85,1197,318,497,1192,952,714,633,583,462,246,5599,2249,6802,15309,14404,10620,9618,7271,3577,1444,71285
