SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL10001,0,0,0,0,0,4,0,0,0,5,0,0,0,3,0,8,5,3,0,24
SAL10002,29,43,26,17,33,54,29,4,0,236,655,652,496,407,613,725,431,160,50,4194
SAL10003,43,27,38,48,43,36,73,58,52,415,801,443,548,734,750,708,748,459,202,5399
SAL10004,9,14,3,6,14,13,0,4,0,63,243,139,103,143,166,154,94,55,3,1101
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,5,0,20
SAL10006,52,34,20,26,18,20,15,5,0,191,516,332,372,286,321,318,236,126,30,2525
SAL10007,39,11,23,20,25,32,13,6,3,171,387,246,248,228,263,294,222,116,35,2039
SAL10008,5,0,5,0,3,0,0,0,0,14,30,12,10,13,17,14,22,7,0,119
SAL10009,123,57,61,69,35,33,19,9,0,401,1652,837,1017,981,762,614,411,157,34,6461
SAL10010,43,30,21,16,26,17,21,3,4,173,563,291,341,310,296,341,213,119,25,2493
SAL10011,12,4,4,4,0,0,0,0,0,21,66,40,42,36,58,39,21,4,3,314
SAL10012,0,5,0,0,4,0,0,0,0,16,3,5,3,4,9,3,0,0,0,30
SAL10013,0,0,0,0,0,7,0,0,0,5,4,0,6,6,3,5,10,0,0,32
SAL10014,17,10,14,15,18,8,7,4,0,89,814,455,480,649,514,408,223,85,24,3651
SAL10015,15,3,17,31,11,19,6,9,0,111,49,32,61,73,67,81,42,45,6,447
SAL10016,62,62,62,39,47,42,31,18,7,374,1042,914,1060,845,772,719,467,294,113,6232
SAL10017,56,25,28,34,35,31,24,9,12,255,1231,621,595,826,761,539,476,399,141,5581
SAL10018,16,6,3,5,6,14,10,4,0,63,135,97,92,96,112,158,136,74,23,924
SAL10019,3,0,4,0,0,13,5,0,0,30,19,9,5,10,6,21,15,5,0,92
SAL10020,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,5,7,4,0,28
SAL10021,13,10,8,11,15,10,13,0,0,70,189,147,114,103,160,135,92,33,10,991
SAL10022,152,94,67,72,38,31,21,7,0,477,892,531,465,443,345,291,212,91,15,3285
SAL10023,18,3,4,0,0,3,6,0,0,30,29,22,24,18,14,31,25,7,4,166
SAL10024,5,0,0,5,0,0,0,0,0,10,15,5,7,11,12,13,13,5,3,75
SAL10025,207,114,109,107,96,96,68,57,112,961,2847,1818,1849,1717,1845,1657,1087,585,286,13700
SAL10026,138,73,69,69,62,50,38,19,12,530,1201,826,923,752,792,922,788,452,212,6868
SAL10027,54,47,48,55,69,57,33,19,7,380,737,585,601,601,701,649,673,375,154,5093
SAL10028,11,138,332,220,76,32,6,0,0,821,112,194,389,285,128,143,124,72,9,1450
SAL10029,3,0,4,0,0,0,0,5,0,19,32,18,23,10,12,28,17,12,0,152
SAL10030,62,50,199,146,74,47,34,9,3,622,1052,732,3079,2081,1220,720,400,148,44,9479
SAL10031,29,15,11,19,18,15,4,0,0,123,547,437,337,323,409,569,352,111,31,3118
