SAL_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
SAL50819,64,40,54,23,27,25,34,39,12,310
SAL50820,14,0,0,0,0,0,0,0,0,12
SAL50821,3,0,0,0,0,0,0,0,0,6
SAL50822,28,10,3,0,0,0,9,3,0,56
SAL50823,8,0,0,0,0,0,0,4,0,12
SAL50824,9,0,0,0,0,0,0,0,0,10
SAL50825,3,0,0,0,0,0,4,0,0,16
SAL50826,25,3,4,6,7,0,0,5,0,41
SAL50827,0,0,0,0,0,5,0,0,0,8
SAL50828,245,393,495,425,277,267,289,278,36,2699
SAL50829,122,224,237,77,134,71,146,66,29,1114
SAL50830,48,31,40,20,19,15,29,127,20,347
SAL50831,974,1615,1250,959,1232,852,513,741,104,8236
SAL50832,16,37,26,19,16,17,7,25,0,149
SAL50833,142,334,395,335,249,165,277,331,56,2289
SAL50834,7,0,0,0,0,0,7,5,0,16
SAL50835,305,601,249,271,278,147,85,132,34,2108
SAL50836,92,180,308,44,60,4,391,82,14,1167
SAL50837,6,4,4,4,0,0,0,6,0,19
SAL50838,83,153,205,179,159,124,194,221,27,1342
SAL50839,13,13,10,4,6,5,6,20,7,86
SAL50840,331,1018,169,192,216,124,43,82,27,2200
SAL50841,15,14,22,10,10,0,20,18,5,110
SAL50842,732,1795,611,535,879,409,228,351,76,5626
SAL50843,0,0,0,0,0,0,0,0,0,0
SAL50844,78,97,231,24,53,17,314,97,7,923
SAL50845,29,4,12,9,15,9,8,16,0,107
SAL50846,59,76,104,37,40,12,104,62,3,499
SAL50847,122,243,296,145,197,120,128,120,21,1400
SAL50848,0,0,0,0,0,0,0,0,0,0
SAL50849,537,964,615,439,547,291,221,281,58,3956
SAL50850,3,0,0,0,0,0,0,3,0,10
SAL50851,6,0,0,0,0,0,0,0,0,8
SAL50852,5,5,8,0,0,0,3,9,0,28
SAL50853,79,144,140,94,79,60,40,68,8,718
SAL50854,6,0,0,0,0,0,0,0,0,10
SAL50855,0,0,3,0,0,0,3,3,0,6
SAL50856,3,0,0,0,0,0,0,0,0,6
SAL50857,82,169,216,198,156,105,162,223,34,1348
SAL50858,22,45,72,81,33,55,23,127,5,462
SAL50859,3,0,0,0,0,0,0,0,0,13
SAL50860,0,0,0,0,0,0,0,0,0,0
SAL50861,28,0,0,0,3,0,0,4,0,33
SAL50862,24,16,11,3,9,5,3,9,4,85
SAL50863,149,139,269,130,184,88,98,106,22,1180
SAL50864,0,0,0,0,3,0,0,0,0,8
SAL50865,70,194,138,115,95,80,55,99,13,851
SAL50866,20,14,8,15,5,0,0,13,0,74
SAL50867,18,4,17,5,6,4,7,3,0,65
SAL50868,21,8,0,0,7,5,4,10,0,51
SAL50869,0,0,3,0,0,0,3,0,0,7
SAL50870,15,13,14,5,8,3,6,3,0,80
SAL50871,113,340,295,242,190,133,161,197,36,1700
SAL50872,16,23,14,7,6,0,5,6,0,87
SAL50873,276,557,969,735,555,400,703,827,130,5150
SAL50874,488,792,452,400,517,330,168,249,34,3435
SAL50875,218,344,364,278,231,161,135,135,32,1900
SAL50876,4,0,0,0,0,0,0,0,0,4
SAL50877,10,0,0,0,3,0,0,5,0,14
SAL50878,8,0,0,0,0,0,0,0,0,13
SAL50879,60,80,80,33,61,40,23,38,6,417
SAL50880,23,81,71,56,46,27,45,65,8,423
SAL50881,289,400,373,223,390,182,193,159,38,2245
SAL50882,3,0,0,0,0,0,0,0,0,8
SAL50883,9,3,0,0,0,0,0,0,0,19
SAL50884,4,0,5,0,0,0,0,0,0,13
SAL50885,12,7,4,3,4,0,0,0,3,28
SAL50886,15,5,0,0,0,0,0,0,0,14
SAL50887,0,0,0,0,0,0,0,0,0,0
SAL50888,4,0,0,0,0,0,0,0,0,8
SAL50889,5,11,17,10,12,4,8,4,0,82
SAL50890,272,364,494,428,272,285,311,439,62,2919
SAL50891,220,203,284,230,185,174,197,373,29,1892
SAL50892,17,0,0,0,0,0,0,3,0,26
SAL50893,321,763,195,218,265,147,69,105,30,2118
SAL50894,7,3,0,4,0,0,0,3,0,16
SAL50895,23,6,11,10,4,4,0,9,0,67
SAL50896,373,620,779,656,588,440,472,716,95,4746
SAL50897,7,4,6,4,3,0,0,8,0,28
SAL50898,50,42,39,31,23,12,24,19,0,236
SAL50899,84,110,300,40,42,10,284,176,17,1056
SAL50900,14,0,0,0,3,0,0,4,0,24
SAL50901,37,42,46,23,34,12,29,34,8,257
SAL50902,39,125,292,21,34,3,254,124,12,899
SAL50903,576,825,768,583,358,400,232,640,49,4438
SAL50904,77,59,100,36,50,33,32,38,5,430
SAL50905,203,387,122,102,161,100,24,39,12,1166
SAL50906,3,0,0,0,0,0,0,3,0,6
SAL50907,0,0,0,0,0,0,0,0,0,3
SAL50908,12,3,8,3,6,0,0,0,0,35
SAL50909,4,0,0,0,0,0,0,0,0,4
SAL50910,0,0,0,0,0,0,0,0,0,3
SAL50911,113,128,157,112,130,62,78,77,15,872
SAL50912,20,23,63,5,4,0,50,29,0,196
SAL50913,32,15,28,21,9,8,11,31,3,148
SAL50914,0,0,0,0,0,0,0,0,0,0
SAL50915,7,0,0,0,0,0,0,4,0,11
SAL50916,56,7,8,0,9,4,0,7,0,88
SAL50917,953,2511,798,922,927,497,391,514,122,7634
SAL50918,17,3,4,0,0,0,0,3,0,32
SAL50919,0,0,0,3,3,0,0,3,0,12
SAL50920,139,207,313,323,205,223,140,288,30,1868
SAL50921,4,6,10,0,0,0,16,3,0,46
SAL50922,341,580,634,588,420,392,369,371,64,3766
SAL50923,15,11,13,10,5,7,16,12,5,92
SAL50924,6,6,9,5,0,0,0,3,0,31
SAL50925,58,105,160,128,98,70,105,160,15,903
SAL50926,69,105,161,46,39,17,165,67,13,676
SAL50927,3,0,0,0,0,0,0,0,0,3
SAL50928,23,10,22,9,4,0,5,12,0,94
SAL50929,9,3,5,0,0,0,0,4,0,21
SAL50930,23,5,11,13,3,3,3,13,0,76
SAL50931,0,0,0,0,0,0,0,0,0,0
SAL50932,541,977,355,336,436,267,98,166,52,3217
SAL50933,204,372,85,93,120,84,23,53,12,1036
SAL50934,5,7,8,4,3,0,11,14,0,60
SAL50935,0,0,0,0,0,0,0,0,3,8
SAL50936,24,13,0,0,0,3,0,4,5,43
SAL50937,28,3,0,0,0,0,0,3,0,37
SAL50938,142,165,214,141,132,98,147,135,28,1202
SAL50939,152,210,365,288,258,180,218,312,35,2018
SAL50940,0,0,3,3,0,0,0,5,0,17
SAL50941,43,33,20,12,16,15,12,19,0,173
SAL50942,7,0,0,0,5,0,0,4,0,14
SAL50943,3,0,0,0,0,0,0,0,0,9
SAL50944,97,135,237,164,152,100,163,163,30,1253
SAL50945,51,15,12,6,19,5,17,15,0,134
SAL50946,88,119,47,44,49,27,11,38,5,419
SAL50947,216,347,412,450,324,265,306,413,69,2792
SAL50948,71,108,217,140,104,98,126,125,15,1004
SAL50949,32,7,3,3,0,0,7,10,0,62
SAL50950,126,184,281,96,134,66,81,97,26,1092
SAL50951,119,222,284,146,180,116,134,141,30,1376
SAL50952,13,21,23,12,15,10,6,13,0,124
SAL50953,55,43,30,20,31,21,24,17,9,244
SAL50954,13,0,0,0,0,0,0,0,0,16
SAL50955,8,15,3,7,4,0,5,5,3,49
SAL50956,7,0,0,0,0,0,0,4,0,7
SAL50957,49,42,65,68,52,38,37,55,0,413
SAL50958,3,0,0,0,0,0,0,0,0,10
SAL50959,17,0,0,0,4,5,4,4,0,35
SAL50960,636,876,658,502,626,407,186,283,80,4247
SAL50961,4,0,0,0,5,0,0,4,0,15
SAL50962,6,0,0,3,0,0,0,4,0,21
SAL50963,26,13,16,14,11,6,21,13,3,124
SAL50964,14,11,4,0,9,3,0,5,0,45
SAL50965,9,3,3,3,4,0,0,0,0,29
SAL50966,12,3,5,0,0,0,0,0,0,21
SAL50967,8,0,0,4,0,0,3,5,0,20
SAL50968,31,30,21,15,26,8,10,17,0,159
SAL50969,108,235,112,109,87,79,33,85,4,855
SAL50970,161,302,457,503,275,313,341,632,73,3046
SAL50971,21,57,135,17,19,3,12,38,8,300
SAL50972,17,0,0,0,0,0,0,5,0,21
SAL50973,23,0,4,0,10,0,4,9,3,51
SAL50974,13,3,0,0,0,3,6,7,0,40
SAL50975,14,15,16,7,9,7,15,0,0,92
SAL50976,13,0,0,0,0,3,0,4,0,27
SAL50977,11,0,0,0,0,0,0,4,0,17
SAL50978,5,12,3,8,5,3,5,5,6,48
SAL50979,3,0,0,0,0,0,0,4,0,5
SAL50980,38,21,40,9,27,12,35,20,4,204
SAL50981,10,0,4,0,3,0,0,10,0,28
SAL50982,8,5,5,3,0,0,0,3,0,32
SAL50983,24,12,12,9,11,7,8,14,0,95
SAL50984,0,0,4,0,0,0,0,4,0,11
SAL50985,0,0,0,0,0,0,0,0,0,0
SAL50986,13,0,0,0,3,0,0,0,0,16
SAL50987,26,18,19,12,12,13,7,10,3,113
SAL50988,98,95,125,89,93,57,96,105,6,765
SAL50989,0,0,0,0,0,0,0,0,0,0
SAL50990,6,0,0,0,0,0,0,0,0,9
SAL50991,19,4,0,0,4,0,3,0,0,34
SAL50992,47,45,71,35,41,20,44,32,5,333
SAL50993,26,20,14,21,21,11,17,22,0,148
SAL50994,9,0,0,0,0,0,0,8,0,25
SAL50995,6,0,0,0,0,0,0,0,0,6
SAL50996,35,64,96,45,66,43,40,48,9,446
SAL50997,26,54,33,40,41,44,19,43,5,309
SAL50998,1055,2158,1749,1393,1482,954,809,1180,221,10994
SAL50999,4,6,3,0,3,0,0,3,0,20
SAL51000,819,1694,265,481,418,312,92,228,66,4372
SAL51001,16,0,0,0,0,0,0,0,0,15
SAL51002,4,4,0,0,0,0,0,0,0,9
SAL51003,0,0,0,0,0,0,0,0,0,0
SAL51004,170,139,169,122,108,81,94,193,28,1107
SAL51005,4,3,0,0,0,0,4,0,0,12
SAL51006,3,4,6,4,0,0,7,4,0,32
SAL51007,0,0,0,0,0,0,0,0,0,3
SAL51008,476,1045,121,208,232,149,24,89,22,2363
SAL51009,44,81,43,51,24,23,17,23,6,308
SAL51010,11,11,9,6,3,4,0,0,0,45
SAL51011,0,0,0,0,0,0,0,0,0,0
SAL51012,8,0,0,0,0,0,6,0,0,18
SAL51013,9,21,16,6,11,3,7,8,4,80
SAL51014,9,24,10,12,10,4,6,15,18,106
SAL51015,806,1821,375,426,464,293,118,187,55,4552
SAL51016,151,279,306,211,173,123,141,133,30,1548
SAL51017,4,0,0,3,0,0,0,3,0,15
SAL51018,4,3,0,0,0,0,0,0,0,4
SAL51019,4,0,0,0,0,0,0,4,0,15
SAL51020,7,15,48,4,0,0,112,19,0,207
SAL51021,1063,2445,529,702,725,462,176,321,68,6485
SAL51022,0,0,0,0,0,0,0,0,0,0
SAL51023,7,0,0,0,0,3,4,0,0,17
SAL51024,32,43,44,19,18,11,44,25,6,244
SAL51025,63,118,74,56,73,34,27,67,0,517
SAL51026,174,286,251,175,206,119,114,118,25,1469
SAL51027,0,0,0,0,0,0,0,0,0,5
SAL51028,0,0,0,0,0,0,0,0,0,0
SAL51029,0,0,0,0,0,0,0,0,0,0
SAL51030,706,1383,284,335,530,321,68,148,59,3834
SAL51031,98,146,166,101,145,85,84,75,21,922
SAL51032,0,0,0,0,0,0,0,0,0,0
SAL51033,129,202,655,39,72,4,613,261,42,2021
SAL51034,11,5,0,0,0,0,0,0,0,20
SAL51035,3,0,0,0,0,0,0,0,0,4
SAL51036,149,292,258,229,195,167,113,189,22,1615
SAL51037,26,4,0,0,0,0,0,4,0,34
SAL51038,0,0,0,0,0,0,0,0,0,0
SAL51039,0,0,0,0,0,0,0,0,0,0
SAL51040,65,46,96,40,51,22,54,62,18,454
SAL51041,17,7,15,4,8,5,8,37,0,109
SAL51042,16,25,14,11,8,3,26,4,5,109
SAL51043,0,6,0,0,0,0,0,4,0,8
SAL51044,29,19,31,16,9,8,18,7,0,145
SAL51045,0,0,0,0,0,0,0,0,0,0
SAL51046,0,5,4,0,0,0,5,0,0,9
SAL51047,455,841,532,385,419,276,105,202,51,3276
SAL51048,12,4,8,5,5,3,6,20,3,69
SAL51049,8,14,9,19,10,0,20,12,5,102
SAL51050,9,24,41,11,23,9,28,22,5,162
SAL51051,11,9,14,15,3,16,10,15,0,97
SAL51052,6,9,7,6,0,4,13,8,0,54
SAL51053,14,0,3,0,5,5,0,0,0,26
SAL51054,0,5,0,0,0,0,0,0,0,5
SAL51055,197,322,234,144,161,109,103,111,24,1401
SAL51056,48,48,128,58,78,26,71,80,13,556
SAL51057,4,0,0,0,0,0,0,0,0,4
SAL51058,0,4,8,5,0,4,0,0,0,26
SAL51059,25,4,15,4,6,0,12,21,0,86
SAL51060,11,12,24,4,7,5,6,3,5,79
SAL51061,9,3,3,0,0,0,5,0,0,20
SAL51062,20,0,6,0,6,0,0,8,0,41
SAL51063,5,5,11,0,0,0,0,7,0,36
SAL51064,119,375,132,164,163,146,56,123,34,1320
SAL51065,9,3,3,0,0,0,0,6,0,21
SAL51066,0,3,0,4,0,0,0,4,0,12
SAL51067,27,14,23,8,11,10,15,65,4,164
SAL51068,0,0,0,0,0,0,0,0,0,0
SAL51069,140,288,119,125,130,85,38,43,10,976
SAL51070,46,21,42,20,30,6,30,28,3,229
SAL51071,17,8,9,0,3,9,6,9,0,58
SAL51072,3,0,0,0,0,0,0,0,0,3
SAL51073,0,0,0,0,0,0,0,0,0,3
SAL51074,12,0,0,0,0,0,0,5,0,20
SAL51075,11,0,0,4,0,0,3,0,6,23
SAL51076,22,10,58,7,15,14,13,11,0,158
SAL51077,12,0,0,0,3,0,0,3,0,15
SAL51078,4,0,6,0,0,0,0,0,0,15
SAL51079,0,3,5,4,3,0,0,5,0,15
SAL51080,0,0,0,0,0,0,0,0,0,0
SAL51081,10,3,4,4,0,7,8,0,0,32
SAL51082,12,0,0,0,5,0,0,0,0,20
SAL51083,59,60,50,45,33,17,39,64,4,376
SAL51084,9,0,5,5,3,0,7,5,0,33
SAL51085,19,20,25,14,7,0,7,11,0,101
SAL51086,46,21,8,14,13,11,14,18,3,136
SAL51087,0,0,0,0,3,0,0,0,0,7
SAL51088,37,19,26,13,13,13,16,30,0,167
SAL51089,10,3,3,4,3,4,3,0,0,30
SAL51090,10,3,4,5,14,0,10,0,0,45
SAL51091,10,0,0,0,3,0,0,0,0,16
SAL51092,79,33,28,15,25,17,21,42,9,268
SAL51093,191,297,267,244,166,141,125,237,31,1711
SAL51094,15,11,13,5,11,0,7,3,0,59
SAL51095,19,19,15,8,16,17,0,7,0,108
SAL51096,0,0,4,0,0,0,3,0,0,9
SAL51097,0,0,0,0,0,0,0,0,0,0
SAL51098,887,2545,279,463,523,306,86,189,82,5363
SAL51099,35,7,0,0,5,0,0,4,0,53
SAL51100,8,0,0,0,0,0,0,0,0,11
SAL51101,3,7,6,3,8,0,0,7,4,42
SAL51102,55,6,13,3,8,3,7,57,8,158
SAL51103,0,0,0,0,0,0,0,0,0,4
SAL51104,24,0,5,0,8,3,9,5,0,51
SAL51105,4,0,0,0,0,0,0,0,0,4
SAL51106,0,0,5,0,0,0,0,0,0,7
SAL51107,8,0,6,0,0,0,0,5,0,25
SAL51108,9,0,0,0,0,0,0,0,0,13
SAL51109,20,8,13,8,3,8,18,14,3,92
SAL51110,19,4,6,3,3,0,3,4,0,50
SAL51111,529,925,2403,309,384,146,2117,765,113,7686
SAL51112,3,3,3,6,3,0,3,0,0,27
SAL51113,227,403,647,214,297,130,229,199,48,2385
SAL51114,13,9,18,9,13,6,18,21,0,91
SAL51115,13,0,4,3,0,4,0,9,0,32
SAL51116,18,12,13,6,12,5,4,9,0,73
SAL51117,7,0,0,0,4,0,0,0,0,17
SAL51118,13,0,4,10,3,6,4,12,0,47
SAL51119,10,9,3,3,0,0,3,7,0,34
SAL51120,14,5,0,0,0,0,0,0,0,25
SAL51121,10,0,0,0,0,0,0,3,0,18
SAL51122,572,1345,965,944,835,510,509,687,122,6486
SAL51123,7,0,0,4,3,0,0,0,0,26
SAL51124,435,844,579,411,593,363,234,325,43,3836
SAL51125,10,3,7,0,5,0,10,8,0,47
SAL51126,10,0,0,0,0,0,0,0,0,13
SAL51127,26,37,30,17,21,15,21,39,6,216
SAL51128,7,3,0,0,0,0,0,0,0,17
SAL51129,0,0,0,0,0,0,0,0,0,0
SAL51130,330,584,229,202,228,144,34,99,27,1878
SAL51131,4,0,0,0,0,0,0,0,0,9
SAL51132,27,30,31,13,20,16,18,19,3,178
SAL51133,5,0,0,0,0,0,0,0,0,13
SAL51134,3,0,0,0,0,0,0,0,0,5
SAL51135,443,617,234,200,268,138,72,93,35,2093
SAL51136,54,37,87,44,40,28,40,34,8,382
SAL51137,5,0,0,0,0,0,0,0,0,6
SAL51138,396,871,128,193,168,82,30,75,35,1979
SAL51139,9,22,48,3,7,0,18,37,0,147
SAL51140,17,7,0,0,3,0,0,3,0,32
SAL51141,11,3,0,0,0,0,0,0,0,16
SAL51142,21,4,0,6,0,0,4,0,0,34
SAL51143,5,0,0,0,0,0,0,0,0,10
SAL51144,98,232,93,70,98,54,24,42,11,721
SAL51145,6,0,0,0,0,0,0,0,0,16
SAL51146,10,0,3,0,4,0,0,0,0,18
SAL51147,885,2184,478,534,584,344,114,257,69,5441
SAL51148,105,6,6,7,7,6,9,66,6,215
SAL51149,4,0,0,0,0,0,0,0,0,9
SAL51150,32,0,0,0,5,4,6,5,0,57
SAL51151,10,0,0,0,0,0,0,0,0,11
SAL51152,15,12,3,6,0,8,4,15,7,63
SAL51153,31,37,44,22,24,15,18,13,5,208
SAL51154,4,0,0,0,0,0,0,0,0,5
SAL51155,8,0,0,0,0,0,0,0,0,8
SAL51156,14,31,81,34,28,20,52,31,6,302
SAL51157,278,360,382,351,324,265,232,377,44,2614
SAL51158,28,31,35,35,16,15,41,41,5,236
SAL51159,111,254,129,129,86,49,45,90,11,901
SAL51160,20,11,14,14,5,5,7,20,0,101
SAL51161,0,4,0,3,0,0,0,3,0,4
SAL51162,12,23,18,11,14,8,3,25,4,115
SAL51163,3,0,0,0,0,4,0,0,0,13
SAL51164,10,0,0,0,4,0,0,0,0,20
SAL51165,81,152,513,34,51,5,474,120,12,1440
SAL51166,0,3,0,0,0,0,0,0,0,8
SAL51167,24,21,49,41,37,44,56,88,12,366
SAL51168,18,4,9,6,6,0,5,3,0,49
SAL51169,0,0,0,0,0,0,0,11,0,13
SAL51170,18,5,11,12,8,5,0,5,6,75
SAL51171,60,10,9,7,8,0,27,22,0,138
SAL51172,33,70,42,21,25,21,9,11,0,241
SAL51173,0,0,0,0,0,0,0,0,0,0
SAL51174,205,218,290,135,238,104,123,123,29,1465
SAL51175,73,100,89,57,44,32,22,46,20,481
SAL51176,625,996,613,481,573,373,152,308,64,4175
SAL51177,16,3,0,0,3,0,0,0,0,22
SAL51178,6,0,4,0,0,0,0,4,0,15
SAL51179,34,19,20,18,22,12,21,14,3,161
SAL51180,9,3,4,5,3,0,8,19,3,55
SAL51181,79,92,102,62,65,17,77,66,7,581
SAL51182,7,11,0,3,0,0,0,0,0,25
SAL51183,0,0,0,0,0,0,4,0,0,6
SAL51184,58,79,153,138,66,108,81,155,13,860
SAL51185,43,52,70,22,48,18,59,33,15,357
SAL51186,10,0,0,0,5,0,3,15,0,31
SAL51187,18,0,0,0,3,0,0,0,0,22
SAL51188,39,56,38,36,28,4,24,21,4,242
SAL51189,116,173,327,264,192,178,261,288,31,1841
SAL51190,232,596,336,355,279,187,188,393,31,2599
SAL51191,18,19,10,12,5,8,4,8,3,84
SAL51192,516,1068,811,559,530,299,190,302,67,4343
SAL51193,12,4,5,8,0,7,13,12,3,69
SAL51194,31,5,3,0,4,0,11,10,0,65
SAL51195,4,0,0,0,0,0,0,0,0,11
SAL51196,9,4,32,0,0,0,7,15,0,77
SAL51197,558,1274,475,441,511,282,108,228,43,3916
