SAL_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
SAL10001,0,6,6,5,0,11,0,14
SAL10002,28,223,454,276,242,1221,38,1264
SAL10003,208,1012,779,182,75,2251,93,2344
SAL10004,11,92,178,68,45,388,7,394
SAL10005,0,6,3,0,0,10,6,14
SAL10006,48,396,321,135,86,990,35,1025
SAL10007,36,285,307,123,72,828,44,871
SAL10008,0,7,10,12,15,37,4,38
SAL10009,31,545,973,374,216,2133,51,2184
SAL10010,19,270,320,152,116,883,36,918
SAL10011,0,22,41,20,23,101,0,104
SAL10012,0,0,4,0,3,8,0,15
SAL10013,5,3,10,0,0,15,4,16
SAL10014,21,349,483,168,93,1119,13,1133
SAL10015,14,50,54,17,11,154,19,175
SAL10016,199,969,939,280,130,2516,97,2617
SAL10017,76,538,959,269,147,1994,24,2018
SAL10018,9,155,125,58,31,386,25,408
SAL10019,0,5,5,7,3,24,15,39
SAL10020,0,8,5,4,0,14,6,16
SAL10021,15,61,88,67,80,305,15,324
SAL10022,231,418,241,64,21,972,122,1099
SAL10023,6,34,20,7,0,64,3,70
SAL10024,0,3,15,4,7,26,3,31
SAL10025,136,1233,1945,790,563,4667,134,4802
SAL10026,167,888,908,357,231,2553,114,2668
SAL10027,239,932,749,191,70,2188,100,2293
SAL10028,4,64,107,53,34,260,5,263
SAL10029,4,20,17,9,9,57,8,60
SAL10030,1032,2574,738,125,44,4513,262,4777
SAL10031,14,131,399,216,184,941,11,950
SAL10032,0,4,8,4,12,25,0,29
SAL10033,0,0,3,0,0,3,0,3
SAL10034,0,6,9,7,7,32,0,32
SAL10035,0,11,10,13,4,42,13,47
SAL10036,153,690,960,338,177,2324,47,2373
SAL10037,0,3,14,5,6,30,3,30
SAL10038,314,1067,490,110,36,2022,90,2115
SAL10039,0,0,7,8,4,17,3,20
SAL10040,0,14,26,8,7,57,6,61
SAL10041,0,23,26,13,9,77,7,84
SAL10042,0,5,7,13,0,28,0,28
SAL10043,0,0,5,9,3,18,4,21
SAL10044,0,8,13,18,12,50,6,52
SAL10045,0,19,61,36,32,148,11,161
SAL10046,152,990,894,301,118,2453,94,2546
SAL10047,0,10,12,6,4,34,3,34
SAL10048,0,0,7,3,0,10,3,15
SAL10049,214,897,814,254,119,2306,190,2491
SAL10050,0,13,5,0,0,17,3,24
SAL10051,0,0,0,4,0,3,0,3
SAL10052,0,7,6,8,0,20,0,20
SAL10053,0,0,13,0,3,18,0,20
SAL10054,0,4,5,6,0,12,0,15
SAL10055,0,5,10,0,10,21,3,29
SAL10056,3,12,28,12,11,60,6,60
SAL10057,0,6,9,3,0,19,0,17
SAL10058,0,15,20,10,0,46,4,49
SAL10059,0,31,50,3,3,88,0,88
SAL10060,0,31,30,27,29,117,13,125
SAL10061,48,729,632,186,113,1709,87,1803
SAL10062,518,2011,995,200,69,3797,191,3987
SAL10063,0,42,122,78,161,408,8,418
SAL10064,18,189,420,191,150,968,34,1000
SAL10065,0,5,7,7,0,17,0,20
SAL10066,0,5,5,3,0,13,0,13
SAL10067,0,0,0,3,0,4,0,4
SAL10068,0,4,25,8,5,43,3,48
SAL10069,0,0,3,4,0,5,0,7
SAL10070,0,79,75,29,20,202,15,214
SAL10071,3,26,38,20,6,98,0,97
SAL10072,0,0,0,0,0,0,0,0
SAL10073,3,67,139,114,119,445,19,462
SAL10074,8,174,217,96,45,535,23,560
SAL10075,0,9,6,3,3,22,8,25
SAL10076,0,21,39,8,7,72,3,75
SAL10077,16,75,80,28,21,211,17,228
SAL10078,0,0,0,6,0,5,0,5
SAL10079,47,208,209,53,42,561,21,583
SAL10080,0,28,26,9,6,75,16,87
SAL10081,0,0,3,0,0,4,0,3
SAL10082,9,45,63,29,27,173,16,190
SAL10083,0,0,4,5,3,14,0,14
SAL10084,0,0,0,0,0,6,0,7
SAL10085,0,15,22,12,9,51,16,68
SAL10086,734,3720,2981,912,441,8784,593,9375
SAL10087,523,1958,1031,316,179,4010,382,4390
SAL10088,0,3,0,0,0,9,0,8
SAL10089,26,238,76,14,8,362,31,387
SAL10090,9,61,96,33,23,215,4,221
SAL10091,550,2056,849,124,35,3625,148,3771
SAL10092,0,0,7,3,5,15,0,16
SAL10093,0,6,4,3,0,12,6,16
SAL10094,75,358,443,147,75,1097,27,1129
SAL10095,0,38,67,16,7,132,11,140
SAL10096,0,28,56,20,11,110,16,124
SAL10097,0,0,0,0,0,12,0,12
SAL10098,167,370,292,115,76,1031,146,1172
SAL10099,2114,4871,1670,348,159,9156,424,9583
SAL10100,14,97,81,43,28,270,30,300
SAL10101,0,29,40,21,13,112,22,133
SAL10102,193,619,432,113,47,1404,162,1561
SAL10103,30,379,700,294,164,1564,28,1591
SAL10104,146,1166,693,153,61,2223,57,2275
SAL10105,0,3,19,4,3,27,3,27
SAL10106,6,60,92,34,20,210,16,228
SAL10107,1943,4517,2640,930,563,10597,1166,11765
SAL10108,0,5,22,7,7,46,0,46
SAL10109,20,314,426,133,65,960,23,981
SAL10110,66,640,857,239,154,1960,162,2123
SAL10111,0,13,17,10,8,51,5,58
SAL10112,111,1017,1556,560,323,3566,107,3675
SAL10113,0,5,3,10,0,17,3,20
SAL10114,0,6,37,18,18,73,5,78
SAL10115,25,411,743,252,153,1577,55,1631
SAL10116,0,0,0,0,0,0,0,0
SAL10117,53,202,270,84,48,657,39,695
SAL10118,0,9,28,19,6,56,7,57
SAL10119,3,28,52,31,31,146,7,148
SAL10120,0,18,36,19,10,83,3,87
SAL10121,0,14,22,8,6,53,12,67
SAL10122,0,3,6,0,3,5,0,7
SAL10123,0,0,0,0,0,4,0,4
SAL10124,0,3,6,7,4,18,0,17
SAL10125,0,0,4,0,3,9,0,9
SAL10126,0,0,3,4,0,11,3,8
SAL10127,0,0,0,0,0,9,0,9
SAL10128,0,3,0,0,0,4,0,4
SAL10129,0,0,4,0,0,5,0,6
SAL10130,0,5,9,7,7,34,3,34
SAL10131,0,8,22,13,12,56,0,51
SAL10132,0,0,5,0,0,9,0,9
SAL10133,0,18,7,13,7,49,5,55
SAL10134,0,0,0,0,0,3,0,5
SAL10135,0,3,20,7,6,35,3,39
SAL10136,0,0,6,0,3,9,0,12
SAL10137,0,5,7,6,0,15,0,21
SAL10138,0,0,3,0,0,11,3,16
SAL10139,0,0,14,7,0,16,3,25
SAL10140,0,9,6,7,0,15,0,15
SAL10141,0,7,4,0,0,11,4,14
SAL10142,0,0,0,0,0,3,0,3
SAL10143,0,11,6,4,9,24,3,30
SAL10144,0,50,93,26,26,196,3,202
SAL10145,0,12,20,12,7,51,4,58
SAL10146,10,122,164,61,34,392,8,397
SAL10147,0,3,8,4,3,21,0,21
SAL10148,0,23,57,25,19,120,0,115
SAL10149,0,4,6,0,0,9,4,11
SAL10150,0,0,4,0,0,0,5,8
SAL10151,0,8,10,4,0,21,3,25
SAL10152,0,0,12,5,3,21,0,27
SAL10153,0,0,5,5,0,11,4,15
SAL10154,236,1571,1052,199,87,3147,81,3231
SAL10155,21,244,538,179,68,1054,17,1073
SAL10156,93,687,889,262,174,2116,76,2190
SAL10157,0,3,4,0,0,10,0,10
SAL10158,0,9,9,12,14,43,8,52
SAL10159,0,0,3,0,0,11,0,8
SAL10160,0,18,21,8,5,56,13,69
SAL10161,0,7,13,8,10,28,0,32
SAL10162,0,11,27,19,17,74,11,88
SAL10163,521,2155,1227,311,120,4327,319,4651
SAL10164,0,0,0,0,0,0,0,6
SAL10165,673,2455,1114,175,60,4476,187,4662
SAL10166,111,411,216,38,18,797,41,836
SAL10167,5,78,110,56,22,273,11,278
SAL10168,0,24,56,38,24,149,7,156
SAL10169,38,176,155,70,41,470,76,544
SAL10170,0,3,5,6,0,12,0,12
SAL10171,0,0,0,0,0,0,0,0
SAL10172,0,13,21,4,6,45,3,47
SAL10173,0,0,0,4,0,3,0,3
SAL10174,7,46,112,65,48,273,12,279
SAL10175,8,280,405,136,67,903,101,1006
SAL10176,0,9,6,5,4,18,0,18
SAL10177,0,8,18,15,5,47,0,47
SAL10178,32,418,844,326,199,1818,24,1843
SAL10179,108,443,366,133,47,1096,44,1143
SAL10180,21,110,65,10,4,204,42,248
SAL10181,1524,4983,2945,857,480,10798,1030,11827
SAL10182,0,4,0,0,0,3,0,3
SAL10183,0,11,7,6,3,24,0,24
SAL10184,0,8,26,16,7,60,3,62
SAL10185,0,0,3,6,0,12,0,12
SAL10186,356,2623,2419,724,367,6482,267,6754
SAL10187,0,7,0,3,0,17,0,16
SAL10188,61,162,195,62,35,506,36,547
SAL10189,17,26,12,0,0,57,17,67
SAL10190,0,4,4,0,0,13,0,13
SAL10191,17,114,100,34,26,283,58,337
SAL10192,34,61,8,0,0,107,21,133
SAL10193,0,0,0,0,0,0,3,3
SAL10194,13,165,560,261,229,1225,12,1238
SAL10195,44,579,747,161,62,1596,83,1677
SAL10196,49,301,275,96,58,787,22,812
SAL10197,59,294,300,87,46,788,35,816
SAL10198,12,67,60,23,32,188,14,205
SAL10199,45,407,571,268,255,1537,74,1612
SAL10200,54,248,243,91,47,681,51,729
SAL10201,0,0,0,0,0,0,0,0
SAL10202,0,27,29,12,0,74,9,81
SAL10203,6,61,43,20,23,155,15,169
SAL10204,0,0,0,0,0,0,0,0
SAL10205,15,145,244,119,97,622,7,631
SAL10206,25,256,306,108,54,748,50,794
SAL10207,48,274,188,67,39,613,50,665
SAL10208,176,826,828,260,159,2253,112,2362
SAL10209,12,92,102,29,32,265,16,286
SAL10210,4,9,26,9,4,53,3,58
SAL10211,0,12,25,8,0,41,0,41
SAL10212,0,0,0,0,4,0,0,8
SAL10213,0,0,0,0,0,0,0,0
SAL10214,0,23,26,18,9,77,7,78
SAL10215,0,0,0,0,0,3,0,8
SAL10216,0,0,3,0,4,14,0,13
SAL10217,3,37,76,28,18,160,13,172
SAL10218,0,0,0,0,0,0,0,0
SAL10219,0,19,13,15,14,63,7,64
SAL10220,0,0,0,0,0,0,0,0
SAL10221,0,11,16,12,7,47,6,50
SAL10222,0,3,0,0,0,6,3,8
SAL10223,15,199,243,96,55,602,38,641
SAL10224,205,866,1019,398,246,2734,276,3010
SAL10225,0,0,0,0,0,0,0,0
SAL10226,0,0,17,5,4,30,9,37
SAL10227,363,1588,1822,564,306,4640,235,4874
SAL10228,60,379,287,72,29,830,69,895
SAL10229,117,447,177,31,22,801,71,869
SAL10230,0,0,0,0,3,10,3,16
SAL10231,406,1723,843,200,83,3261,232,3491
SAL10232,20,177,181,74,55,510,45,551
SAL10233,380,4309,5235,1478,815,12215,304,12518
SAL10234,0,7,37,28,23,94,4,99
SAL10235,3,133,146,37,32,358,26,384
SAL10236,0,0,0,0,0,0,0,0
SAL10237,120,517,551,198,143,1527,83,1608
SAL10238,83,573,1046,401,272,2378,57,2434
SAL10239,60,258,108,25,13,467,13,486
SAL10240,0,8,14,3,0,26,3,29
SAL10241,0,3,4,12,4,22,0,22
SAL10242,0,13,18,9,8,49,4,48
SAL10243,26,549,1248,478,266,2568,33,2605
SAL10244,0,13,20,7,8,47,3,47
SAL10245,3,9,26,19,13,73,7,81
SAL10246,0,4,7,3,4,17,0,17
SAL10247,0,14,14,10,8,44,5,50
SAL10248,5,73,139,59,29,307,9,318
SAL10249,121,1141,1447,440,214,3366,90,3449
SAL10250,0,0,0,0,0,0,0,0
